 	le	sol	durcit	pendant	la	saison	sèche	</S>
a23	0.227771	0.16555	0.131768	0.204998	0.160564	0.0705825	0.0235848	0.0151817
a87	0.200169	0.180972	0.237821	0.174203	0.100627	0.061458	0.0263775	0.0183725
a23	0.128878	0.14757	0.200376	0.138204	0.101986	0.0961313	0.082963	0.103891
a12	0.240525	0.213042	0.250904	0.106038	0.0596872	0.051992	0.036763	0.0410482
a18	0.527184	0.274107	0.117603	0.0344103	0.0176981	0.0117416	0.00928968	0.00796613
a10	0.348318	0.295102	0.213939	0.055057	0.0277873	0.0212468	0.0188509	0.0196985
a21	0.277745	0.260388	0.205928	0.07073	0.0456556	0.0394199	0.0427787	0.0573545
a12	0.34754	0.333062	0.214418	0.0485997	0.0166788	0.0111604	0.011738	0.0168031
a96	0.21828	0.286822	0.262247	0.0932281	0.0353003	0.0278243	0.0309312	0.0453677
a62	0.154685	0.214747	0.242719	0.125855	0.0577344	0.0530321	0.0622252	0.089002
a21	0.13266	0.184128	0.216928	0.138585	0.0767823	0.0745588	0.0776905	0.098668
a47	0.165174	0.245563	0.231483	0.155794	0.0765266	0.0447098	0.0354037	0.0453458
a61	0.0870042	0.139046	0.220614	0.229885	0.118742	0.0711831	0.058982	0.074543
a47	0.0982979	0.127466	0.161568	0.226947	0.122935	0.0788942	0.0745517	0.10934
a96	0.0657774	0.0804101	0.100757	0.223435	0.156225	0.114961	0.107798	0.150637
a98	0.0670187	0.0818264	0.0928099	0.20649	0.163176	0.121354	0.112781	0.154543
a73	0.0526949	0.0513343	0.052112	0.149865	0.149661	0.14309	0.163664	0.237579
a92	0.042211	0.0427573	0.0459141	0.131841	0.141738	0.140788	0.176892	0.277858
a75	0.0508195	0.0437664	0.033513	0.0829212	0.0959011	0.117302	0.203351	0.372426
a85	0.0301967	0.0226582	0.016233	0.0421227	0.0608298	0.0940731	0.227146	0.506741
a21	0.0133946	0.00920351	0.00622735	0.0167364	0.0296051	0.0729717	0.279859	0.572002
a61	0.0516545	0.0387356	0.0209565	0.0319591	0.0504114	0.092698	0.262123	0.451461
a66	0.00661957	0.00575484	0.004409	0.00959466	0.0236531	0.0719829	0.282451	0.595535
a53	0.00213365	0.00193288	0.0018352	0.00466461	0.016526	0.0520909	0.259179	0.661638
a90	0.00105488	0.00104323	0.00108076	0.0032651	0.0121343	0.0447665	0.243168	0.693487
a21	0.000929851	0.000972081	0.00110117	0.00415326	0.0164451	0.0619807	0.279067	0.635351
a5	0.00407258	0.00329512	0.00255418	0.00566579	0.0151745	0.0503369	0.249907	0.668994
a27	0.0011618	0.000956138	0.000949995	0.00272237	0.00791388	0.0326455	0.239329	0.714321
a57	0.00409109	0.0029384	0.00309752	0.0084553	0.0258461	0.066427	0.27791	0.611235
a87	0.0612571	0.0410783	0.0379299	0.0555769	0.10233	0.140326	0.2225	0.339002
a23	0.0650883	0.0618592	0.0760268	0.158487	0.184415	0.166156	0.142014	0.145953
a87	0.01681	0.0140669	0.0192452	0.0546387	0.0800219	0.132691	0.292998	0.389529
a23	0.00861319	0.0101227	0.0215615	0.0538711	0.0673273	0.108236	0.259766	0.470503
a87	0.00444852	0.00445854	0.0105876	0.0346981	0.0420563	0.0781087	0.267157	0.558485
</S>	0.0031855	0.00287111	0.00600196	0.0212736	0.0355386	0.0718219	0.251068	0.60824
