 	c'	est	ma	grand-mère	qui	m'	a	élévé	</S>
a66	0.251731	0.216073	0.132496	0.131419	0.0681048	0.0687257	0.066637	0.0394026	0.0254121
a82	0.210492	0.17655	0.104046	0.084773	0.0524506	0.0691433	0.121428	0.116469	0.0646487
a97	0.324477	0.216216	0.0832383	0.0428983	0.0365103	0.0494773	0.0953452	0.0934843	0.0583541
a87	0.208848	0.159139	0.0781442	0.0461937	0.0558556	0.0921397	0.181086	0.117989	0.0606044
a97	0.208761	0.169447	0.0939948	0.0549177	0.0586882	0.0940611	0.171857	0.100025	0.048248
a10	0.163486	0.152245	0.111347	0.0919029	0.0800197	0.107901	0.160472	0.0900478	0.0425791
a87	0.162034	0.160862	0.126761	0.10571	0.0835845	0.109306	0.153376	0.0671967	0.0311686
a38	0.190915	0.173851	0.120769	0.0909904	0.0717535	0.093669	0.145815	0.0748564	0.0373799
a40	0.241933	0.219112	0.164302	0.0971714	0.0728344	0.0720017	0.0875697	0.0260802	0.0189949
a7	0.32054	0.314588	0.194139	0.085725	0.0290818	0.0222203	0.0183026	0.00707122	0.00833193
a54	0.325559	0.278021	0.185521	0.0867801	0.0353113	0.0324269	0.0323111	0.0127705	0.011299
a73	0.195164	0.163049	0.137168	0.155069	0.0948243	0.0905655	0.0838122	0.0449715	0.0353755
a44	0.166788	0.141922	0.14825	0.177928	0.110247	0.0929819	0.0763436	0.0424314	0.0431088
a93	0.0593856	0.0445859	0.0474805	0.0938038	0.100721	0.114421	0.12634	0.185148	0.228116
a34	0.0595185	0.0427782	0.0442865	0.0920789	0.110254	0.125296	0.128517	0.181921	0.21535
a54	0.0515621	0.0397557	0.0495326	0.103626	0.121213	0.13178	0.138476	0.176579	0.187475
a6	0.033457	0.0347091	0.0594207	0.158508	0.163068	0.170532	0.153779	0.129661	0.0968653
a56	0.0334871	0.0355442	0.065897	0.147535	0.157449	0.15717	0.145507	0.140804	0.116606
a70	0.0173144	0.0145361	0.0245716	0.0855557	0.139712	0.152566	0.153198	0.180638	0.231908
a93	0.00655879	0.00580966	0.00991348	0.0479648	0.121414	0.137783	0.14199	0.197915	0.330652
a70	0.00704891	0.00632166	0.0118922	0.0518754	0.10985	0.135649	0.152587	0.210246	0.31453
a88	0.00400185	0.00370953	0.00705885	0.0344283	0.0987645	0.126359	0.141956	0.203817	0.379905
a24	0.00146838	0.0013853	0.00274477	0.0167048	0.062653	0.0879675	0.115315	0.214337	0.497424
a43	0.000635509	0.000623783	0.00126475	0.00947294	0.024496	0.0416165	0.0794784	0.218889	0.623523
a54	0.000669223	0.000687529	0.00191351	0.013441	0.0254657	0.0393198	0.0891004	0.239197	0.590206
a37	0.000260431	0.000279577	0.000888188	0.0108207	0.0355819	0.0554675	0.100741	0.202909	0.593052
a83	0.000366816	0.000392653	0.0012318	0.0114954	0.0296375	0.0459672	0.0962856	0.219958	0.594665
a26	0.000441331	0.000486066	0.00154605	0.011983	0.0292364	0.048669	0.0940997	0.218833	0.594705
a9	0.00186998	0.00160945	0.00308647	0.01176	0.0281685	0.0447507	0.0833177	0.271674	0.553763
a82	0.0174962	0.0141664	0.0163214	0.0345571	0.0478505	0.0646864	0.109456	0.291559	0.403908
a38	0.0414242	0.0305856	0.027001	0.0423183	0.0469425	0.0715342	0.147357	0.307259	0.285579
a9	0.0346045	0.0235864	0.0227625	0.0541623	0.0736858	0.109224	0.204337	0.25775	0.219888
a82	0.0253344	0.0205738	0.0224768	0.0493501	0.0761895	0.118965	0.211338	0.248711	0.227063
</S>	0.0357627	0.0301587	0.0306382	0.0565183	0.0908075	0.137301	0.221208	0.219307	0.178298
