 	les	chiens	se	réjouissent	de	leur	propriétaire	</S>
a66	0.344964	0.285651	0.191131	0.0865887	0.0477807	0.0218708	0.0133693	0.00864446
a87	0.400222	0.138187	0.0773788	0.0547999	0.0666923	0.0590395	0.0997675	0.103914
a97	0.451371	0.143986	0.0545374	0.037914	0.0676438	0.0635387	0.0978259	0.0831838
a40	0.397314	0.143996	0.0633237	0.0503822	0.0843665	0.0794174	0.0944804	0.0867196
a54	0.571108	0.203765	0.0732012	0.0181639	0.025876	0.0241041	0.0416755	0.0421056
a7	0.394319	0.298279	0.150923	0.0448298	0.0365933	0.0255131	0.0271949	0.0223481
a98	0.401227	0.259576	0.160561	0.06732	0.0448191	0.0279218	0.0209145	0.0176607
a47	0.240035	0.2521	0.229979	0.134275	0.0664105	0.0350774	0.0227228	0.0194002
a5	0.173266	0.24873	0.282922	0.140223	0.0666783	0.0359174	0.0277159	0.0245469
a98	0.254905	0.237039	0.213166	0.136331	0.0698291	0.0359691	0.0265881	0.0261733
a85	0.110268	0.163475	0.219738	0.205313	0.116436	0.0738805	0.0544568	0.0564315
a47	0.0866566	0.128345	0.176316	0.190044	0.124674	0.104713	0.0845932	0.104658
a0	0.0297515	0.0596516	0.113609	0.170452	0.143583	0.133114	0.140735	0.209105
a75	0.011465	0.0220928	0.0525258	0.12914	0.138854	0.159783	0.214085	0.272055
a6	0.0102786	0.0182535	0.0390387	0.100034	0.117298	0.154107	0.228009	0.332981
a37	0.0054984	0.00996032	0.0253921	0.0825632	0.10371	0.147171	0.234692	0.391012
a75	0.00315528	0.00503743	0.0142031	0.0715098	0.108241	0.169728	0.256582	0.371543
a5	0.00226313	0.00422037	0.0116936	0.0574958	0.0937343	0.154513	0.253502	0.422578
a6	0.00202866	0.00358173	0.00793912	0.0448191	0.0808338	0.150939	0.266511	0.443348
a36	0.000534267	0.00106141	0.00294722	0.0213114	0.0488145	0.113893	0.244923	0.566515
a2	0.000792561	0.00128246	0.00265376	0.0156122	0.0366663	0.0814015	0.208503	0.653088
a44	0.0127017	0.0131223	0.0174728	0.0404176	0.0575372	0.104486	0.251713	0.502549
a66	0.0051166	0.00411019	0.0057794	0.017971	0.041024	0.0977947	0.283011	0.545193
a13	0.00397465	0.00317696	0.0040173	0.0132832	0.0284051	0.0812425	0.259433	0.606467
a3	0.00376901	0.00273219	0.00320685	0.00901898	0.0198284	0.064702	0.249956	0.646787
a97	0.0212237	0.0118043	0.00992119	0.0239767	0.0415235	0.0949273	0.280856	0.515767
a99	0.0207757	0.0130258	0.0116362	0.0357537	0.057233	0.113735	0.282305	0.465535
a97	0.0124087	0.00769613	0.0074756	0.0239042	0.0433426	0.09386	0.252548	0.558765
a99	0.0114893	0.0077988	0.00913326	0.0357865	0.0650625	0.12465	0.270884	0.475195
a97	0.0155343	0.0110445	0.012988	0.0422036	0.0669293	0.114948	0.238227	0.498126
a23	0.0353203	0.0212955	0.0253222	0.0570339	0.0839068	0.123586	0.238417	0.415119
a97	0.0178605	0.0127722	0.0160221	0.0413941	0.0577038	0.0981736	0.231421	0.524653
a30	0.0396624	0.0248015	0.0261393	0.0367261	0.0592635	0.106919	0.243517	0.462971
</S>	0.0565483	0.0335522	0.0351892	0.0449358	0.062706	0.101888	0.228511	0.436669
