 	il	n'	a	plus	qu'	un	an	à	vivre	</S>
a23	0.257829	0.151705	0.136304	0.118963	0.087666	0.0735192	0.0612663	0.0496777	0.0334749	0.0295946
a87	0.250238	0.182812	0.151728	0.0828924	0.0759129	0.0716853	0.0718762	0.0452265	0.0316298	0.0359992
a79	0.123583	0.115966	0.109156	0.0700491	0.0754641	0.0860313	0.111555	0.100444	0.089583	0.118169
a41	0.346571	0.214949	0.156319	0.068345	0.0385106	0.0418151	0.0453769	0.0307851	0.0197338	0.0375951
a35	0.298415	0.181061	0.143762	0.0920332	0.0834496	0.0807878	0.0572323	0.0368981	0.0144413	0.0119189
a94	0.245938	0.185454	0.161248	0.113053	0.0899893	0.0829505	0.0565457	0.0355948	0.0164997	0.0127266
a24	0.182746	0.159297	0.154954	0.125521	0.106656	0.100067	0.0713816	0.0468376	0.0281332	0.024406
a94	0.113115	0.124453	0.148576	0.148943	0.133564	0.115573	0.0836478	0.0593459	0.0390053	0.033777
a66	0.10326	0.1169	0.147119	0.153189	0.1304	0.112898	0.0884783	0.060885	0.0456564	0.0412142
a38	0.0872927	0.0997279	0.115816	0.11878	0.122443	0.117765	0.12118	0.0921668	0.0645311	0.0602972
a76	0.0594501	0.0687049	0.0902979	0.111531	0.133123	0.1378	0.158618	0.11551	0.068732	0.0562334
a14	0.0660598	0.0778828	0.108093	0.134523	0.129549	0.119824	0.126798	0.102937	0.072771	0.0615632
a73	0.074987	0.0835812	0.114723	0.14767	0.128223	0.105788	0.0924139	0.0858287	0.085257	0.0815279
a69	0.0512554	0.0522517	0.067455	0.101991	0.11829	0.124918	0.149964	0.128134	0.106114	0.0996263
a13	0.0442104	0.0368926	0.0408011	0.0566316	0.0805632	0.112324	0.167946	0.148852	0.151323	0.160456
a99	0.0441396	0.0347707	0.0367512	0.055638	0.102717	0.143604	0.171881	0.145996	0.13017	0.134332
a38	0.0507336	0.0381068	0.0393563	0.0653409	0.11844	0.16016	0.1648	0.129013	0.108816	0.125233
a76	0.0668442	0.0412046	0.0362098	0.0460665	0.0776067	0.11612	0.149811	0.131449	0.140624	0.194064
a90	0.033842	0.0236142	0.0252601	0.0312369	0.0461677	0.0625092	0.116889	0.125391	0.197843	0.337248
a13	0.0371185	0.0310696	0.035308	0.0459526	0.0691404	0.0884275	0.155192	0.159667	0.171857	0.206267
a9	0.0315052	0.0234019	0.0247416	0.0363814	0.066102	0.086019	0.135123	0.14726	0.182156	0.26731
a87	0.0279562	0.0199955	0.0195799	0.0293347	0.0575904	0.09065	0.148111	0.148805	0.176573	0.281403
a79	0.0314088	0.0285085	0.0301515	0.0332497	0.0440038	0.0577115	0.0938016	0.117124	0.170881	0.393159
a76	0.0880599	0.0581316	0.0498802	0.0373147	0.0509582	0.0606716	0.0921789	0.0879424	0.117145	0.357718
a90	0.0277057	0.0202176	0.0230259	0.0307376	0.0474692	0.0592351	0.105398	0.114575	0.172669	0.398968
a82	0.0228856	0.0163309	0.0177297	0.0239289	0.0371915	0.0482831	0.0995086	0.11903	0.194783	0.420328
a87	0.006385	0.00515949	0.00604827	0.0101072	0.0245075	0.0401046	0.0887594	0.105234	0.211959	0.501736
a23	0.00965874	0.0075263	0.00805926	0.0100416	0.0161367	0.0242362	0.0569735	0.0743554	0.221051	0.571961
a4	0.0238874	0.0164695	0.0162873	0.0145837	0.0203005	0.0240705	0.04849	0.0713387	0.196	0.568572
a13	0.018923	0.0108443	0.009313	0.00930143	0.0167346	0.0260892	0.0657396	0.0836989	0.19848	0.560876
a9	0.011915	0.00706585	0.00671037	0.00676069	0.0120794	0.0176425	0.0457284	0.0696715	0.22045	0.601976
a87	0.0183725	0.0114879	0.0118169	0.0120564	0.0179266	0.0206263	0.0423276	0.0704349	0.209502	0.585449
a23	0.0113088	0.0080034	0.00880374	0.00892562	0.0110709	0.0123592	0.0286278	0.053183	0.192489	0.665228
a83	0.0281231	0.0215024	0.024933	0.0211075	0.0248871	0.0238305	0.0455221	0.0930245	0.2105	0.506569
a24	0.0134687	0.008311	0.0081805	0.00757254	0.014256	0.0241616	0.0827055	0.148679	0.262246	0.430419
a93	0.0167227	0.00973305	0.00963812	0.00875644	0.0120584	0.0158558	0.0449819	0.0969587	0.279388	0.505907
a70	0.00549901	0.00354867	0.00320306	0.00332222	0.00534652	0.00790671	0.0258428	0.0568093	0.217121	0.6714
a4	0.00523581	0.00368436	0.00377108	0.00407185	0.00598218	0.00833509	0.0271545	0.0649499	0.256951	0.619865
a53	0.00692242	0.00565466	0.00589611	0.00717961	0.0111101	0.01542	0.0403592	0.0670881	0.210593	0.629777
a20	0.00478809	0.00423787	0.00479281	0.00629027	0.0109032	0.0152371	0.0491418	0.0795071	0.23442	0.590682
a84	0.00545953	0.00464457	0.00532406	0.00708048	0.0141393	0.0203935	0.0466638	0.0644049	0.212303	0.619587
a57	0.00257081	0.00247165	0.00335196	0.00505771	0.00913536	0.011689	0.0263438	0.0478876	0.239377	0.652115
a87	0.00890853	0.00700898	0.00879132	0.00973988	0.0123639	0.0126838	0.0277042	0.0475728	0.244225	0.621002
</S>	0.0297578	0.0213793	0.0229135	0.0199876	0.0210463	0.0208124	0.0427245	0.0715069	0.182824	0.567048
