 	on	lui	a	administré	la	poudre	noire	là	où	le	serpent	l'	a	mordu	</S>
a66	0.0936894	0.0507037	0.0546234	0.0477065	0.0465688	0.0586666	0.0563455	0.08961	0.0811221	0.10438	0.0975904	0.0633662	0.0586854	0.061217	0.0357251
a87	0.070636	0.0414677	0.0343464	0.0464613	0.0365507	0.035516	0.0462674	0.0688641	0.0628414	0.0859184	0.105552	0.0862133	0.103585	0.117701	0.0580788
a40	0.083718	0.0437629	0.0339162	0.0438788	0.0366077	0.0363651	0.0539393	0.0847128	0.0813284	0.114365	0.104171	0.078429	0.0747247	0.0818046	0.0482764
a30	0.0772873	0.0592399	0.0410515	0.0390769	0.0321006	0.032189	0.0548348	0.0875771	0.0755633	0.109481	0.10258	0.0649073	0.0738298	0.097385	0.052896
a26	0.210211	0.100064	0.0489627	0.0305628	0.0164726	0.014565	0.0189776	0.0317223	0.0299853	0.0491436	0.0741536	0.0712408	0.0930898	0.119939	0.0909093
a38	0.129635	0.0721062	0.0522775	0.0489145	0.0321177	0.0313472	0.0321355	0.0446275	0.0471447	0.0594807	0.0641422	0.0618289	0.0761004	0.123136	0.125006
a41	0.120437	0.0973462	0.0788556	0.0684022	0.0518285	0.0536533	0.0444408	0.0504986	0.0470077	0.0502851	0.0557187	0.0535423	0.0617282	0.0858868	0.0803685
a61	0.164884	0.121335	0.0881927	0.0713478	0.0664726	0.0751894	0.0566939	0.0584525	0.0471973	0.0435344	0.0449276	0.038675	0.0377462	0.0435125	0.0418383
a34	0.13883	0.124943	0.110474	0.0984425	0.0871882	0.0991609	0.0667222	0.0646795	0.0446208	0.0312281	0.0256503	0.0225938	0.0232349	0.0306983	0.0315339
a56	0.106139	0.119269	0.127652	0.12081	0.103903	0.114724	0.073138	0.0660246	0.0429279	0.0265698	0.0200479	0.0178896	0.0166311	0.0206497	0.0236239
a13	0.083713	0.10667	0.123676	0.119832	0.10588	0.114994	0.0766585	0.0670435	0.0437325	0.0275763	0.021783	0.0221792	0.0217841	0.0287767	0.0357009
a93	0.0398727	0.0720671	0.118478	0.148071	0.132714	0.137086	0.0795881	0.0641514	0.0436833	0.0259023	0.0187178	0.0206294	0.0201643	0.0318659	0.047008
a96	0.042476	0.075458	0.114592	0.135892	0.128462	0.127231	0.0794016	0.0612187	0.0412457	0.024842	0.0191859	0.0231397	0.0241693	0.0391561	0.0635307
a34	0.0259258	0.0453991	0.0840232	0.150497	0.142142	0.126673	0.0852645	0.0704266	0.0549969	0.0340983	0.0244334	0.0261111	0.0237287	0.0382607	0.0680192
a13	0.0195657	0.0391743	0.07604	0.157656	0.153591	0.133659	0.0914719	0.0721602	0.0586454	0.0338231	0.0225163	0.0245975	0.0210481	0.0327378	0.0633131
a61	0.0127421	0.026823	0.0586403	0.160924	0.176889	0.135994	0.0795937	0.054901	0.0502819	0.0288284	0.0204342	0.0278436	0.0260612	0.0455662	0.0944773
a21	0.0171148	0.032522	0.0596873	0.129924	0.140337	0.122369	0.0863177	0.0711169	0.0674102	0.0426133	0.0308191	0.0349395	0.029875	0.0462048	0.0887488
a18	0.0227768	0.0361959	0.0534111	0.0887362	0.104815	0.094788	0.0641459	0.0587467	0.0618912	0.0440183	0.0390947	0.0495138	0.0520005	0.0860506	0.143815
a38	0.00911277	0.0148931	0.0268417	0.0746439	0.0950483	0.066016	0.0453278	0.0348938	0.0431047	0.0334079	0.0328718	0.0569044	0.0648439	0.137164	0.264926
a21	0.00554026	0.00653265	0.0102892	0.02387	0.0544202	0.0393548	0.0295954	0.0254057	0.0374308	0.0358208	0.0376218	0.0664128	0.0849459	0.190786	0.351974
a18	0.0124023	0.0196727	0.0264714	0.0439896	0.0573849	0.0507663	0.0367479	0.035892	0.0459852	0.0481318	0.0551389	0.0765252	0.0897455	0.150723	0.250424
a75	0.00445394	0.00547725	0.00858933	0.0227956	0.0379915	0.0237915	0.0213168	0.016225	0.0242733	0.0237722	0.0314495	0.0655211	0.0856176	0.204007	0.424718
a25	0.00809639	0.0138533	0.0149005	0.025525	0.037128	0.0298292	0.0223408	0.0188871	0.025046	0.02889	0.0402634	0.0691659	0.0971908	0.205692	0.363192
a69	0.00427363	0.00846147	0.0109613	0.0302135	0.0426539	0.0327732	0.0229823	0.0161153	0.0229461	0.0215656	0.0290621	0.0651226	0.0975952	0.225023	0.370251
a58	0.00304706	0.00595385	0.00791629	0.0216946	0.040992	0.0331743	0.0234163	0.0149355	0.0199984	0.0161352	0.0213066	0.0555953	0.0931795	0.244202	0.398454
a82	0.00301537	0.00303487	0.00328197	0.00782646	0.0221483	0.016806	0.0184126	0.01645	0.0290777	0.0334764	0.0448205	0.0839448	0.113484	0.226145	0.378076
a30	0.0338493	0.0264009	0.0192224	0.038099	0.0598867	0.0578433	0.0887495	0.080979	0.0902449	0.0563649	0.0492033	0.0735804	0.0823617	0.108044	0.135171
a38	0.055553	0.032038	0.0249813	0.0390152	0.0525617	0.0552093	0.0607087	0.0593316	0.0704819	0.0517849	0.0578457	0.0850952	0.0889319	0.119881	0.14658
a30	0.011454	0.00888258	0.00813733	0.0268073	0.0436793	0.0377848	0.046677	0.0370065	0.041349	0.0274262	0.0326717	0.0780298	0.119498	0.20411	0.276486
</S>	0.0138849	0.0131296	0.0114996	0.0235979	0.0312883	0.0293393	0.0472787	0.0444154	0.0457294	0.0404223	0.0505488	0.0938597	0.136439	0.212737	0.205831
