 	ma	mère	a	lancé	un	cri	d'	étonnement	en	me	voyant	travailler	</S>
a66	0.261246	0.217106	0.126599	0.08493	0.0450603	0.0336233	0.0398279	0.0354803	0.0352454	0.0402554	0.0438987	0.0206847	0.0160432
a87	0.365469	0.220696	0.11889	0.0839892	0.0495966	0.0329807	0.0241341	0.02401	0.0193484	0.0158662	0.0159839	0.0143949	0.0146407
a23	0.428014	0.256842	0.134284	0.0675656	0.0269045	0.0203827	0.011729	0.01115	0.0101616	0.00916943	0.00655811	0.00751026	0.009729
a87	0.310734	0.195312	0.115258	0.060234	0.0389604	0.0384273	0.0271984	0.0286646	0.035096	0.0349334	0.0328285	0.0390261	0.0433272
a23	0.312666	0.194686	0.123837	0.0674764	0.0474157	0.0408974	0.0298317	0.0281144	0.0328159	0.0323771	0.0314345	0.0297913	0.0286572
a53	0.195371	0.135321	0.118444	0.0789858	0.0627111	0.0576572	0.042079	0.0359229	0.0446384	0.0489416	0.0523035	0.0617055	0.0659194
a15	0.202013	0.199054	0.17386	0.143633	0.0641594	0.0495234	0.0334485	0.0243587	0.0227314	0.0221301	0.0230908	0.0211489	0.0208486
a6	0.0698999	0.0899937	0.117425	0.18184	0.157192	0.122897	0.0857744	0.0564546	0.0358511	0.0253122	0.0231831	0.0172602	0.0169172
a0	0.0655356	0.0935666	0.123641	0.169684	0.148089	0.12452	0.0916114	0.0644177	0.0357111	0.0236373	0.0218214	0.0185269	0.0192382
a47	0.0386789	0.0530325	0.0903186	0.154086	0.195056	0.155911	0.115485	0.0755769	0.0433904	0.0263652	0.0188522	0.0156145	0.017633
a96	0.0250536	0.0342491	0.0567396	0.105489	0.187773	0.181267	0.155638	0.104382	0.0566518	0.0329343	0.020798	0.0180386	0.0209856
a62	0.0317835	0.0384227	0.063381	0.114074	0.193296	0.176627	0.148033	0.100294	0.0525213	0.0299624	0.0191285	0.015342	0.0171347
a88	0.0212295	0.0223128	0.0324765	0.0643627	0.158764	0.178365	0.189137	0.127459	0.0800401	0.0497763	0.0311921	0.020919	0.0239653
a71	0.0187619	0.0195089	0.0253575	0.0474159	0.11828	0.151386	0.193551	0.131727	0.101021	0.0749626	0.0490925	0.0311588	0.0377772
a9	0.0286843	0.0312212	0.0315488	0.039424	0.0731651	0.102213	0.151873	0.0860554	0.107431	0.111117	0.094313	0.0662629	0.0766918
a38	0.0358481	0.0333739	0.0283643	0.0354931	0.0535747	0.0717558	0.106694	0.0695116	0.107512	0.131773	0.132524	0.094596	0.0989798
a5	0.0219044	0.0189067	0.0174012	0.022252	0.0453301	0.0703088	0.11373	0.0737231	0.106561	0.134947	0.127763	0.109043	0.138131
a18	0.00705151	0.00671363	0.009036	0.0182488	0.0394779	0.0563629	0.100953	0.0790846	0.0857979	0.133976	0.147039	0.150843	0.165416
a21	0.00741288	0.00895652	0.0114926	0.0189358	0.0370771	0.0512181	0.0811791	0.0584455	0.0733715	0.129631	0.183935	0.166832	0.171513
a25	0.00450438	0.00485547	0.00602634	0.00965237	0.0175274	0.0256865	0.0491063	0.0468476	0.0706677	0.151352	0.218608	0.215252	0.179914
a79	0.00130394	0.00132741	0.00197716	0.00448871	0.0139098	0.0237168	0.0485545	0.0378786	0.0565539	0.125069	0.190657	0.251393	0.24317
a69	0.00164641	0.00167124	0.00212591	0.0045463	0.0149011	0.0283695	0.0422415	0.0324225	0.0436183	0.0865266	0.138298	0.285674	0.317959
a44	0.00239582	0.00223276	0.00265468	0.00474263	0.0113452	0.0203845	0.0284651	0.023447	0.0340672	0.0691328	0.120409	0.311389	0.369334
a75	0.00120211	0.00111408	0.00135756	0.00219886	0.00503536	0.00944891	0.0148986	0.0134098	0.0204541	0.0388957	0.0797316	0.307712	0.504541
a5	0.000344766	0.000296834	0.000359278	0.000841573	0.00282022	0.00568192	0.0104092	0.0103971	0.0158958	0.029434	0.0666497	0.315608	0.541262
a18	0.000557444	0.000472996	0.000473374	0.000669274	0.00132598	0.00260625	0.00597511	0.00723229	0.015215	0.0315061	0.0675423	0.315844	0.55058
a0	0.00503031	0.00485454	0.00592933	0.00880041	0.012658	0.015318	0.0201656	0.0183689	0.0241498	0.0319119	0.0558409	0.249407	0.547565
a11	0.00395548	0.00387522	0.00491619	0.00725601	0.0113421	0.0131514	0.0169984	0.0142628	0.0198351	0.0285666	0.0612474	0.252529	0.562064
a54	0.00372786	0.00377351	0.00495649	0.00713545	0.0114818	0.0136113	0.0178258	0.0148113	0.0210224	0.0302679	0.0641254	0.252744	0.554516
a36	0.000358447	0.000400927	0.000485171	0.000938007	0.00264422	0.00559206	0.010845	0.0135827	0.0229155	0.0352246	0.0636801	0.2604	0.582934
a27	0.0140721	0.0135706	0.0152509	0.0194531	0.0246705	0.0271916	0.0308672	0.0285301	0.0383315	0.047373	0.069491	0.220069	0.451129
a57	0.0818736	0.0704639	0.0691402	0.0849059	0.0879784	0.0706281	0.0604423	0.0529964	0.0455731	0.0410926	0.0536628	0.0988286	0.182414
