 	la	mère	l'	a	frappé	parce	qu'	il	abîme	ses	vêtements	</S>
a87	0.103591	0.0615102	0.0558036	0.0574748	0.0845694	0.138531	0.172183	0.204944	0.0848624	0.0185212	0.00923926	0.00877058
a10	0.195461	0.101341	0.0991401	0.080395	0.112572	0.126557	0.0899357	0.0734777	0.0510893	0.0217433	0.0211124	0.0271753
a87	0.139705	0.0901801	0.0876894	0.104136	0.144798	0.138691	0.1036	0.0917221	0.0343863	0.0123139	0.0190121	0.0337653
a23	0.141207	0.113087	0.125446	0.129824	0.162407	0.119259	0.0842811	0.0613524	0.0209104	0.00999711	0.0139282	0.0183002
a99	0.142431	0.12009	0.166344	0.168714	0.162941	0.0943995	0.0555728	0.0331987	0.0126022	0.00789551	0.0133343	0.0224785
a13	0.170024	0.151343	0.154406	0.111067	0.0855342	0.0605808	0.0457778	0.0480643	0.0290964	0.0206141	0.0415227	0.0819701
a53	0.232372	0.240394	0.209619	0.110329	0.061847	0.0358797	0.025209	0.0246209	0.0107858	0.00769799	0.0161583	0.0250874
a20	0.216243	0.22474	0.165509	0.10516	0.0768391	0.0551859	0.0480312	0.0348376	0.0185585	0.0116115	0.0188241	0.0244591
a7	0.134675	0.152092	0.12326	0.111447	0.0960195	0.0644775	0.0529872	0.0404275	0.0367735	0.0361488	0.0614696	0.090223
a75	0.112412	0.155361	0.149653	0.135359	0.110655	0.0685353	0.0579996	0.0498873	0.0355503	0.0278756	0.036232	0.0604816
a12	0.0918816	0.119	0.108694	0.11086	0.105772	0.0822559	0.0830229	0.0782887	0.0689779	0.0389451	0.043505	0.0687973
a61	0.0814095	0.105395	0.121221	0.135533	0.124792	0.0861675	0.0822017	0.0749961	0.0644391	0.0342845	0.0335229	0.0560377
a96	0.0549094	0.0725318	0.101498	0.133331	0.138765	0.0947303	0.0863176	0.0804649	0.0723128	0.0476591	0.0476	0.0698804
