 	il	est	agréable	de	se	reposer	à	l'	ombre	</S>
a23	0.246576	0.235931	0.195759	0.0885336	0.0668321	0.0432234	0.0288301	0.028208	0.0363179	0.0297884
a87	0.277343	0.156415	0.145834	0.106218	0.0823087	0.0497872	0.0468746	0.0456376	0.0459485	0.0436337
a10	0.220681	0.156367	0.135064	0.11689	0.0862667	0.0525903	0.0442994	0.0459069	0.0615252	0.080409
a87	0.159716	0.171324	0.232325	0.124348	0.0722324	0.0611786	0.036431	0.0323999	0.0556957	0.0543501
a23	0.163119	0.174784	0.25415	0.136188	0.0773692	0.0528547	0.031895	0.0285834	0.0402672	0.0407901
a24	0.214088	0.26441	0.251046	0.0851014	0.0420604	0.0393098	0.0234592	0.0203083	0.0323103	0.0279064
a76	0.301926	0.360797	0.243419	0.0571532	0.0211031	0.00442146	0.00240244	0.00237896	0.00381844	0.00258019
a41	0.259261	0.306157	0.231281	0.0962743	0.0599153	0.0198018	0.00974008	0.00683916	0.00548262	0.0052474
a32	0.283359	0.29432	0.192723	0.108231	0.0691506	0.0239254	0.0105308	0.00681109	0.00521005	0.0057401
a75	0.308646	0.309036	0.137797	0.114391	0.0694941	0.0259185	0.0104791	0.00761097	0.00726661	0.00936071
a41	0.273671	0.261222	0.141706	0.138834	0.0988591	0.0354584	0.0167122	0.0117376	0.0101905	0.0116093
a26	0.261218	0.239859	0.0867676	0.136233	0.116828	0.0606562	0.0283418	0.0214023	0.0216988	0.0269955
a24	0.208587	0.177515	0.0646732	0.113152	0.119775	0.113392	0.060678	0.0435378	0.0422124	0.0564779
a76	0.203346	0.178696	0.0778268	0.139873	0.137063	0.104394	0.0556013	0.0368652	0.03108	0.0352549
a35	0.139336	0.135493	0.0693049	0.121439	0.157966	0.143023	0.0868626	0.057852	0.0452663	0.0434574
a26	0.114149	0.116793	0.0495977	0.0956	0.125991	0.149631	0.101273	0.080002	0.0753752	0.0915867
a24	0.0420255	0.0416424	0.0203617	0.0401936	0.0744358	0.211274	0.15915	0.12994	0.127658	0.15332
a25	0.0284348	0.0350984	0.0309758	0.0418557	0.0484478	0.125511	0.134701	0.148811	0.185779	0.220386
a87	0.015671	0.0160045	0.0131544	0.0235056	0.0323932	0.116824	0.119771	0.156291	0.232327	0.274058
a79	0.0131309	0.0145565	0.0107467	0.0184363	0.0237734	0.0781388	0.103505	0.140081	0.269208	0.328423
a41	0.00951147	0.00933427	0.00642564	0.0139833	0.0222438	0.0561288	0.0779892	0.128154	0.344403	0.331827
a32	0.0130213	0.0120124	0.00339712	0.0100826	0.0192845	0.0692959	0.0858327	0.129563	0.340302	0.317209
a26	0.00446063	0.00543531	0.00299267	0.0072186	0.0108956	0.043149	0.0655618	0.116076	0.365365	0.378845
a76	0.00191273	0.00214826	0.00131934	0.00388597	0.00712408	0.0407671	0.0673779	0.122838	0.365967	0.38666
a90	0.00247084	0.00327024	0.00138094	0.00404774	0.00612688	0.0283058	0.0528221	0.110379	0.372821	0.418375
a38	0.0045361	0.0046264	0.00193929	0.00448651	0.00659135	0.0312067	0.0511486	0.110927	0.369991	0.414548
a41	0.00404242	0.00312644	0.00180573	0.00475816	0.0054876	0.0253386	0.0422325	0.102233	0.329515	0.48146
a25	0.00387354	0.00279673	0.00177613	0.00427991	0.0046783	0.0223404	0.0327494	0.0833447	0.298665	0.545496
a87	0.00868077	0.00625924	0.00376097	0.00770592	0.00888526	0.0286919	0.0436744	0.1046	0.2777	0.510042
</S>	0.0147093	0.0109326	0.00603952	0.0117981	0.0143724	0.0316802	0.0493422	0.111855	0.260889	0.488381
