 	j'	ai	mal	à	la	tête	</S>
a23	0.428448	0.188558	0.105731	0.0712271	0.0634254	0.0704717	0.0721396
a70	0.423903	0.185409	0.122984	0.0843263	0.0732668	0.0628295	0.0472817
a24	0.501017	0.25579	0.119127	0.0443955	0.0257601	0.0249371	0.0289728
a98	0.395455	0.316481	0.16644	0.0623772	0.0299922	0.0182404	0.0110147
a66	0.27465	0.299939	0.200329	0.100256	0.0566923	0.0391106	0.0290241
a24	0.176362	0.192956	0.185388	0.142971	0.103984	0.0990042	0.0993342
a26	0.139117	0.144067	0.159573	0.169636	0.152193	0.134382	0.101031
a24	0.117002	0.129499	0.158498	0.183428	0.167798	0.133591	0.110183
a98	0.121815	0.119113	0.147951	0.172363	0.163787	0.147188	0.127783
a13	0.104329	0.101218	0.152375	0.199443	0.184564	0.151012	0.107059
a90	0.0476759	0.0465498	0.0844635	0.151188	0.208372	0.24279	0.218961
a75	0.0364586	0.0377533	0.0758324	0.160502	0.212491	0.249802	0.22716
a25	0.0329216	0.0285464	0.0497584	0.0973184	0.159977	0.283004	0.348475
a90	0.0147926	0.0127794	0.0255391	0.0596081	0.131682	0.312398	0.443201
a57	0.00707111	0.00606158	0.0131585	0.0329234	0.0857169	0.288426	0.566642
a38	0.00473812	0.00432357	0.00861723	0.0219208	0.0723553	0.26951	0.618535
a76	0.00673925	0.00488106	0.00829052	0.0197481	0.063477	0.238607	0.658257
a20	0.00733762	0.00512193	0.00941305	0.0185443	0.0541563	0.252918	0.652509
a84	0.00923206	0.00564636	0.00950888	0.017225	0.051995	0.251655	0.654737
a87	0.0192757	0.0107034	0.0142938	0.0198707	0.0487676	0.194442	0.692647
</S>	0.087418	0.051742	0.0466031	0.041597	0.0716607	0.203375	0.497604
