 	ils	se	sont	associés	pour	faire	le	travail	</S>
a85	0.285136	0.208207	0.14924	0.106917	0.0912848	0.0660342	0.0433886	0.0279352	0.0218562
a87	0.268952	0.134176	0.0959611	0.059561	0.0579649	0.0717782	0.0940863	0.102569	0.114951
a23	0.220673	0.179613	0.145989	0.123448	0.085564	0.0564552	0.0433724	0.0555315	0.089354
a20	0.166496	0.12224	0.0864474	0.0703016	0.0520112	0.0491474	0.0734471	0.131271	0.248638
a30	0.31395	0.194123	0.108535	0.0851134	0.0817517	0.0660336	0.0566938	0.0502692	0.0435301
a73	0.301374	0.237054	0.172932	0.114833	0.0775091	0.0341905	0.022242	0.0200153	0.01985
a26	0.205854	0.183769	0.165595	0.156833	0.123565	0.0575588	0.0362718	0.0338775	0.0366761
a38	0.144855	0.16167	0.171191	0.181642	0.127799	0.0683965	0.0471401	0.0454952	0.0518121
a41	0.121861	0.152284	0.169638	0.179464	0.119079	0.0683494	0.0550989	0.0605298	0.0736968
a18	0.17127	0.201813	0.203851	0.163977	0.116189	0.0576982	0.0309552	0.0260725	0.0281756
a88	0.133017	0.165348	0.181575	0.185331	0.140638	0.0770399	0.0417873	0.0347201	0.0405437
a98	0.138958	0.177725	0.193723	0.176317	0.136975	0.0793805	0.0390546	0.0274334	0.0304331
a71	0.13637	0.182694	0.203855	0.176814	0.137265	0.0769947	0.0342046	0.0242403	0.0275631
a9	0.093847	0.127843	0.162277	0.184784	0.147586	0.101611	0.0649769	0.0514742	0.0656003
a10	0.0649215	0.0839637	0.108085	0.172623	0.144269	0.114908	0.0959923	0.0935925	0.121645
a90	0.0655027	0.0780913	0.0908363	0.127439	0.106069	0.103144	0.104173	0.127881	0.196864
a94	0.0630754	0.0778837	0.0983781	0.127121	0.127989	0.13689	0.115661	0.105863	0.147139
a41	0.0561763	0.0585112	0.0636394	0.0757752	0.0888989	0.134897	0.185406	0.16938	0.167317
a94	0.0297834	0.0317784	0.0368894	0.062916	0.0840199	0.137544	0.192	0.201481	0.223587
a24	0.0228122	0.0217511	0.0213079	0.0385089	0.056904	0.11209	0.186676	0.250114	0.289837
a31	0.0154613	0.0130937	0.0126605	0.0199752	0.0330883	0.0827982	0.172431	0.283824	0.366668
a0	0.03177	0.0248737	0.0199831	0.0270251	0.0384866	0.0819049	0.155896	0.255261	0.3648
a32	0.0184074	0.0150409	0.0118509	0.0174645	0.0248541	0.0628215	0.149884	0.290175	0.409501
a75	0.0093648	0.00792259	0.00754395	0.011842	0.0179151	0.0448635	0.116284	0.280579	0.503685
a73	0.00964058	0.00920666	0.0101512	0.0185517	0.0289423	0.0713308	0.160008	0.280687	0.411482
a76	0.0106107	0.00886767	0.00802481	0.0130276	0.0203383	0.0524409	0.139434	0.297085	0.450171
a73	0.0119426	0.0109083	0.0110676	0.0177004	0.0246745	0.0582621	0.138828	0.273776	0.45284
a84	0.0107176	0.00894332	0.00854932	0.0129118	0.0199665	0.0490731	0.131009	0.279297	0.479532
a57	0.00487525	0.00357047	0.00304396	0.00342494	0.00497143	0.0136503	0.0593424	0.241493	0.665628
a87	0.00398278	0.00208237	0.0014973	0.00162164	0.00316932	0.0123325	0.0661592	0.278293	0.630861
</S>	0.00763548	0.00469108	0.00397509	0.00537673	0.0128974	0.0453266	0.129517	0.292331	0.49825
