 	oyibha	est	en	train	de	prélever	de	l'	arachide	comme	tribut	à	l'	entrée	de	la	vouma	</S>
a66	0.0659037	0.121114	0.156593	0.162963	0.223618	0.11237	0.0614081	0.0304846	0.0255873	0.010731	0.00812857	0.00331577	0.00362382	0.00346024	0.00316408	0.00269947	0.00248528	0.00235012
a10	0.12923	0.139212	0.126639	0.110336	0.0974959	0.0630398	0.0392244	0.0252846	0.0219553	0.0159646	0.0192994	0.024252	0.0225297	0.0218818	0.0222779	0.0261955	0.0408486	0.054334
a82	0.0720632	0.0412623	0.0460624	0.0498961	0.0740801	0.0747497	0.0597042	0.0765953	0.125298	0.100424	0.134191	0.0352025	0.0326175	0.0276349	0.0192734	0.0132053	0.00963093	0.00810869
a10	0.0791102	0.0475075	0.0536947	0.0540807	0.0763213	0.0782574	0.0620451	0.0763666	0.108953	0.0906292	0.0843587	0.0337451	0.0376238	0.0370083	0.0291424	0.0220187	0.0158253	0.0133114
a97	0.0666817	0.0439171	0.0486699	0.0508833	0.0728834	0.0848942	0.0652569	0.0748013	0.107482	0.0993052	0.0798569	0.0369822	0.0418617	0.0415321	0.032157	0.0245659	0.0158934	0.0123759
a30	0.0536646	0.0403541	0.0440396	0.0483376	0.0679135	0.0860438	0.0651085	0.0731994	0.108541	0.103726	0.091531	0.0402292	0.0469994	0.0450279	0.0338486	0.0248476	0.0151068	0.0114806
a53	0.0562167	0.0488864	0.0529272	0.0505847	0.0604776	0.0967413	0.0912166	0.1017	0.145607	0.0813474	0.0856618	0.0206565	0.0274252	0.0263103	0.0222214	0.0164218	0.00917892	0.00641858
a93	0.10138	0.0737965	0.0842986	0.0850729	0.0976169	0.109606	0.0828943	0.0715002	0.115528	0.0464611	0.0681245	0.00861625	0.0119027	0.0120447	0.010935	0.00836353	0.00628115	0.00557765
a70	0.147745	0.100727	0.121615	0.111216	0.122197	0.0934308	0.0649813	0.0512136	0.0624255	0.0282674	0.0308304	0.00946225	0.0111158	0.0117881	0.0106488	0.0085362	0.00703287	0.00676664
a31	0.120354	0.0887269	0.106562	0.0955782	0.111697	0.0981062	0.0729838	0.0608183	0.066801	0.0323083	0.0376341	0.0171668	0.0181304	0.0184966	0.0158584	0.0138622	0.0125648	0.0123515
a47	0.100069	0.0763325	0.0982311	0.0888881	0.122776	0.111887	0.0828402	0.0695301	0.0669843	0.0322265	0.0388979	0.0186114	0.0176215	0.017306	0.0146463	0.0140009	0.0143977	0.0147532
a75	0.0811581	0.0626427	0.0758078	0.0699697	0.102274	0.103806	0.0770185	0.0685245	0.0641626	0.0419697	0.0666686	0.0371225	0.0287606	0.0272004	0.0219346	0.0214302	0.0238805	0.0256691
a98	0.0832291	0.0898732	0.0975035	0.0962491	0.116036	0.0847267	0.0629859	0.0549869	0.0361307	0.0322216	0.0409847	0.0353599	0.0342202	0.0323062	0.0265356	0.0250717	0.0251324	0.0264468
a79	0.0864722	0.0885632	0.0963349	0.0904643	0.104726	0.0690401	0.053751	0.0486715	0.0304434	0.0287783	0.0354107	0.0362134	0.0372446	0.0365377	0.0328738	0.0339404	0.0408083	0.0497261
