 	femme	de	petite	taille	et	trapue	de	quoi	es-tu	morte	</S>
a66	0.227394	0.144155	0.106768	0.0757761	0.0699677	0.0638383	0.0481971	0.0436782	0.0585432	0.0770992	0.0845834
a87	0.18405	0.117621	0.103854	0.0942123	0.10884	0.112387	0.0746336	0.0443579	0.0474207	0.0546056	0.0580171
a23	0.323586	0.246963	0.144204	0.0760041	0.0521957	0.0529602	0.0319641	0.0269167	0.014978	0.0133983	0.0168306
a30	0.219516	0.198435	0.146091	0.0955537	0.0907875	0.0928629	0.0515858	0.0309541	0.0198051	0.0275947	0.0268145
a93	0.24919	0.169249	0.114865	0.0656454	0.0723222	0.106333	0.0704695	0.0490244	0.0329468	0.0368642	0.0330909
a96	0.299143	0.188895	0.109177	0.0733561	0.0722284	0.0792798	0.0624177	0.0465453	0.028144	0.0210877	0.0197251
a12	0.148737	0.151371	0.136704	0.110486	0.109605	0.103639	0.0931366	0.0755311	0.0368468	0.0189154	0.0150279
a21	0.0804597	0.0936479	0.121534	0.130108	0.12532	0.142392	0.121123	0.0944958	0.0395502	0.0247833	0.0265871
a47	0.0285721	0.0349697	0.0557803	0.0783998	0.111294	0.162072	0.16924	0.172188	0.0792599	0.0584554	0.0497691
a21	0.0558057	0.052673	0.0669075	0.0793203	0.115455	0.124509	0.120847	0.135846	0.0781117	0.08195	0.0885746
a12	0.0192206	0.016329	0.0234382	0.0346726	0.0758458	0.100255	0.0994713	0.121548	0.12478	0.19804	0.186399
a34	0.0170426	0.0130562	0.0175646	0.0246533	0.0551078	0.0640881	0.0581913	0.074229	0.12376	0.262981	0.289326
a93	0.0106046	0.00791766	0.00930885	0.0110679	0.0201409	0.0207344	0.0205261	0.0346434	0.100478	0.332772	0.431806
a4	0.00575841	0.00429158	0.00478718	0.00452109	0.0070275	0.00642946	0.00673935	0.0143537	0.0619577	0.328993	0.555141
a93	0.00399746	0.00297995	0.00269828	0.00194329	0.0017428	0.00138513	0.00190624	0.00572775	0.0335232	0.272927	0.671169
a90	0.00102264	0.000636327	0.000516387	0.000433422	0.000476357	0.000465704	0.0008826	0.0039485	0.0273738	0.244357	0.719887
a56	0.00075834	0.000496387	0.000381123	0.00034857	0.000464495	0.000415058	0.000849476	0.00405725	0.0251182	0.216373	0.750738
a93	0.00126569	0.000906008	0.000775713	0.000782013	0.000991681	0.00104762	0.0016404	0.00460318	0.0207717	0.187306	0.77991
a94	0.000940092	0.000657044	0.00053809	0.00048991	0.00080976	0.000936378	0.00187223	0.00515513	0.0298121	0.275759	0.68303
a98	0.0131743	0.00980883	0.0055064	0.00391299	0.00635421	0.00862735	0.0133138	0.0228258	0.0580286	0.248412	0.610035
a71	0.0100768	0.00634809	0.00349583	0.00289675	0.00426326	0.0056479	0.00650251	0.0099413	0.0287542	0.216845	0.705228
a9	0.228057	0.155906	0.066621	0.0323341	0.0284497	0.0396029	0.0360545	0.0350417	0.0446663	0.0994552	0.233812
a97	0.253966	0.224267	0.136571	0.0809247	0.0672648	0.0615224	0.0495054	0.0339959	0.0247748	0.0283864	0.0388224
a87	0.206257	0.170422	0.107047	0.0657317	0.0603481	0.0557472	0.036633	0.0266718	0.02502	0.0848117	0.16131
a23	0.149754	0.126806	0.0839491	0.0523788	0.0448518	0.0366625	0.0188041	0.0131117	0.0177134	0.146837	0.309131
a87	0.0442101	0.0428032	0.0216215	0.0123644	0.00754176	0.00784316	0.00757108	0.010944	0.0220633	0.234116	0.588921
</S>	0.0217073	0.0200445	0.0114098	0.0085214	0.00850831	0.0130056	0.0145466	0.0269908	0.0588378	0.296582	0.519846
