 	otomba	a	chassé	de	chez	lui	les	enfants	qu'	il	a	hérité	de	son	frère	aîné	</S>
a85	0.193192	0.0932693	0.0719682	0.0486669	0.0662688	0.0780871	0.086941	0.0813187	0.0802612	0.0739297	0.0677938	0.0316417	0.00850264	0.00559524	0.00460346	0.00385457	0.00410545
a66	0.498039	0.136486	0.108755	0.0455416	0.041019	0.0463542	0.031591	0.0174075	0.00924318	0.00762261	0.00923769	0.0104197	0.00436768	0.00519046	0.0057261	0.00884097	0.0141581
a87	0.154066	0.0774233	0.101274	0.081901	0.0774611	0.0929855	0.0823866	0.064285	0.0438269	0.0382447	0.0324172	0.0187605	0.00902251	0.0135979	0.0210548	0.036488	0.054805
a23	0.254765	0.127997	0.151918	0.0887822	0.0602088	0.0408675	0.0286871	0.0259686	0.0225908	0.0248116	0.0237582	0.0147112	0.00943854	0.0155514	0.0251994	0.0354071	0.0493377
a13	0.332972	0.157158	0.187542	0.0946946	0.0440081	0.0241151	0.0123776	0.00833866	0.00491585	0.00421128	0.00409119	0.00511613	0.00488385	0.00946891	0.0171674	0.0325036	0.0564347
a99	0.178908	0.144769	0.20123	0.128109	0.07355	0.0497116	0.0345803	0.0220989	0.0133278	0.0107835	0.0136374	0.0303665	0.0123827	0.0147219	0.0146805	0.0229141	0.0342286
a53	0.150004	0.173965	0.172962	0.131231	0.0628996	0.0378348	0.0329234	0.0247801	0.0178764	0.0157938	0.0247833	0.0473456	0.0200738	0.0206111	0.017244	0.0205514	0.0291193
a4	0.0620763	0.0730236	0.0900824	0.114684	0.0691806	0.0565369	0.0500119	0.037826	0.0276109	0.0260207	0.0417532	0.0915387	0.043271	0.0441722	0.0464974	0.0584556	0.0672584
a53	0.03008	0.0395812	0.0535271	0.0953747	0.0669635	0.0500278	0.0444179	0.0349914	0.0263515	0.0249212	0.0453371	0.113891	0.0651351	0.0631742	0.0688218	0.0817023	0.0957024
a20	0.0322109	0.0380216	0.0502706	0.0961966	0.0771689	0.0654374	0.0623432	0.0491592	0.0377572	0.0355168	0.0607242	0.117954	0.0581569	0.0449899	0.0474789	0.055968	0.0706454
a15	0.0135253	0.0183135	0.0309603	0.0644612	0.0550766	0.0595247	0.0575741	0.0439992	0.0329119	0.0334646	0.0664307	0.147788	0.0790893	0.0619556	0.0678667	0.0768231	0.0902352
