 	séparez	ces	enfants	qui	se	battent	</S>
a23	0.479053	0.147406	0.0535738	0.0482897	0.0516896	0.0830716	0.136916
a50	0.432941	0.191082	0.0894049	0.0726	0.0557991	0.0581873	0.0999864
a18	0.460786	0.243304	0.0924362	0.0699132	0.0640416	0.0351057	0.0344125
a0	0.459177	0.280948	0.0933343	0.0520324	0.0425231	0.0333851	0.0385998
a11	0.353307	0.277773	0.121974	0.0812443	0.0653372	0.0527353	0.0476291
a70	0.242805	0.21011	0.13995	0.121945	0.116892	0.0920828	0.0762146
a54	0.282817	0.187721	0.124894	0.119147	0.11093	0.0949643	0.0795266
a15	0.0837619	0.0729796	0.0676436	0.0885204	0.144873	0.277594	0.264627
a7	0.072499	0.0711712	0.0627598	0.0835886	0.128832	0.271114	0.310035
a54	0.0666858	0.0581831	0.0614381	0.0774152	0.115143	0.26392	0.357215
a47	0.0535372	0.0542933	0.0759263	0.106174	0.156947	0.281296	0.271827
a6	0.0159942	0.0238629	0.0701657	0.101184	0.16008	0.29177	0.336944
a37	0.0309907	0.0408163	0.119911	0.155172	0.187181	0.225115	0.240814
a47	0.035142	0.0375698	0.10479	0.144454	0.218158	0.200544	0.259343
a7	0.0205615	0.0279696	0.0878866	0.123139	0.20519	0.220421	0.314833
a44	0.00843203	0.0195322	0.0629489	0.0865419	0.162018	0.276246	0.384282
a54	0.00930985	0.0209944	0.0727459	0.108562	0.194254	0.270132	0.324002
a6	0.00385697	0.0100635	0.0664496	0.127129	0.252876	0.298173	0.241453
a7	0.00166035	0.00738227	0.0591441	0.111914	0.217992	0.319748	0.282159
a75	0.00128051	0.00591858	0.0363421	0.0680557	0.139834	0.319065	0.429504
a12	0.00238822	0.00997746	0.0529859	0.096589	0.176178	0.321324	0.340557
a18	0.00243745	0.00485935	0.0216479	0.0488692	0.145304	0.344738	0.432144
a25	0.00147926	0.00308373	0.0107613	0.0280438	0.070939	0.313263	0.57243
a87	0.000400801	0.00104194	0.00658036	0.0215735	0.063921	0.305894	0.600588
</S>	0.00918676	0.00822214	0.0160603	0.0359949	0.0752915	0.3849	0.470345
