 	le	bâton	que	tu	as	introduit	dans	le	terrier	du	blaireau	s'	est	cassé	</S>
a57	0.162252	0.18983	0.201794	0.15674	0.0796562	0.0399243	0.0412696	0.0341173	0.0231638	0.0165661	0.016835	0.0121714	0.00964448	0.00741415	0.00862081
a66	0.314294	0.270655	0.174766	0.080215	0.037453	0.0113905	0.0113687	0.00984604	0.00997343	0.0113262	0.0145744	0.0135614	0.0141702	0.0130191	0.0133864
a87	0.377428	0.295506	0.153627	0.0743055	0.0325038	0.0107479	0.00549359	0.00436301	0.00413285	0.00449276	0.00510527	0.00475208	0.00641806	0.0088765	0.0122474
a23	0.380546	0.245365	0.139423	0.0792653	0.041588	0.0203687	0.0119704	0.0104714	0.0105261	0.0112897	0.0114581	0.0086986	0.00839205	0.00891481	0.011723
a87	0.372195	0.215442	0.0966099	0.0498546	0.0321229	0.0269277	0.0181041	0.0198057	0.0206951	0.0210891	0.0231449	0.0197908	0.0221605	0.0254564	0.0366017
a23	0.354622	0.218708	0.108677	0.0658242	0.0443756	0.0281452	0.0202164	0.0200308	0.020424	0.0212886	0.0248859	0.0205921	0.0190006	0.0157372	0.0174729
a10	0.244447	0.150136	0.0819089	0.0504469	0.0471217	0.0289855	0.0275367	0.0329473	0.0381088	0.0425282	0.0488333	0.0464957	0.0487683	0.0481268	0.063608
a53	0.190415	0.130178	0.0894749	0.0582773	0.0490325	0.0308393	0.0344993	0.0382846	0.0425502	0.0493651	0.0607702	0.0596873	0.0597085	0.0491396	0.0577779
a69	0.209381	0.206474	0.189208	0.114218	0.0791993	0.0371535	0.0179024	0.0131418	0.0103822	0.0119499	0.0164753	0.0213414	0.0278895	0.0222204	0.0230629
a37	0.108596	0.137427	0.154003	0.141525	0.126636	0.0819155	0.0405433	0.0289671	0.0237108	0.023132	0.0263403	0.0285181	0.0329602	0.0227392	0.0229871
a83	0.0480013	0.0755368	0.10066	0.134772	0.15151	0.140195	0.056462	0.0400363	0.0342365	0.0318951	0.0365677	0.0375036	0.0431173	0.0328263	0.0366803
a61	0.0417511	0.0618481	0.0832061	0.125883	0.149318	0.147347	0.049274	0.0368479	0.032985	0.0317098	0.0370016	0.0387649	0.0510206	0.0498556	0.0631864
a88	0.0328445	0.045381	0.0638829	0.10495	0.133332	0.182883	0.0478311	0.0325544	0.0291659	0.0305421	0.0362241	0.04282	0.061618	0.0681374	0.087833
a71	0.031322	0.0428409	0.0695269	0.12341	0.148225	0.205581	0.0437895	0.0275661	0.0241342	0.0251912	0.027149	0.0310497	0.0478982	0.0624346	0.0898821
a38	0.0243204	0.0316039	0.0579683	0.110995	0.137774	0.202958	0.0486618	0.0316113	0.0301593	0.0318678	0.0364299	0.0388536	0.0553944	0.0645621	0.09684
a75	0.0190442	0.0226982	0.0418968	0.0853573	0.107003	0.170108	0.0547499	0.0362312	0.0359816	0.0383904	0.0445518	0.048181	0.0714325	0.0885424	0.135832
a6	0.011006	0.0149366	0.0281029	0.0615544	0.0984336	0.170654	0.0697851	0.0500796	0.0441989	0.043137	0.0446244	0.0533574	0.0811213	0.0983171	0.130691
a37	0.0125237	0.0153586	0.0244002	0.0487906	0.0801624	0.15296	0.0706947	0.0545938	0.0508485	0.0501344	0.0490327	0.0593313	0.0866688	0.104566	0.139935
a96	0.016597	0.0178062	0.0287265	0.0577873	0.0889913	0.194769	0.0805421	0.0539806	0.0471179	0.0459829	0.0437283	0.0450531	0.0650989	0.0842364	0.129582
a35	0.0122268	0.0130377	0.0184837	0.0363065	0.0592949	0.195064	0.0836041	0.055068	0.0521705	0.0587845	0.0577137	0.0591828	0.0762937	0.0922814	0.130488
a79	0.00680788	0.00733911	0.0117123	0.0228132	0.042347	0.168822	0.0775596	0.0574247	0.05993	0.0663712	0.0706386	0.0761541	0.0953844	0.101219	0.135477
a44	0.00379625	0.00390991	0.00693754	0.0153051	0.033605	0.149598	0.0719952	0.0566451	0.0633216	0.0720659	0.0773486	0.0756105	0.0954009	0.107926	0.166534
a57	0.00373425	0.00352109	0.00592536	0.0119055	0.0248076	0.135774	0.0734133	0.0618047	0.0696988	0.0805166	0.0848098	0.0792002	0.0937401	0.105102	0.166046
a82	0.00569911	0.00534268	0.00827514	0.01346	0.0241727	0.156871	0.104497	0.085624	0.0886083	0.0946322	0.0783552	0.0603372	0.0642752	0.077662	0.132188
a84	0.0217343	0.0180795	0.0201728	0.0257913	0.0301723	0.155018	0.116832	0.0998924	0.0948959	0.083057	0.066476	0.0529785	0.052865	0.0612204	0.100814
a53	0.0438877	0.0305688	0.0295973	0.0345151	0.0339445	0.124703	0.118266	0.1071	0.0985742	0.0831554	0.0683933	0.0537632	0.0487808	0.0510452	0.0737059
a93	0.0200147	0.012892	0.012459	0.0132866	0.0140832	0.0631851	0.0547472	0.0555851	0.0598141	0.0642518	0.0695932	0.0715712	0.0943634	0.141646	0.252507
a70	0.00160422	0.00126952	0.00178116	0.00261286	0.0050609	0.0422144	0.0331056	0.0350813	0.050894	0.069754	0.104241	0.122164	0.160691	0.15553	0.213995
a93	0.00148859	0.00126106	0.00177926	0.00267493	0.00481559	0.0400734	0.0278436	0.0270356	0.036923	0.054326	0.083205	0.107538	0.167522	0.18752	0.255994
a4	0.00102031	0.000863684	0.00132329	0.00219286	0.00458125	0.0424326	0.0302143	0.0298641	0.041658	0.0570029	0.0871923	0.109805	0.16488	0.180848	0.246121
a57	0.0009288	0.000783079	0.00111232	0.00167789	0.0031034	0.02905	0.0223988	0.0239001	0.0355298	0.0533169	0.0795596	0.102699	0.16279	0.198707	0.284444
a82	0.0014052	0.00111231	0.00159053	0.00251222	0.00400696	0.0395188	0.0328324	0.0317224	0.0410369	0.0525419	0.0627211	0.0772849	0.136913	0.201225	0.313576
a87	0.0155206	0.0126564	0.0127491	0.014508	0.0140172	0.0517288	0.0534909	0.0549189	0.0642308	0.0691281	0.0724983	0.0916679	0.123704	0.149912	0.199269
a23	0.0672366	0.0430432	0.0343639	0.0273262	0.0247462	0.0447935	0.0620394	0.0715593	0.0824047	0.0822477	0.0874385	0.0973461	0.0954981	0.0860735	0.0938831
a83	0.0590057	0.0307808	0.0240736	0.0147619	0.0150462	0.0154648	0.0224806	0.026963	0.0387959	0.0549698	0.0698959	0.0927997	0.130684	0.166185	0.238094
a9	0.00293156	0.00179826	0.00228959	0.00240083	0.00440272	0.013179	0.0186891	0.0259571	0.0389547	0.0531378	0.0743018	0.115569	0.168196	0.19729	0.280902
a30	0.00188684	0.00142099	0.0021345	0.00278107	0.00517007	0.0120651	0.0121898	0.0161179	0.0260068	0.0374257	0.0491179	0.0744586	0.148879	0.2375	0.372845
a99	0.00748408	0.00553854	0.0070818	0.00844972	0.0134903	0.0210635	0.0192747	0.0242821	0.0351078	0.0417749	0.0480156	0.0638527	0.1237	0.218798	0.362087
a18	0.0241647	0.0151495	0.0145098	0.0152219	0.0200035	0.0375162	0.0376143	0.047255	0.0617701	0.0648964	0.0674236	0.0755719	0.111821	0.164291	0.242792
a38	0.00580705	0.00343053	0.00365725	0.0037406	0.00573828	0.0185151	0.0187027	0.0252909	0.0386499	0.0524775	0.0612757	0.0859771	0.144098	0.217137	0.315503
a83	0.00237496	0.001558	0.00187522	0.00208255	0.00337483	0.0164454	0.0181826	0.0245033	0.0402414	0.0531211	0.0642646	0.0880786	0.144232	0.218079	0.321586
a18	0.000611121	0.00043657	0.000548516	0.000579901	0.000950588	0.00790919	0.0107684	0.0148385	0.0293222	0.0426665	0.064025	0.104987	0.173178	0.227316	0.321863
a26	0.00227939	0.00154912	0.00170448	0.0019232	0.00276242	0.0100581	0.0144395	0.0210608	0.0370103	0.0438637	0.0537957	0.0789403	0.132609	0.229799	0.368206
a57	0.0171691	0.0105846	0.00898048	0.00794458	0.00816391	0.0141024	0.0227177	0.0311851	0.0508876	0.0535247	0.0641914	0.094303	0.131557	0.194714	0.289974
a87	0.0518666	0.0319085	0.0206886	0.0144637	0.0117753	0.0143537	0.0257326	0.0359904	0.0517383	0.0505287	0.057316	0.0779971	0.108186	0.174497	0.272958
a23	0.0912161	0.0724701	0.0523385	0.0393722	0.0223558	0.0261002	0.0453302	0.0556637	0.0684687	0.0617362	0.0655356	0.0682022	0.0813724	0.100232	0.149606
a87	0.120841	0.0696395	0.0475429	0.0272046	0.0168451	0.019887	0.0230764	0.0235539	0.0332068	0.0436052	0.0487458	0.0625855	0.0998873	0.13969	0.223689
</S>	0.0590424	0.0416249	0.033197	0.0242867	0.0197636	0.020925	0.0218895	0.022779	0.0314094	0.0361481	0.0386272	0.0511155	0.105514	0.177968	0.315709
