 	il	a	achevé	son	repas	</S>
a23	0.336839	0.248703	0.176868	0.117071	0.0669059	0.0536131
a53	0.351546	0.208982	0.210933	0.116759	0.0668907	0.0448895
a54	0.291114	0.247893	0.233356	0.100535	0.0669091	0.0601934
a14	0.431985	0.319681	0.149086	0.0584466	0.0297336	0.0110683
a35	0.399408	0.357896	0.169302	0.0511412	0.0160061	0.00624614
a24	0.400223	0.325673	0.169182	0.064119	0.0262781	0.0145247
a32	0.396663	0.295174	0.187662	0.0753998	0.0276929	0.0174076
a24	0.358242	0.298375	0.206683	0.0869515	0.0313699	0.0183775
a26	0.361189	0.314534	0.198259	0.0764703	0.0324898	0.0170578
a43	0.252337	0.267414	0.275666	0.132634	0.0512872	0.0206622
a75	0.235695	0.275927	0.270421	0.136209	0.0573537	0.0243939
a14	0.20553	0.252342	0.270225	0.151651	0.0828025	0.0374482
a26	0.152481	0.193771	0.266914	0.190397	0.125406	0.0710303
a38	0.0605992	0.0868463	0.163093	0.222697	0.251801	0.214964
a21	0.0631679	0.0853484	0.169744	0.215698	0.2604	0.205642
a41	0.0108975	0.0147912	0.0414475	0.109267	0.300428	0.523168
a30	0.0301046	0.0373791	0.0814665	0.139582	0.302191	0.409277
a57	0.034335	0.0367236	0.0537201	0.0893986	0.231743	0.55408
a87	0.0253582	0.0224819	0.0271481	0.0475872	0.198185	0.679239
</S>	0.0142643	0.0148183	0.027788	0.0922543	0.270248	0.580628
