 	le	pain	que	tu	as	gardé	est	encore	entier	</S>
a66	0.267781	0.171776	0.117687	0.0659099	0.0693336	0.0908506	0.0916822	0.062955	0.0372963	0.0247279
a10	0.187947	0.111671	0.0850328	0.0650114	0.0910179	0.0985549	0.12106	0.0914682	0.0775471	0.070689
a87	0.282321	0.204939	0.182806	0.114627	0.0850446	0.0565109	0.0269957	0.0157384	0.0160638	0.0149534
a23	0.257442	0.179408	0.16003	0.12756	0.103915	0.0750472	0.0394821	0.0215177	0.0192767	0.0163224
a13	0.331054	0.183509	0.127456	0.0777456	0.0723746	0.0573009	0.0420133	0.034207	0.0378616	0.0364784
a40	0.24952	0.174931	0.10804	0.075002	0.0737799	0.0841194	0.0682091	0.0589588	0.0575077	0.0499325
a7	0.326624	0.229944	0.160867	0.0940377	0.0545892	0.0452473	0.0270106	0.0213786	0.0208064	0.0194947
a20	0.178805	0.144777	0.166687	0.164393	0.105882	0.0731068	0.049453	0.0444338	0.0409598	0.0315022
a44	0.108644	0.111103	0.157975	0.188915	0.137195	0.0879371	0.056779	0.0547241	0.0548589	0.0418693
a15	0.055042	0.0677898	0.117849	0.179623	0.174164	0.117859	0.0790615	0.0704139	0.0750566	0.0631414
a7	0.0906898	0.0954194	0.144153	0.169693	0.149655	0.0982032	0.0586874	0.0548948	0.069281	0.069323
a4	0.041279	0.0505615	0.0836276	0.118194	0.145362	0.109493	0.0799943	0.0876487	0.125541	0.1583
a13	0.0316451	0.0411892	0.0763453	0.115153	0.160576	0.148625	0.106028	0.0918667	0.103278	0.125293
a18	0.0168766	0.022748	0.044338	0.0755137	0.129144	0.147743	0.126135	0.106778	0.140735	0.189988
a88	0.0110066	0.0115969	0.0181128	0.0327415	0.0676246	0.110215	0.150874	0.143209	0.185014	0.269605
a54	0.00525666	0.00587948	0.00864865	0.0160293	0.0370941	0.0657548	0.121918	0.164721	0.230537	0.344162
a7	0.0186515	0.0204034	0.0326309	0.0413772	0.0625835	0.082299	0.0985379	0.150093	0.181721	0.311702
a36	0.0085812	0.011269	0.0153686	0.0209227	0.0295922	0.0474677	0.0753322	0.156989	0.241303	0.393174
a11	0.0102959	0.0108381	0.0117686	0.0137457	0.0184907	0.0286363	0.0523022	0.138651	0.251132	0.46414
a54	0.00455603	0.005175	0.00490188	0.00631188	0.0102983	0.0206288	0.0537641	0.1562	0.279097	0.459068
a36	0.00445855	0.00412617	0.00399244	0.00416707	0.00581576	0.0103106	0.0299667	0.136251	0.283019	0.517893
a2	0.00985832	0.00885808	0.00883747	0.010076	0.0134433	0.018263	0.0392474	0.130502	0.287444	0.47347
a11	0.0854621	0.0607084	0.0474804	0.0427107	0.0360435	0.0395887	0.0720022	0.147177	0.205536	0.263291
a38	0.151184	0.0909586	0.0616958	0.0506725	0.0507696	0.0419776	0.0607985	0.10813	0.171786	0.212027
a71	0.108841	0.0638887	0.0507216	0.0469313	0.0555125	0.0490835	0.0692486	0.13262	0.202109	0.221043
a9	0.0638586	0.039037	0.0299415	0.0335565	0.0399007	0.0388944	0.0678945	0.138455	0.235158	0.313303
a82	0.235895	0.128221	0.0834524	0.0528508	0.0461039	0.0366256	0.0511848	0.0908863	0.129303	0.145478
a57	0.162141	0.118059	0.0916531	0.0584925	0.0531972	0.0444001	0.0625322	0.106783	0.141002	0.161739
a87	0.122527	0.110501	0.100841	0.0686716	0.0672328	0.058787	0.0700603	0.10305	0.138607	0.159723
a23	0.0957071	0.0968493	0.0980127	0.0760329	0.0729771	0.0640108	0.0801868	0.119644	0.143674	0.152906
a87	0.0797942	0.0639553	0.0644299	0.062051	0.0501013	0.0412218	0.0816011	0.162888	0.188149	0.205809
</S>	0.0784627	0.0618518	0.0600513	0.0459714	0.035656	0.0327837	0.0642428	0.140111	0.217668	0.263201
