 	l'	abondance	de	nourriture	me	rend	gai	</S>
a66	0.185164	0.207239	0.22117	0.204179	0.123156	0.0388289	0.012893	0.00737105
a87	0.39295	0.239422	0.152381	0.10101	0.0563206	0.0250702	0.0192296	0.0136171
a23	0.3003	0.2666	0.190433	0.119157	0.0595614	0.0248388	0.0212187	0.0178906
a30	0.229862	0.197727	0.169245	0.115277	0.0836067	0.053473	0.064972	0.0858368
a4	0.227351	0.219278	0.210863	0.14089	0.0753047	0.0408603	0.0409789	0.0444739
a70	0.294376	0.283537	0.175837	0.111466	0.0631582	0.0328012	0.0222772	0.0165471
a31	0.25024	0.263457	0.173987	0.143651	0.0759825	0.0490969	0.0299812	0.0136048
a96	0.214282	0.194229	0.127578	0.141215	0.118546	0.101006	0.0752062	0.0279385
a98	0.220921	0.178626	0.124195	0.132253	0.109181	0.101166	0.0964896	0.037169
a79	0.122438	0.117868	0.102983	0.131319	0.153893	0.166773	0.140976	0.0637492
a37	0.131914	0.141811	0.144388	0.179518	0.152066	0.101339	0.087481	0.061483
a21	0.168844	0.177783	0.145017	0.163239	0.12105	0.0788616	0.0781259	0.06708
a5	0.155132	0.153117	0.131461	0.166294	0.134086	0.0912392	0.0896409	0.0790312
a47	0.0560169	0.0715256	0.0937785	0.140355	0.1707	0.147851	0.158734	0.161039
a88	0.0364929	0.0586663	0.10621	0.158843	0.215147	0.165654	0.138138	0.120848
a21	0.0274053	0.0451311	0.0927005	0.132795	0.212104	0.193432	0.159722	0.136711
a85	0.0112968	0.0163415	0.0311887	0.0523755	0.11336	0.175525	0.281652	0.318261
a6	0.0097484	0.0154253	0.0284314	0.0459203	0.0937106	0.169065	0.260907	0.376792
a79	0.0077511	0.0151406	0.034495	0.0476045	0.117939	0.185484	0.246838	0.344747
a69	0.00544612	0.00984854	0.0226907	0.0344143	0.0962533	0.171331	0.262752	0.397264
a75	0.00340993	0.00542712	0.011442	0.0186792	0.0585042	0.123862	0.248092	0.530584
a21	0.00102681	0.001585	0.00368406	0.00638396	0.0247976	0.086371	0.270114	0.606038
a61	0.00109005	0.00124032	0.00200783	0.00351068	0.0122482	0.0513311	0.207893	0.720678
a12	0.00114198	0.00133447	0.00193902	0.00286682	0.00820183	0.0340803	0.159736	0.7907
a18	0.000990061	0.00129974	0.00192965	0.00264413	0.00720881	0.0300432	0.141286	0.814599
a0	0.0044539	0.00643512	0.00743919	0.00792241	0.0137311	0.041981	0.155439	0.762598
a88	0.0218084	0.0246782	0.0248072	0.0233407	0.0401591	0.0847786	0.19798	0.582447
a71	0.018974	0.0200873	0.0223625	0.0235891	0.0437757	0.093642	0.207013	0.570556
a82	0.0318271	0.0300005	0.0318026	0.0331662	0.0623299	0.113218	0.215458	0.482198
a87	0.102993	0.0807212	0.0752917	0.067444	0.0887683	0.107821	0.177644	0.299318
a23	0.194494	0.194257	0.174869	0.117174	0.0927295	0.0653521	0.0711529	0.0899707
a87	0.0515812	0.035267	0.0313185	0.0272844	0.0485858	0.0980987	0.239132	0.468732
</S>	0.0305234	0.0210813	0.0199791	0.0166707	0.0293501	0.0559908	0.209302	0.617103
