 	la	verge	du	chien	est	rouge	</S>
a66	0.38072	0.17923	0.119885	0.127606	0.103733	0.0546625	0.0341644
a87	0.184146	0.16928	0.208047	0.19336	0.130947	0.0660944	0.0481261
a97	0.441666	0.267894	0.119137	0.0550475	0.0418951	0.0356351	0.0387252
a3	0.494273	0.319072	0.0957287	0.0287096	0.0186769	0.0175791	0.0259609
a99	0.521327	0.292218	0.0899538	0.0313149	0.0206317	0.018832	0.0257226
a87	0.585067	0.237563	0.070122	0.0331341	0.0250982	0.0230016	0.0260138
a23	0.563724	0.275754	0.0864136	0.0292161	0.0163202	0.0129109	0.0156614
a50	0.533116	0.220711	0.092722	0.0521451	0.036649	0.030876	0.033781
a83	0.370289	0.255664	0.145797	0.0849956	0.0581845	0.0440536	0.0410157
a71	0.251445	0.281445	0.203873	0.108296	0.0641961	0.0452856	0.0454598
a75	0.136421	0.201867	0.225212	0.1784	0.102572	0.0736512	0.0818771
a85	0.132421	0.222871	0.22535	0.153196	0.104003	0.0784744	0.0836858
a6	0.101278	0.21013	0.262226	0.179937	0.100909	0.0712436	0.0742765
a98	0.132263	0.16152	0.179069	0.164657	0.133138	0.11439	0.114963
a85	0.0861822	0.127262	0.191765	0.205954	0.160932	0.118793	0.109111
a6	0.0465079	0.077413	0.136028	0.197926	0.193616	0.170721	0.177789
a5	0.0551692	0.0575188	0.0839241	0.141952	0.213406	0.220258	0.227772
a18	0.0280216	0.0305701	0.0449811	0.0921416	0.177831	0.264664	0.361791
a61	0.00171436	0.00111421	0.00164293	0.00479211	0.0303091	0.216613	0.743814
a88	0.00301955	0.00229587	0.00386446	0.0107431	0.0458508	0.217521	0.716705
a0	0.00209222	0.00170613	0.00387572	0.0151109	0.0572353	0.229116	0.690864
a90	0.0101457	0.00798774	0.0141421	0.0261449	0.0771278	0.258345	0.606107
a4	0.000743052	0.000815818	0.00208402	0.00910335	0.0370917	0.197044	0.753118
a57	0.000998287	0.000869033	0.00219049	0.0113259	0.0499916	0.23765	0.696975
a3	0.000985702	0.000804877	0.00238737	0.00975399	0.0431616	0.223663	0.719243
a87	0.0614761	0.0422496	0.0584782	0.0737395	0.129233	0.233679	0.401145
a23	0.173935	0.120551	0.134072	0.122314	0.13506	0.14368	0.170389
a87	0.0939636	0.0748617	0.082388	0.0734721	0.108297	0.202889	0.36413
</S>	0.0225538	0.0179288	0.0202954	0.0293159	0.0759334	0.247713	0.586259
