 	pendant	la	grande	saison	sèche	les	femmes	sèchent	du	poisson	</S>
a82	0.227638	0.168279	0.140362	0.103438	0.114588	0.0901514	0.0569275	0.0450421	0.0240115	0.0172581	0.0123047
a10	0.11247	0.0978771	0.109444	0.125678	0.102497	0.103366	0.0772716	0.0959317	0.0657086	0.0524813	0.0572744
a82	0.204872	0.136501	0.146902	0.125061	0.107483	0.0722996	0.0416543	0.0551136	0.038357	0.0344005	0.0373558
a38	0.235263	0.157162	0.151084	0.104745	0.0948645	0.0663514	0.0418821	0.056699	0.0342051	0.0279452	0.0297981
a62	0.268858	0.19138	0.175904	0.107283	0.100025	0.0487909	0.0245413	0.0268477	0.0213929	0.0178032	0.0171743
a21	0.261523	0.194858	0.16435	0.109912	0.101682	0.0422583	0.0252792	0.0204844	0.0219027	0.0252438	0.0325056
a56	0.360893	0.244456	0.1587	0.0835356	0.0585815	0.0172768	0.0122758	0.00853525	0.0123935	0.0186993	0.0246527
a90	0.299709	0.22684	0.159841	0.0967582	0.0811971	0.0251407	0.017625	0.0109761	0.0180204	0.0268364	0.0370557
a25	0.214506	0.178557	0.137273	0.103203	0.105179	0.0543268	0.0425429	0.0217455	0.0343723	0.0472676	0.0610258
a21	0.200029	0.179129	0.137122	0.10734	0.111439	0.071425	0.0542503	0.023126	0.0280515	0.0378878	0.0502002
a85	0.209916	0.183298	0.162666	0.132309	0.127652	0.0606565	0.0386765	0.017195	0.0178388	0.0204048	0.0293868
a5	0.121442	0.139905	0.154614	0.137263	0.129078	0.0871445	0.0724198	0.0374165	0.0353652	0.0361417	0.0492099
a61	0.138864	0.139569	0.135132	0.118278	0.120812	0.0910309	0.0753317	0.0418748	0.0402045	0.0427474	0.056155
a56	0.0708423	0.0734324	0.0767587	0.0792197	0.0969283	0.0999613	0.112507	0.0954339	0.0973575	0.0902432	0.107316
a44	0.0406127	0.0386995	0.0395849	0.0452886	0.0671171	0.0957703	0.134419	0.131432	0.139637	0.12607	0.141368
a98	0.0233809	0.0206242	0.0181787	0.0195332	0.0347378	0.0757837	0.1289	0.155442	0.171291	0.16258	0.189548
a41	0.0271958	0.0243701	0.0226347	0.0250256	0.0422556	0.0838109	0.138876	0.168158	0.181976	0.139413	0.146285
a36	0.0186472	0.0151723	0.0142719	0.0156873	0.0236182	0.0489269	0.0959154	0.175851	0.184094	0.170655	0.237161
a61	0.00457065	0.00350033	0.00316392	0.00335231	0.00471841	0.0120963	0.0239887	0.062557	0.107994	0.216365	0.557693
a21	0.00756876	0.00674122	0.00650452	0.00694408	0.0108353	0.0242575	0.046526	0.100087	0.138938	0.213099	0.438499
a85	0.0102938	0.00931762	0.0087113	0.00913895	0.0138787	0.0294341	0.0517001	0.11943	0.149009	0.20703	0.392056
a6	0.00813613	0.00648506	0.00567066	0.00603777	0.00777	0.0146599	0.0297188	0.092793	0.12238	0.210178	0.49617
a43	0.00234518	0.00193266	0.00185525	0.00218885	0.00307895	0.00790459	0.0212383	0.0798116	0.117241	0.219851	0.542553
a61	0.00135879	0.00108261	0.000986166	0.00125481	0.00215541	0.00823869	0.0229231	0.0895312	0.121554	0.220808	0.530107
a88	0.00115082	0.00104194	0.00101694	0.00130906	0.00236996	0.00824886	0.0218615	0.0915233	0.134687	0.236768	0.500023
a66	0.00122721	0.000859987	0.000561855	0.000690931	0.00119966	0.00490434	0.0122919	0.0717066	0.136293	0.252587	0.517677
a9	0.01017	0.00757322	0.00603101	0.00843308	0.0112148	0.024276	0.0383015	0.0955471	0.128804	0.220535	0.449114
a3	0.098797	0.0572946	0.040211	0.0351461	0.0379427	0.0554751	0.0589248	0.105098	0.0999398	0.143697	0.267474
a97	0.0740547	0.0472324	0.0389266	0.0350271	0.0425668	0.0689288	0.0781077	0.163996	0.147826	0.143604	0.15973
a3	0.0594675	0.033851	0.0236109	0.020471	0.0251988	0.0455599	0.0575988	0.165846	0.187483	0.184165	0.196748
a97	0.05123	0.0304957	0.0234938	0.022201	0.0283963	0.038969	0.0468589	0.141223	0.191852	0.198835	0.226446
a3	0.0669236	0.0456201	0.0422977	0.039833	0.0486495	0.0481524	0.0468456	0.124832	0.164978	0.166391	0.205476
a82	0.0384726	0.0253053	0.0223307	0.021874	0.0289729	0.0303164	0.0372404	0.0925165	0.157305	0.20249	0.343176
a97	0.0521294	0.0369717	0.0343131	0.0308962	0.0382416	0.0375474	0.0443743	0.0943509	0.148449	0.186061	0.296665
a82	0.0751099	0.049855	0.0469316	0.0411727	0.0501337	0.0464528	0.0493581	0.0967469	0.135762	0.159805	0.248672
</S>	0.0574114	0.0344307	0.0293586	0.0258696	0.0327217	0.0350538	0.0429644	0.0888812	0.142348	0.189456	0.321505
