 	il	est	en	train	de	se	gratter	le	flanc	</S>
a85	0.259483	0.181394	0.12393	0.107546	0.0956827	0.0818111	0.0591443	0.0328497	0.03138	0.0267792
a10	0.235215	0.147124	0.112896	0.0963138	0.11016	0.07677	0.0440825	0.0403586	0.066986	0.0700941
a30	0.252003	0.191715	0.129423	0.0857171	0.0647905	0.0347058	0.0186841	0.0248222	0.0769963	0.121144
a53	0.269076	0.216124	0.149033	0.0931211	0.0620835	0.0297814	0.0171657	0.0205185	0.0573374	0.0857599
a15	0.301744	0.224856	0.112444	0.059524	0.0390331	0.0288641	0.0267992	0.036236	0.0736955	0.0968036
a69	0.330271	0.267038	0.14061	0.0594853	0.0333597	0.0244013	0.0200052	0.022758	0.0446786	0.0573925
a4	0.222224	0.193006	0.138168	0.0717746	0.0458137	0.0372773	0.0351446	0.0433384	0.0962573	0.116996
a90	0.12078	0.143309	0.138133	0.0871305	0.0568712	0.0439314	0.0381453	0.0586993	0.146262	0.166738
a98	0.0951132	0.116619	0.119447	0.0910601	0.0681766	0.068315	0.0609098	0.0706488	0.138734	0.170976
a85	0.100763	0.112644	0.117522	0.0956889	0.085833	0.0976264	0.0952264	0.0846436	0.0941482	0.115903
a47	0.0809956	0.0967041	0.119727	0.0977923	0.0847703	0.095093	0.0906669	0.0781463	0.121234	0.13487
a73	0.0653815	0.0715973	0.0893368	0.0865497	0.0750761	0.076167	0.0820387	0.0752948	0.165277	0.213281
a7	0.051655	0.0568439	0.0829478	0.0967703	0.089312	0.10045	0.100807	0.0778727	0.152239	0.191102
a54	0.0405851	0.0441057	0.0651689	0.0878059	0.100374	0.111666	0.102316	0.073411	0.162855	0.211712
a47	0.0213139	0.021731	0.0275061	0.0337076	0.034621	0.0453447	0.0728239	0.104806	0.245573	0.392574
a85	0.0279904	0.0268116	0.0304516	0.0385628	0.0366541	0.0506721	0.0910024	0.113847	0.239907	0.344101
a5	0.0221284	0.0196503	0.022075	0.0267185	0.0226718	0.0268861	0.0470528	0.0894477	0.284516	0.438853
a18	0.0152157	0.0126623	0.013105	0.0155332	0.0135749	0.0181317	0.0384636	0.103304	0.3094	0.46061
a24	0.00753171	0.00518974	0.00527084	0.00642428	0.00690059	0.00869255	0.013455	0.0403696	0.243179	0.662986
a88	0.00461714	0.00254188	0.00232888	0.00304924	0.00471547	0.00864717	0.0145555	0.0479883	0.243512	0.668045
a9	0.00193211	0.00113003	0.0010794	0.00128952	0.00204505	0.00481219	0.0102648	0.0449547	0.228917	0.703575
a99	0.0478132	0.029399	0.0249781	0.0288153	0.0479595	0.0558327	0.0556965	0.0814914	0.186638	0.441376
a87	0.0928411	0.0625117	0.0516465	0.0546348	0.0833432	0.0920105	0.0979262	0.0914156	0.140122	0.233549
a23	0.0987814	0.0681032	0.062097	0.0640625	0.094781	0.0986876	0.094334	0.0832986	0.137564	0.198291
a9	0.0433827	0.0241707	0.0162126	0.013229	0.0158845	0.0193645	0.0360386	0.114489	0.276126	0.441103
a97	0.0112898	0.00752464	0.00704494	0.00865206	0.0123502	0.0176755	0.0428641	0.132405	0.288252	0.471941
</S>	0.0310571	0.0188705	0.0163379	0.0188395	0.0240548	0.0274109	0.0456865	0.107906	0.282338	0.427499
