 	il	y	a	beaucoup	de	larves	dans	cet	étang	</S>
a66	0.138937	0.118921	0.125092	0.115034	0.173246	0.135918	0.102208	0.0539012	0.0229429	0.0138
a87	0.186558	0.136069	0.108825	0.0955272	0.103417	0.142501	0.134096	0.0581694	0.0224416	0.0123969
a23	0.214193	0.17124	0.126895	0.102683	0.105502	0.115595	0.0753057	0.0400891	0.0252342	0.023262
a87	0.225506	0.165535	0.13951	0.0965971	0.108785	0.156716	0.0465587	0.0244854	0.0175984	0.0187076
a23	0.242938	0.16938	0.134997	0.0929652	0.117515	0.143081	0.0521837	0.0203743	0.013076	0.0134893
a97	0.203508	0.160745	0.132638	0.091248	0.103239	0.131211	0.0674519	0.0412626	0.0337305	0.0349658
a87	0.152268	0.147344	0.142424	0.118365	0.141402	0.148393	0.0767551	0.0347811	0.019633	0.0186345
a23	0.176102	0.135841	0.132909	0.115463	0.133882	0.159521	0.0817957	0.032953	0.0166146	0.0149192
a62	0.141472	0.126636	0.119252	0.10844	0.133601	0.16607	0.111075	0.0540349	0.0225879	0.0168303
a88	0.156246	0.17357	0.16318	0.108356	0.109147	0.152162	0.0720238	0.0373482	0.0181875	0.00977993
a9	0.118334	0.138185	0.119939	0.115167	0.119438	0.16961	0.118247	0.0513998	0.0285509	0.0211291
a62	0.103133	0.112705	0.0979632	0.104684	0.119687	0.121745	0.124533	0.0948908	0.0651273	0.0555301
a56	0.0871456	0.113383	0.113002	0.118461	0.10949	0.14681	0.14124	0.0793823	0.0508812	0.0402044
a96	0.0763854	0.107099	0.114108	0.11182	0.102801	0.158593	0.126278	0.0805847	0.0674695	0.0548624
a93	0.06644	0.0888431	0.104078	0.114914	0.112641	0.170807	0.128552	0.0767018	0.0743614	0.0626614
a21	0.0684552	0.0882988	0.101973	0.120002	0.124707	0.167607	0.126178	0.0686302	0.0678804	0.0662681
a47	0.048754	0.0616813	0.0937344	0.130136	0.150899	0.2003	0.123374	0.0579542	0.0655302	0.0676374
a61	0.0543021	0.0596551	0.0894906	0.140342	0.185349	0.213441	0.107791	0.0489102	0.0451052	0.0556141
a31	0.0380357	0.0393428	0.0614542	0.105745	0.155491	0.165176	0.124306	0.0967869	0.0971629	0.116499
a88	0.0193019	0.0188636	0.0292362	0.0589961	0.105128	0.117026	0.0968867	0.143031	0.188797	0.222734
a66	0.00859749	0.00809374	0.0112812	0.0223972	0.0535336	0.0625773	0.0576867	0.136133	0.26176	0.377939
a93	0.0106588	0.0117025	0.0155649	0.0375175	0.108746	0.0823398	0.0642904	0.122884	0.212811	0.333485
a96	0.00926171	0.00821189	0.0105795	0.0209154	0.0461112	0.0376642	0.046035	0.125403	0.241923	0.453895
a88	0.00181906	0.00174072	0.00258684	0.00594738	0.0127125	0.0151194	0.0309201	0.134533	0.283128	0.511494
a62	0.00169385	0.00179237	0.0022753	0.00505316	0.0117126	0.0116112	0.031743	0.125686	0.256733	0.5517
a31	0.00367847	0.00371989	0.00422794	0.0088451	0.0151722	0.0152112	0.035754	0.126782	0.258126	0.528484
a24	0.00078204	0.00076181	0.000781186	0.00172563	0.00348792	0.00447432	0.0187016	0.111591	0.278251	0.579443
a9	0.00613227	0.00584998	0.00659098	0.0129437	0.01873	0.0174297	0.0336426	0.100229	0.21788	0.580571
a10	0.0876742	0.0578362	0.060646	0.0743196	0.0805469	0.0785264	0.0631847	0.0927022	0.137481	0.267082
a87	0.147803	0.0948414	0.0834642	0.0811759	0.0926901	0.0991592	0.0909537	0.098189	0.0913166	0.120407
a23	0.089689	0.0686697	0.0573281	0.0683482	0.0985318	0.104876	0.125901	0.140308	0.114544	0.131805
a87	0.0605955	0.0415281	0.0260028	0.0270728	0.0290299	0.0356407	0.0615801	0.135286	0.184161	0.399103
a97	0.0212532	0.0128167	0.00776827	0.00788339	0.0102507	0.019552	0.040757	0.0979111	0.215341	0.566466
</S>	0.0389596	0.0286197	0.0190205	0.024586	0.0405109	0.0650663	0.0799337	0.109184	0.186057	0.408063
