 	les	oiseaux	attrapent	les	insectes	dans	la	savane	brûlée	</S>
a66	0.236177	0.181146	0.120624	0.133959	0.131054	0.106397	0.0469807	0.018396	0.0134676	0.0117989
a87	0.446275	0.280529	0.109623	0.0410518	0.0305707	0.0241718	0.0121309	0.00903682	0.0219811	0.0246301
a23	0.412588	0.26244	0.111492	0.0422002	0.0452393	0.0339055	0.0195327	0.0131512	0.020536	0.0389145
a40	0.245987	0.126971	0.109776	0.0770395	0.104442	0.0762172	0.0440441	0.0450949	0.0727182	0.0977098
a37	0.245482	0.207794	0.124755	0.0859512	0.0844922	0.0727046	0.0447086	0.0352545	0.0470408	0.0518172
a5	0.231553	0.295516	0.232869	0.0758255	0.0557746	0.034249	0.0177944	0.0162782	0.0233031	0.0168379
a43	0.258105	0.250271	0.208458	0.0833872	0.0795526	0.0541589	0.0214235	0.0137843	0.0165055	0.0143529
a61	0.2249	0.21351	0.196422	0.110231	0.101847	0.0614868	0.0274953	0.0175927	0.0232862	0.0232277
a98	0.190631	0.183653	0.199352	0.125054	0.114633	0.0699974	0.0334575	0.0218272	0.0291574	0.0322377
a47	0.0852259	0.119976	0.186353	0.127875	0.111109	0.0982842	0.0611802	0.0465246	0.0763406	0.0871323
a36	0.0492581	0.0651251	0.143396	0.175222	0.173704	0.122301	0.0538703	0.0481735	0.0806308	0.0883194
a21	0.0517441	0.055699	0.106395	0.165856	0.159515	0.104433	0.0587069	0.0543217	0.107549	0.135779
a85	0.0497258	0.056539	0.107539	0.129605	0.119354	0.111884	0.0981259	0.082684	0.11094	0.133603
a92	0.0122896	0.0153341	0.0482279	0.102458	0.105475	0.095264	0.0966403	0.135555	0.167611	0.221144
a98	0.0115246	0.0137264	0.0455697	0.0884364	0.0930777	0.121318	0.143621	0.11419	0.165002	0.203534
a6	0.00668621	0.00874864	0.033693	0.0642572	0.0735381	0.119774	0.179846	0.172663	0.1568	0.183994
a0	0.00348034	0.00398098	0.0173274	0.0505262	0.0594957	0.0912742	0.14303	0.156755	0.213428	0.260701
a56	0.00684111	0.00653556	0.0207109	0.0468546	0.0465644	0.0509979	0.0833969	0.16325	0.25364	0.321208
a43	0.00277312	0.00267829	0.0075334	0.0174122	0.0204954	0.0314936	0.07029	0.172712	0.295949	0.378664
a31	0.0020941	0.00178874	0.00395305	0.00725867	0.00719173	0.00883731	0.0180733	0.0756971	0.293139	0.581967
a62	0.0013803	0.00134025	0.00339404	0.00769211	0.00775429	0.00927384	0.0184655	0.0740714	0.27777	0.598859
a88	0.00101813	0.00104573	0.00239049	0.00497553	0.00499108	0.00610256	0.012312	0.0626842	0.26267	0.64181
a62	0.000949905	0.00112745	0.00223204	0.00521351	0.00514577	0.00633097	0.012963	0.0617633	0.250877	0.653397
a21	0.00121753	0.00151158	0.00342098	0.00691856	0.00651085	0.00788519	0.0171706	0.085256	0.272662	0.597447
a85	0.000602668	0.00079149	0.00165974	0.00317865	0.0029562	0.00444417	0.012899	0.0699197	0.278543	0.625006
a6	9.72694e-05	0.000101641	0.000244331	0.000795629	0.000994125	0.00183767	0.00687998	0.0441244	0.247753	0.697172
a36	0.000135938	0.000148233	0.000292447	0.000785879	0.000916334	0.00192476	0.00854636	0.0612801	0.26406	0.66191
a2	0.00373924	0.0036089	0.00337583	0.00527429	0.00459527	0.0079737	0.0244098	0.0863323	0.273698	0.586993
a57	0.131265	0.116378	0.102621	0.107956	0.0690286	0.0558308	0.0557843	0.0698502	0.115695	0.175591
a87	0.277571	0.224035	0.11918	0.0750361	0.0607026	0.0509608	0.0449411	0.0370733	0.044254	0.0662463
a23	0.274767	0.181929	0.0833121	0.0582867	0.0537902	0.0466081	0.0457423	0.0568883	0.0803287	0.118348
a99	0.0344315	0.0208644	0.0100889	0.00612771	0.0045219	0.00768288	0.0269438	0.0962648	0.335761	0.457313
a97	0.0426648	0.0215727	0.0095949	0.00691467	0.00610682	0.0115207	0.0392962	0.112643	0.327101	0.422586
</S>	0.00921321	0.00482928	0.00318088	0.00442656	0.00556784	0.0111666	0.0266746	0.0798375	0.30794	0.547164
