 	l'	antilope	s'	est	enfuie	à	cause	du	bruit	des	pas	du	chasseur	</S>
a66	0.237953	0.147407	0.109716	0.101624	0.068302	0.0511651	0.0493978	0.0525806	0.0519415	0.0439919	0.0310921	0.0219838	0.0166228	0.0162225
a87	0.233689	0.153214	0.108019	0.117174	0.0720496	0.0552853	0.0481112	0.0402146	0.0332512	0.026098	0.0240907	0.025315	0.0298557	0.0336319
a23	0.298709	0.21308	0.164181	0.106979	0.0503182	0.0310933	0.0183768	0.015352	0.0155442	0.0142501	0.0133579	0.0150911	0.0188431	0.0248248
a99	0.290347	0.226775	0.162534	0.0967829	0.0446106	0.0225365	0.0222121	0.0157149	0.0152048	0.01467	0.013901	0.0167773	0.0234509	0.0344833
a38	0.1826	0.132688	0.112773	0.100769	0.0739944	0.0503674	0.0455815	0.0360488	0.0354668	0.0320566	0.0352416	0.0397924	0.0521258	0.0704948
a93	0.176033	0.153049	0.151902	0.121483	0.0974361	0.0624173	0.0402852	0.0310218	0.0298354	0.0247317	0.0243586	0.0255809	0.0292479	0.0326177
a75	0.134434	0.150978	0.170781	0.158212	0.157738	0.0878258	0.0515812	0.0268897	0.0174621	0.0105641	0.00819077	0.00802424	0.0080355	0.00928354
a85	0.0558916	0.0668312	0.0854615	0.11234	0.191954	0.187316	0.108084	0.0522138	0.0354722	0.0217873	0.018167	0.0192982	0.0198223	0.0253611
a6	0.0354312	0.0448159	0.056074	0.0821168	0.175819	0.216349	0.146552	0.0811224	0.0426172	0.0251856	0.0215743	0.0213965	0.0212565	0.0296895
a37	0.0448849	0.0478466	0.0576283	0.0874056	0.198826	0.218319	0.125464	0.0666557	0.0342838	0.0238332	0.0219799	0.0219748	0.0226362	0.0282622
a56	0.0507531	0.0517559	0.0571374	0.0901377	0.122021	0.187421	0.140421	0.0930503	0.0480034	0.0359092	0.0302938	0.0282609	0.0298325	0.0350038
a96	0.0357228	0.033439	0.0349102	0.0554668	0.0545889	0.108543	0.114501	0.124405	0.0873176	0.0785805	0.0672662	0.0619862	0.0653339	0.0779398
a56	0.019942	0.0173264	0.0190377	0.0257339	0.0203267	0.0528653	0.0846459	0.120134	0.097567	0.0969883	0.0929453	0.0929688	0.112321	0.147197
a96	0.0224257	0.017624	0.0192732	0.0219282	0.0154567	0.0348677	0.0563916	0.0957648	0.0996265	0.11329	0.113439	0.106588	0.122469	0.160855
a12	0.0150237	0.0114707	0.0111922	0.0101541	0.0078409	0.0174302	0.0311654	0.0648844	0.088133	0.118943	0.133183	0.125918	0.153707	0.210955
a96	0.00917293	0.00643457	0.00691316	0.00623857	0.00390569	0.0102526	0.0198982	0.0399749	0.0605952	0.119597	0.177059	0.174021	0.169242	0.196695
a70	0.00864759	0.00558875	0.00540354	0.00404465	0.00290551	0.00687877	0.0121223	0.0268279	0.0459464	0.0935717	0.16163	0.177788	0.204691	0.243954
a94	0.00489349	0.0031404	0.00310487	0.00231502	0.00227099	0.00545295	0.00852728	0.0174577	0.0308785	0.0628277	0.12548	0.173381	0.258499	0.301771
a92	0.00351465	0.00221713	0.00229372	0.00177216	0.00200894	0.00478257	0.00641052	0.0132377	0.0222272	0.0424421	0.0917084	0.141825	0.271799	0.393761
a56	0.000264489	0.000160587	0.000142272	0.000120604	0.000114709	0.000556202	0.00120669	0.00420969	0.00903438	0.0272753	0.0779661	0.154846	0.312862	0.411241
a70	0.000378845	0.000224928	0.000203128	0.000143255	0.000121725	0.000507111	0.000796536	0.00280837	0.0067127	0.0205364	0.0685643	0.150016	0.319962	0.429025
a93	0.000246764	0.000152116	0.000131703	0.000103109	0.000104419	0.000465752	0.000770115	0.0022883	0.00529919	0.0151051	0.0490446	0.122491	0.320634	0.483164
a4	0.000111063	6.8622e-05	6.69301e-05	6.19855e-05	7.96193e-05	0.000369476	0.000603648	0.00192636	0.00422396	0.0123951	0.0448768	0.115733	0.319432	0.500051
a62	0.000488189	0.000305327	0.00026008	0.000250866	0.000389734	0.00137694	0.00180005	0.00455149	0.00930607	0.0223328	0.0646515	0.13937	0.327075	0.427841
a88	0.000529439	0.000326846	0.000259032	0.000265294	0.000409659	0.00142645	0.00193417	0.00439848	0.00844954	0.0198801	0.0554844	0.126559	0.319205	0.460873
a38	0.000867738	0.000543532	0.000488194	0.0005663	0.000966824	0.00369771	0.00463377	0.0109161	0.0183945	0.0347854	0.0752705	0.139462	0.282765	0.426642
a9	0.00884594	0.00540858	0.00467126	0.00466767	0.00536407	0.0154909	0.0187179	0.0364558	0.0483995	0.0729642	0.113049	0.148946	0.223463	0.293557
a10	0.182431	0.0972051	0.0746145	0.0406794	0.0193016	0.0353939	0.0326075	0.0502907	0.052774	0.0594802	0.0679983	0.0711259	0.0907675	0.12533
a87	0.245465	0.154349	0.120034	0.0628804	0.0193942	0.0191125	0.0156061	0.0213309	0.022969	0.0295636	0.0418065	0.0585278	0.0830868	0.105874
a23	0.232734	0.168202	0.138216	0.0964071	0.0387923	0.0268358	0.016222	0.01759	0.0172151	0.0215848	0.0327229	0.0483757	0.0663731	0.0787299
a87	0.0774171	0.0480424	0.0361887	0.0247883	0.00879338	0.00737168	0.00534243	0.00776185	0.0111674	0.0198095	0.0507844	0.117317	0.233359	0.351857
a97	0.0145418	0.00824004	0.00589233	0.00409978	0.00312722	0.00470761	0.00459851	0.00797418	0.0117173	0.0221484	0.0491442	0.103807	0.229078	0.530923
</S>	0.0688355	0.0496444	0.0386817	0.0320418	0.0245138	0.0227178	0.0152865	0.0208042	0.0269064	0.0367551	0.0568644	0.0965509	0.175631	0.334767
