 	le	père	a	blâmé	sa	fille	qui	a	porté	une	robe	transparente	</S>
a10	0.114618	0.0615556	0.0456482	0.0607467	0.0667035	0.0839853	0.0804314	0.14035	0.145948	0.0732129	0.0634722	0.0467413	0.0165873
a87	0.0979391	0.0333778	0.0211861	0.0347674	0.0313728	0.0322571	0.060639	0.0803723	0.0944068	0.157574	0.164233	0.139801	0.0520746
a23	0.122615	0.0658825	0.0425987	0.0648697	0.0702349	0.0965674	0.0986962	0.0604844	0.0640186	0.0716704	0.0742522	0.0759698	0.0921398
a87	0.124122	0.0748432	0.0687065	0.109572	0.082736	0.095016	0.086526	0.0750027	0.062814	0.0443375	0.0426057	0.0604486	0.0732699
a23	0.123911	0.0898017	0.091321	0.109413	0.072333	0.0796445	0.0634051	0.0503267	0.0428867	0.0400945	0.0525514	0.0907965	0.0935141
a87	0.111289	0.0773955	0.0801047	0.0663055	0.0425629	0.0379161	0.0370177	0.0361547	0.0341811	0.0318688	0.0613073	0.213364	0.170532
a10	0.0978461	0.0763484	0.0855068	0.0721988	0.0438861	0.0398639	0.0408182	0.0357174	0.0347915	0.0401247	0.0747223	0.189038	0.169138
a87	0.0866929	0.0773397	0.084174	0.0625729	0.0396909	0.0352247	0.0358897	0.0377001	0.0369332	0.0364723	0.0757176	0.212341	0.179251
a23	0.157465	0.102094	0.0805164	0.0622807	0.0376668	0.0414305	0.0404853	0.0389354	0.0389592	0.0397331	0.0641657	0.144262	0.152007
a54	0.0888321	0.0786464	0.0784641	0.0536838	0.0333408	0.0280772	0.0292989	0.0348513	0.0338889	0.0326325	0.0663682	0.203971	0.237945
a36	0.348621	0.202224	0.123061	0.0659378	0.043591	0.0448808	0.0343456	0.0391477	0.0316583	0.0219082	0.0162839	0.0113888	0.0169529
a7	0.138307	0.144251	0.145304	0.113147	0.0761033	0.0845363	0.060301	0.0653858	0.0544201	0.0336434	0.0243367	0.0257251	0.034539
a84	0.0837039	0.105577	0.127892	0.116936	0.0848016	0.114944	0.0910616	0.0842106	0.0648485	0.0405425	0.0292791	0.0268561	0.0293471
a54	0.0386146	0.0527895	0.0741268	0.0829675	0.0859532	0.121344	0.0929482	0.0802019	0.0701738	0.0716155	0.0646713	0.0794864	0.0851073
a6	0.029398	0.0513779	0.0720181	0.0921855	0.109154	0.110751	0.107953	0.127295	0.0936896	0.0591344	0.0400713	0.0415858	0.0653851
a61	0.0523636	0.0839766	0.116848	0.120766	0.101634	0.0989625	0.0887211	0.0994002	0.073624	0.0510018	0.0389046	0.0303261	0.0434711
a75	0.0640531	0.0822468	0.111545	0.137997	0.0968703	0.106329	0.0935688	0.114829	0.0837022	0.0430466	0.0266695	0.0169862	0.0221563
a6	0.0306641	0.0452452	0.0666255	0.0969568	0.100229	0.107444	0.0983138	0.116573	0.0942225	0.0790386	0.0677539	0.0432494	0.0536846
a37	0.0321094	0.0440806	0.0616733	0.0935081	0.111663	0.129129	0.10657	0.126312	0.0908901	0.0626594	0.053463	0.0395403	0.0484027
a75	0.0262751	0.0343437	0.0464314	0.0812106	0.111503	0.16156	0.129287	0.143162	0.104543	0.0586976	0.0392898	0.0306232	0.0330732
a92	0.0277839	0.037249	0.0506589	0.0723445	0.102632	0.140805	0.112007	0.139196	0.102657	0.071038	0.053925	0.0436766	0.0460272
a25	0.0238097	0.0338781	0.0447506	0.0567076	0.0791447	0.121439	0.107665	0.139125	0.107848	0.0802492	0.0676403	0.0659184	0.0718242
a98	0.0134468	0.0190353	0.0237738	0.0377314	0.0757787	0.119759	0.111806	0.145204	0.119633	0.0884575	0.0759348	0.0894482	0.0799904
a92	0.0125227	0.0182808	0.0203215	0.0268021	0.0493364	0.0770055	0.0806316	0.115116	0.0960658	0.0855972	0.102237	0.17834	0.137743
a47	0.0197271	0.0267512	0.0293741	0.0329506	0.0583396	0.0860197	0.0879226	0.146474	0.121323	0.0961422	0.0795878	0.10657	0.108818
a93	0.0170759	0.0236284	0.0249935	0.0269781	0.0563765	0.0778618	0.0821234	0.137921	0.120827	0.102667	0.0883344	0.122016	0.119198
a62	0.00744778	0.0104174	0.0115272	0.0201045	0.0501419	0.0817375	0.1111	0.166591	0.166267	0.121746	0.0902895	0.0872309	0.0753993
a34	0.00870387	0.0127435	0.0159895	0.0221423	0.0435283	0.0630452	0.0860391	0.15999	0.190472	0.156991	0.0961455	0.0832117	0.0609987
a21	0.00865832	0.0118136	0.0149502	0.0215397	0.0415419	0.0548224	0.0707516	0.141717	0.174676	0.145063	0.110726	0.111578	0.0921624
a47	0.0207762	0.0278703	0.0316198	0.0316324	0.0549715	0.0638467	0.0706017	0.143419	0.143477	0.13278	0.0933103	0.0880008	0.0976949
a75	0.00561974	0.00790363	0.0111518	0.018971	0.0352859	0.0414306	0.0516932	0.103097	0.142685	0.15012	0.137378	0.167954	0.126711
a85	0.0112584	0.0148066	0.0186818	0.0207079	0.0403814	0.0486497	0.0535833	0.102505	0.110086	0.113661	0.0964526	0.143697	0.225529
a92	0.0123054	0.0135578	0.0147632	0.0160493	0.0283636	0.0336181	0.0346464	0.0644757	0.0769415	0.102474	0.11435	0.20139	0.287064
a93	0.0136447	0.0204111	0.0229366	0.0244091	0.0473518	0.0500959	0.0549469	0.0969547	0.0978768	0.125918	0.131093	0.132616	0.181746
a13	0.00439915	0.00623073	0.00728825	0.0107855	0.0241966	0.0281124	0.0341011	0.0694172	0.0962216	0.13659	0.145899	0.226653	0.210105
a9	0.00150789	0.00196437	0.00233215	0.0051168	0.0141675	0.0191193	0.0285647	0.0436436	0.056395	0.10616	0.159087	0.281443	0.280498
a53	0.000893473	0.000929601	0.00115907	0.00306538	0.0090551	0.0147196	0.0303216	0.0453352	0.0526677	0.0912347	0.136941	0.320404	0.293273
a93	0.00231066	0.00292833	0.00317754	0.00424886	0.00832301	0.0093724	0.0136637	0.0254777	0.0324534	0.0532312	0.0864515	0.324011	0.434351
a70	0.0021208	0.00294757	0.00353357	0.004749	0.0114175	0.0134838	0.0172764	0.0293141	0.0350152	0.0591499	0.0835643	0.293994	0.443434
a75	0.00166302	0.00263436	0.00352362	0.0050839	0.0107053	0.0116147	0.0149432	0.0238593	0.0310523	0.0601844	0.0836767	0.266356	0.484704
a25	0.00253096	0.00380563	0.00491535	0.0059814	0.0135969	0.0139401	0.0184449	0.0314365	0.0427783	0.0827122	0.114888	0.290133	0.374837
a90	0.00104647	0.00200428	0.0027856	0.0036482	0.00822354	0.00970125	0.0146818	0.0260109	0.0323742	0.0616622	0.0957143	0.299942	0.442205
a4	0.000726175	0.00136385	0.0018048	0.00270887	0.00566224	0.00607166	0.00964085	0.0168187	0.0246917	0.0626479	0.118626	0.354061	0.395176
a93	0.000433648	0.000730477	0.000926017	0.00170634	0.0046343	0.0051638	0.00771794	0.0134776	0.0211988	0.0519597	0.0844947	0.286673	0.520883
a13	0.000328591	0.000532829	0.000710017	0.00130422	0.00369555	0.00432832	0.0067051	0.0117373	0.0193148	0.0489406	0.0751019	0.276948	0.550352
a93	0.000132529	0.000192642	0.000242911	0.00048536	0.00128969	0.00175127	0.00332652	0.00577988	0.0109564	0.0333537	0.0696721	0.291117	0.5817
a13	8.61311e-05	0.000132798	0.000183958	0.000382487	0.00110999	0.001515	0.00302863	0.00542725	0.00908514	0.0244825	0.0502157	0.276509	0.627841
a9	0.000124967	0.000162465	0.000167875	0.000368335	0.00104764	0.00130866	0.00284128	0.00416636	0.00775279	0.0274375	0.0778211	0.311733	0.565068
a10	0.00117089	0.000978992	0.000656013	0.00114892	0.00262408	0.00270007	0.00529335	0.00692992	0.0104955	0.0386813	0.0955781	0.302341	0.531402
a82	0.00593803	0.00321804	0.00194146	0.00264673	0.00428666	0.00414829	0.00716958	0.00902493	0.0145567	0.0509491	0.124911	0.321239	0.449971
a10	0.019872	0.015878	0.00888177	0.00949786	0.0125037	0.0127678	0.0267234	0.0345438	0.0420292	0.0922417	0.140948	0.24405	0.340062
a87	0.0218886	0.0196915	0.0133159	0.015499	0.0206695	0.0239121	0.0456309	0.0482101	0.0498509	0.0891813	0.131849	0.218827	0.301474
