 	itoua	ajoute	les	piquets	pour	consolider	sa	maison	</S>
a23	0.166602	0.120849	0.129822	0.327936	0.140019	0.0660787	0.0203643	0.014376	0.0139516
a87	0.303177	0.123511	0.118053	0.18165	0.0933964	0.067474	0.0451901	0.0361722	0.0313759
a10	0.197058	0.167159	0.139241	0.114478	0.0630542	0.0478721	0.0511714	0.0835256	0.13644
a83	0.37063	0.207888	0.118213	0.111115	0.0333538	0.0287271	0.0257955	0.038977	0.0653016
a9	0.312597	0.23886	0.11736	0.111408	0.0348469	0.0296666	0.0358509	0.0497879	0.069622
a10	0.282905	0.238908	0.110661	0.0985722	0.0367592	0.0328884	0.0400407	0.0616947	0.0975709
a53	0.18646	0.204993	0.0993716	0.098547	0.0499905	0.0585512	0.0687457	0.0995355	0.133806
a90	0.209336	0.23332	0.118305	0.0902171	0.0367753	0.0403128	0.0499085	0.0861859	0.13564
a98	0.179698	0.185297	0.124026	0.0995943	0.0412565	0.0449451	0.0697392	0.109482	0.145963
a6	0.145659	0.147739	0.110042	0.101224	0.0713191	0.0738858	0.0850477	0.118236	0.146848
a5	0.177093	0.210566	0.162702	0.148994	0.068539	0.047105	0.046533	0.0604458	0.0780226
a61	0.185406	0.210752	0.16459	0.163882	0.0887104	0.049432	0.0360044	0.0442671	0.0569561
a21	0.147698	0.161196	0.148855	0.179994	0.0998087	0.0543378	0.0490647	0.0671609	0.0918848
a5	0.165758	0.176206	0.169269	0.19831	0.0994107	0.0447057	0.0357795	0.0472756	0.0632858
a43	0.150651	0.162998	0.169177	0.17704	0.0930487	0.0548966	0.0480643	0.0594191	0.0847047
a11	0.104214	0.113366	0.145588	0.205194	0.121371	0.0570681	0.055782	0.076893	0.120523
a24	0.0720519	0.0773988	0.0965014	0.124095	0.140005	0.0702898	0.0811852	0.124017	0.214456
a0	0.0750363	0.0729226	0.083691	0.0966566	0.109335	0.0867799	0.106085	0.143574	0.22592
a70	0.0308645	0.0421683	0.0517033	0.0624686	0.114825	0.11577	0.145684	0.185769	0.250746
a61	0.0444525	0.0469984	0.0515743	0.0510418	0.0915499	0.108629	0.155752	0.184804	0.265197
a47	0.0720392	0.0735106	0.0703429	0.0643959	0.102709	0.123353	0.166315	0.151041	0.176294
a62	0.0350848	0.0388386	0.0411203	0.0431776	0.0778099	0.114296	0.178822	0.20348	0.26737
a75	0.0166382	0.0162703	0.0180644	0.0225726	0.0537746	0.0982764	0.209338	0.262316	0.302749
a92	0.0184728	0.0220998	0.0237762	0.0146618	0.0354641	0.0612072	0.169584	0.244094	0.410641
a96	0.0176177	0.021421	0.024177	0.0179218	0.0442104	0.0638844	0.175808	0.252013	0.382946
a0	0.00537615	0.00594625	0.00662009	0.0061341	0.017937	0.0394833	0.156481	0.287629	0.474393
a75	0.00121671	0.00168817	0.00212125	0.00227311	0.00870524	0.0275632	0.138954	0.282069	0.535409
a21	0.00320801	0.00367245	0.0035932	0.00277758	0.009087	0.0264764	0.136106	0.295448	0.519632
a5	0.00226828	0.00270201	0.00306053	0.00265934	0.00956938	0.0268128	0.13239	0.294837	0.5257
a61	0.00553597	0.00637197	0.00699337	0.00453753	0.0109834	0.0244365	0.117247	0.277787	0.546107
a83	0.00355391	0.00456113	0.00531752	0.0039442	0.0110789	0.0256113	0.120498	0.277778	0.547656
a62	0.00142709	0.0023524	0.00262194	0.00206017	0.00737986	0.0235722	0.139367	0.298464	0.522755
a88	0.00243183	0.00373873	0.00392265	0.00316873	0.0106398	0.0315926	0.161118	0.303384	0.480003
a9	0.00315648	0.00439094	0.00452309	0.00325735	0.0115266	0.0345245	0.177655	0.313556	0.44741
a10	0.0255393	0.0213923	0.0176248	0.0145353	0.030459	0.0629579	0.189708	0.260658	0.377126
a82	0.0434686	0.0308215	0.0236659	0.0274985	0.0490837	0.092381	0.183238	0.246404	0.303439
a10	0.0624355	0.0567525	0.0546161	0.0539082	0.0539483	0.0698927	0.141529	0.219918	0.287
a27	0.0607237	0.0595899	0.0645495	0.0619736	0.0543023	0.0686627	0.135387	0.202235	0.292576
a10	0.0851338	0.0816658	0.0758937	0.0586758	0.0467204	0.0564851	0.108081	0.186971	0.300373
a87	0.0503745	0.0469954	0.0470075	0.0401792	0.0328495	0.0393276	0.100401	0.20763	0.435236
</S>	0.0798936	0.0640964	0.0614178	0.0451499	0.0327544	0.0360635	0.0908264	0.182293	0.407505
