 	les	éléphants	se	déplacent	en	bande	</S>
a40	0.31398	0.132525	0.0832187	0.0603044	0.0841566	0.149649	0.176167
a92	0.132812	0.0683296	0.0662004	0.0817184	0.133538	0.223214	0.294188
a37	0.413161	0.178742	0.11102	0.0674923	0.06283	0.0763603	0.090394
a75	0.498611	0.207326	0.115385	0.0588838	0.0424068	0.037345	0.0400426
a96	0.367064	0.199057	0.14864	0.0849559	0.0698512	0.0649139	0.0655175
a98	0.257652	0.21981	0.171571	0.117142	0.0877194	0.0737917	0.0723143
a47	0.189067	0.200324	0.183084	0.13867	0.112589	0.0904178	0.0858476
a92	0.140689	0.138512	0.128699	0.143541	0.150232	0.13662	0.161708
a37	0.133612	0.125957	0.129061	0.131901	0.150172	0.155667	0.173628
a75	0.120038	0.12987	0.135284	0.152819	0.176894	0.148997	0.136097
a96	0.0643746	0.0663688	0.0858205	0.103235	0.147206	0.226877	0.306117
a34	0.034686	0.0410133	0.0591538	0.0972441	0.173759	0.28211	0.312034
a56	0.0132175	0.0168835	0.0275304	0.0577303	0.139518	0.323077	0.422043
a70	0.0125822	0.015603	0.0262122	0.052668	0.118962	0.299312	0.474661
a66	0.00473801	0.00639997	0.0128227	0.0314251	0.0826924	0.274854	0.587067
a38	0.00247238	0.00218322	0.0054048	0.0133891	0.0480556	0.217657	0.710838
a70	0.00513695	0.00381363	0.00937076	0.020431	0.0649149	0.243177	0.653156
a83	0.00435902	0.00390423	0.00981567	0.0226771	0.0664019	0.234719	0.658123
a44	0.00603602	0.00527607	0.0125753	0.0271661	0.0747924	0.247758	0.626396
a26	0.00310134	0.00337178	0.00883636	0.0201437	0.060441	0.230321	0.673784
a10	0.0241666	0.0156406	0.0289893	0.0490583	0.110383	0.258583	0.513179
</S>	0.0928097	0.0590842	0.055917	0.0710728	0.113856	0.222985	0.384276
