 	le	forgeron	garde	des	morceaux	de	fer	dans	la	caisse	</S>
a66	0.301482	0.237189	0.178549	0.104214	0.0581186	0.0394395	0.0227849	0.0192741	0.0188881	0.0137028	0.00635812
a87	0.494832	0.221562	0.113544	0.0417365	0.0242203	0.014791	0.0115286	0.0134545	0.0135306	0.0182034	0.0325985
a97	0.410743	0.209428	0.107067	0.061994	0.0434905	0.0354492	0.024549	0.0223479	0.0202652	0.0189676	0.0456984
a87	0.330669	0.220287	0.0864733	0.0563512	0.0449884	0.0447813	0.0429614	0.0409661	0.0403439	0.0339216	0.0582562
a97	0.352768	0.228564	0.0909755	0.0554086	0.0408779	0.0442269	0.0406026	0.0363143	0.0343733	0.0253872	0.0505012
a87	0.338385	0.213411	0.104163	0.0650212	0.0495278	0.057185	0.0483261	0.0379852	0.0307999	0.0190082	0.0361884
a97	0.343653	0.205913	0.0914653	0.059399	0.0462684	0.0562988	0.0509226	0.0408283	0.0355598	0.0225108	0.0471806
a30	0.355024	0.233549	0.118586	0.0643117	0.0428359	0.0455395	0.0375711	0.027711	0.0226544	0.0154971	0.0367206
a13	0.359879	0.24134	0.118486	0.0678078	0.0454206	0.0484793	0.035487	0.0238597	0.0172593	0.0107013	0.0312797
a57	0.26179	0.22584	0.188601	0.124138	0.0692957	0.0478354	0.0255751	0.0142993	0.00893667	0.00630238	0.0273862
a4	0.195977	0.197674	0.200801	0.151097	0.100752	0.0651047	0.0343747	0.018766	0.0110311	0.00644248	0.0179787
a53	0.146215	0.163855	0.191887	0.15885	0.122902	0.0826041	0.0524751	0.0317012	0.0185254	0.010641	0.0203441
a69	0.0881915	0.117026	0.169083	0.174697	0.160031	0.113091	0.0734956	0.0450616	0.0246696	0.0141889	0.0204654
a90	0.07133	0.100496	0.1267	0.145236	0.149516	0.119156	0.0911894	0.0712574	0.0441665	0.0294356	0.0515169
a93	0.0630227	0.0838509	0.115663	0.135387	0.14339	0.124138	0.0986463	0.0782234	0.0546049	0.0393485	0.0637248
a4	0.0343012	0.0371198	0.0625222	0.109387	0.143418	0.139606	0.122464	0.102517	0.0882511	0.064226	0.0961872
a53	0.0347829	0.0335616	0.0599624	0.113765	0.149153	0.144621	0.129195	0.114868	0.0933887	0.0567338	0.0699679
a93	0.0264699	0.02378	0.0398179	0.0844127	0.123719	0.134396	0.132573	0.126129	0.108617	0.0856455	0.114439
a94	0.0189106	0.0147584	0.0253842	0.062044	0.0999427	0.120174	0.125707	0.131503	0.132806	0.11588	0.15289
a98	0.0142349	0.0107366	0.0193334	0.0453351	0.0747556	0.0979137	0.113286	0.13822	0.166835	0.152655	0.166695
a85	0.0207081	0.0183048	0.0343936	0.0761143	0.110909	0.123619	0.125966	0.138821	0.141183	0.111758	0.0982223
a37	0.020951	0.0202064	0.0385626	0.086723	0.122806	0.132147	0.123319	0.130274	0.125433	0.106223	0.093355
a26	0.0097474	0.00789923	0.0155161	0.0483433	0.0849375	0.110466	0.119814	0.135735	0.177761	0.144529	0.145251
a47	0.00555275	0.00335506	0.00616586	0.0189654	0.0378481	0.0601522	0.0907364	0.120114	0.195935	0.209798	0.251378
a62	0.00579712	0.00349337	0.00525656	0.0141641	0.0268492	0.048892	0.0771621	0.116006	0.198853	0.266763	0.236763
a88	0.00354773	0.00213039	0.00326384	0.00887065	0.0184707	0.0355982	0.0644736	0.106874	0.207591	0.305827	0.243354
a50	0.00138925	0.000761311	0.00153094	0.00394607	0.00764378	0.0155309	0.0371784	0.0750843	0.168557	0.344904	0.343474
a88	0.00295488	0.00142511	0.00259073	0.00500042	0.00822517	0.0128051	0.0317887	0.0708177	0.14328	0.326371	0.394741
a71	0.001168	0.000620276	0.0011637	0.00262828	0.00485873	0.00919339	0.0256878	0.055557	0.129063	0.323049	0.447011
a94	0.00231059	0.00137667	0.00276883	0.00525538	0.00784654	0.0113379	0.0236184	0.0454027	0.106416	0.289366	0.504301
a15	0.0013656	0.00060381	0.0011987	0.00235674	0.00387644	0.00699054	0.0185932	0.0379157	0.0948047	0.249023	0.583272
a79	0.000243453	0.000117176	0.000265746	0.000547127	0.000875521	0.00164799	0.00488027	0.0117706	0.0444539	0.179995	0.755203
a0	0.00025736	0.000160702	0.000433652	0.00107013	0.0020324	0.00393154	0.0100159	0.0176434	0.0478442	0.153809	0.762802
a75	0.000522449	0.000198894	0.000473147	0.00106511	0.00184729	0.003508	0.0111963	0.027562	0.0869823	0.255122	0.611523
a56	0.000223182	0.000147339	0.000347528	0.000715757	0.00121162	0.00243676	0.0093264	0.0222796	0.0670369	0.212612	0.683663
a0	0.000234101	0.000150583	0.0003202	0.000630494	0.00106982	0.00196072	0.00632511	0.0168663	0.0623507	0.227893	0.682199
a11	0.000490709	0.000216969	0.000535034	0.00118486	0.00194072	0.00331998	0.00905108	0.0209077	0.0595968	0.233814	0.668942
a54	0.00232779	0.0011067	0.00198872	0.00362196	0.00492275	0.00749251	0.0149223	0.0259428	0.0686655	0.283518	0.585491
a36	0.000341236	0.000183333	0.000469985	0.000820562	0.00118121	0.00179945	0.00666053	0.0189773	0.0622033	0.217847	0.689516
a37	0.00150939	0.000598382	0.00117893	0.00188591	0.00266426	0.00354032	0.00799229	0.0152877	0.0472047	0.224804	0.693334
a66	0.00720882	0.00265946	0.00427474	0.00619044	0.00762337	0.00851421	0.0147444	0.0229233	0.0520557	0.220387	0.653419
a13	0.0297664	0.0106013	0.0104513	0.0127118	0.0139646	0.015074	0.021414	0.0275853	0.0502451	0.172465	0.635722
a3	0.0614282	0.0201486	0.0165026	0.0170273	0.0176946	0.0177151	0.0228723	0.0308707	0.0535284	0.162826	0.579386
a97	0.133556	0.0522878	0.0279398	0.0211343	0.0198033	0.0187783	0.0191144	0.0229758	0.0338187	0.122146	0.528446
a99	0.116209	0.0632261	0.0409373	0.0288901	0.0242097	0.0212716	0.019371	0.0231324	0.0337115	0.133688	0.495353
a97	0.0497684	0.0234991	0.0204506	0.0165881	0.0162521	0.0159497	0.0237672	0.0325572	0.0655478	0.187366	0.548254
a38	0.0231089	0.0131631	0.0112766	0.0109121	0.0117304	0.0128966	0.0201027	0.0306829	0.0615103	0.167439	0.637178
a97	0.036298	0.0190623	0.0230093	0.0217695	0.0209251	0.0207383	0.0270971	0.0366527	0.06876	0.146637	0.579051
a10	0.0235429	0.0122128	0.0114724	0.0119394	0.0125725	0.0142388	0.0216471	0.0332303	0.0625943	0.141627	0.654922
</S>	0.0283768	0.017945	0.016586	0.0138791	0.0124322	0.0124068	0.0172268	0.0250787	0.0478662	0.135359	0.672844
