 	accroche	le	sac	sur	cette	pointe	</S>
a23	0.330732	0.280351	0.149395	0.116296	0.0688631	0.0314751	0.0228874
a99	0.246979	0.224061	0.170993	0.141465	0.107767	0.0567415	0.0519927
a54	0.291891	0.233453	0.13007	0.100735	0.0897799	0.0650413	0.0890288
a6	0.264124	0.250659	0.146386	0.105908	0.0836235	0.0696644	0.0796363
a5	0.284468	0.21966	0.158306	0.100852	0.0775852	0.0721343	0.0869939
a43	0.220767	0.179746	0.183054	0.118945	0.0980591	0.0952197	0.10421
a75	0.216392	0.18328	0.20916	0.124228	0.0938205	0.0834743	0.0896458
a85	0.188897	0.208144	0.213731	0.133445	0.0910544	0.0787387	0.0859902
a36	0.215656	0.191505	0.198375	0.125577	0.0898394	0.0844946	0.0945523
a27	0.330581	0.239177	0.18017	0.0903867	0.0544977	0.0500844	0.0551035
a75	0.313683	0.229995	0.162846	0.102872	0.0609962	0.0581421	0.0714661
a5	0.205042	0.139506	0.120556	0.109553	0.0985838	0.142686	0.184073
a61	0.250008	0.170425	0.146304	0.126967	0.0943644	0.100979	0.110953
a90	0.207083	0.142512	0.133855	0.150823	0.11685	0.11974	0.129137
a25	0.136654	0.102131	0.0900162	0.123115	0.122067	0.17702	0.248998
a92	0.150611	0.113957	0.0941906	0.1439	0.133419	0.154303	0.209619
a44	0.0858367	0.0712799	0.0610703	0.110402	0.135712	0.218039	0.31766
a38	0.0641793	0.0618584	0.0570819	0.101812	0.141823	0.22272	0.350526
a21	0.0360903	0.0383939	0.0359106	0.0721514	0.116436	0.2327	0.468318
a5	0.0313419	0.0322978	0.0326579	0.0654302	0.117934	0.243004	0.477334
a21	0.0314384	0.0282791	0.0275888	0.0530998	0.0955784	0.221633	0.542382
a92	0.0283643	0.0241687	0.0227034	0.0485803	0.0967793	0.222547	0.556856
a93	0.0168624	0.0146385	0.0130253	0.0289875	0.068256	0.216365	0.641865
a70	0.00656387	0.00702897	0.00754315	0.0208475	0.061695	0.224613	0.671708
a13	0.00328607	0.00403503	0.00399173	0.0105593	0.0410501	0.194892	0.742186
a9	0.00459738	0.00708506	0.00601877	0.0169917	0.0678986	0.247399	0.65001
a87	0.026902	0.0360997	0.0315478	0.0663047	0.157361	0.249873	0.431912
a23	0.0834106	0.086608	0.0632822	0.100391	0.178068	0.214609	0.273632
a87	0.0418105	0.0411752	0.0345797	0.0718331	0.150076	0.231238	0.429287
a23	0.0121457	0.0180194	0.0196481	0.0585368	0.145806	0.247729	0.498115
a87	0.0187998	0.0239021	0.0230368	0.0590766	0.123005	0.232546	0.519633
</S>	0.00950075	0.0178217	0.0200985	0.0547931	0.119531	0.234914	0.543341
