 	l'	eau	du	fleuve	est	basse	</S>
a23	0.441529	0.271501	0.151943	0.0625713	0.0286496	0.0190116	0.0247948
a83	0.537148	0.22009	0.118797	0.0476239	0.0267023	0.0211902	0.0284489
a20	0.428458	0.18771	0.0854796	0.0393387	0.0420258	0.0880599	0.128929
a40	0.444188	0.221317	0.117621	0.0631141	0.0425818	0.0577799	0.0533978
a6	0.330696	0.234305	0.161642	0.103723	0.055951	0.0598945	0.0537885
a37	0.185565	0.149687	0.120558	0.104389	0.104188	0.15269	0.182922
a75	0.120635	0.109368	0.106274	0.103691	0.115259	0.186813	0.257959
a47	0.0710754	0.0826152	0.08391	0.097082	0.135883	0.2316	0.297834
a37	0.0510307	0.0591817	0.0611105	0.0799234	0.127167	0.24681	0.374776
a0	0.0547852	0.0575654	0.0613248	0.0823196	0.13043	0.231784	0.381791
a11	0.0327528	0.0342232	0.0379427	0.0578281	0.111625	0.251762	0.473866
a83	0.0256458	0.0268099	0.0295988	0.0449272	0.0961391	0.258953	0.517926
a54	0.0141732	0.0149795	0.0178454	0.0295088	0.0710896	0.256886	0.595518
a7	0.0169193	0.0169744	0.0174264	0.0299868	0.0925372	0.280824	0.545332
a2	0.00629531	0.00693484	0.00873019	0.0161057	0.0494431	0.233778	0.678713
a57	0.0139293	0.0108691	0.0123549	0.0197778	0.051171	0.24675	0.645148
a87	0.0955703	0.0709218	0.062454	0.0690752	0.112699	0.205493	0.383787
a23	0.237186	0.212905	0.16584	0.102275	0.0833293	0.0793534	0.119112
a87	0.105217	0.105369	0.0881112	0.0961416	0.121136	0.1667	0.317326
</S>	0.0412711	0.0427014	0.0335756	0.043475	0.0802949	0.216174	0.542508
