 	ton	ami-là	va	nous	chercher	des	problèmes	dans	ce	quartier	</S>
a66	0.146142	0.115454	0.136308	0.223037	0.202722	0.120424	0.0409393	0.0067311	0.00337496	0.00264118	0.00222569
a87	0.19367	0.116574	0.129277	0.0986391	0.118173	0.0737582	0.0452495	0.0296717	0.0429843	0.0746974	0.0773056
a97	0.154108	0.166123	0.144572	0.156512	0.128714	0.0963295	0.041624	0.0231637	0.0176167	0.0247441	0.0464926
a87	0.162022	0.278465	0.166031	0.145852	0.102854	0.0623905	0.0278961	0.0146177	0.011162	0.0105365	0.0181741
a97	0.171576	0.268654	0.14277	0.132687	0.101132	0.0710337	0.037634	0.019375	0.015599	0.0148419	0.0246966
a10	0.178782	0.238585	0.122778	0.124164	0.102623	0.0830602	0.0514209	0.0246309	0.0214142	0.0201705	0.0323712
a97	0.154344	0.211424	0.12633	0.116229	0.111029	0.0986141	0.0681785	0.0295503	0.0262862	0.0210564	0.036958
a87	0.149496	0.1777	0.122056	0.120705	0.121955	0.114252	0.0779068	0.0328128	0.0290152	0.0201508	0.0339511
a97	0.129332	0.180374	0.127146	0.111881	0.112071	0.106126	0.0801748	0.0402959	0.0387419	0.0263745	0.0474818
a99	0.147559	0.166085	0.118179	0.116758	0.119169	0.116651	0.084383	0.039602	0.0348942	0.0219747	0.0347457
a97	0.180329	0.108964	0.102383	0.116445	0.127429	0.138424	0.0997047	0.0414538	0.0343631	0.0223978	0.0281061
a99	0.156298	0.114648	0.106349	0.110826	0.125152	0.139073	0.104069	0.0453501	0.0387699	0.0250319	0.0344332
a97	0.164069	0.107359	0.103086	0.118376	0.129612	0.14418	0.105799	0.0454938	0.0354953	0.0213257	0.0252042
a30	0.153132	0.119628	0.118949	0.129898	0.135103	0.128183	0.0874262	0.0452267	0.0372286	0.0215284	0.0236955
a4	0.197629	0.144969	0.0974084	0.114588	0.107156	0.106008	0.0785834	0.0461373	0.0445735	0.0298739	0.0330732
a13	0.325891	0.199771	0.0734594	0.112658	0.0673126	0.0447	0.0381874	0.0282313	0.0400163	0.0352767	0.0344967
a50	0.299411	0.208584	0.0867177	0.121388	0.0708689	0.0443883	0.0386638	0.0309125	0.0369966	0.0336376	0.0284323
a62	0.177291	0.216997	0.113458	0.143545	0.0862387	0.0551793	0.047241	0.0374015	0.0454988	0.0409919	0.036158
a21	0.123567	0.252154	0.158326	0.18265	0.104979	0.0529747	0.03623	0.0256252	0.0243584	0.0195744	0.0195612
a5	0.130107	0.1974	0.143859	0.227023	0.134897	0.0710529	0.0355057	0.0165983	0.0137139	0.0136145	0.0162301
a92	0.114084	0.208672	0.144463	0.205228	0.126106	0.0729881	0.0451259	0.024015	0.0194877	0.0181894	0.0216417
a90	0.0665532	0.218316	0.161748	0.211024	0.133707	0.0767685	0.047322	0.0234323	0.0175112	0.0193516	0.0242663
a69	0.0504209	0.21853	0.188092	0.202877	0.144423	0.0768561	0.037796	0.0192018	0.0164555	0.0206964	0.0246508
a90	0.0339626	0.174972	0.176656	0.198061	0.1382	0.0857576	0.0570207	0.0317129	0.028281	0.0348994	0.0404767
a15	0.0325666	0.156141	0.182484	0.186323	0.140555	0.0885855	0.056703	0.0347391	0.032457	0.0405189	0.0489265
a98	0.0306811	0.126838	0.166413	0.164228	0.133153	0.0984751	0.0672581	0.0438603	0.042969	0.0567019	0.0694236
a85	0.0189906	0.0857611	0.109283	0.0911079	0.0811154	0.0717058	0.0681168	0.0676937	0.0838222	0.135308	0.187096
a6	0.0204064	0.0789053	0.0918182	0.0697211	0.0602323	0.0525394	0.0621735	0.0733882	0.096362	0.165004	0.22945
a0	0.0213839	0.0899596	0.11547	0.0958115	0.0908249	0.0882894	0.0773137	0.0654993	0.0759163	0.112146	0.167385
a75	0.0140343	0.0508592	0.0853757	0.0709722	0.0767205	0.0851829	0.0691922	0.0617887	0.0766468	0.135376	0.273851
a25	0.00777264	0.0415403	0.0687163	0.0603379	0.0621738	0.0707142	0.0687303	0.0785647	0.103986	0.166155	0.271309
a56	0.00839321	0.0415979	0.0573705	0.041222	0.0445475	0.0564649	0.0803449	0.0917979	0.0988964	0.160517	0.318847
a75	0.00711977	0.0277935	0.0500399	0.044035	0.0491189	0.0668226	0.0754524	0.0836921	0.0967905	0.15458	0.344555
a85	0.00586043	0.0210703	0.0376906	0.0316397	0.0375851	0.0556631	0.0688001	0.0946162	0.124883	0.196724	0.325466
a6	0.00465499	0.0117951	0.02353	0.0185109	0.0229967	0.0351748	0.056484	0.083654	0.125152	0.232772	0.385275
a37	0.00484912	0.0139047	0.0240253	0.0207217	0.0268666	0.0454435	0.0660045	0.100754	0.149625	0.215789	0.332017
a43	0.00300317	0.00547931	0.00926088	0.00711303	0.0107853	0.0219819	0.0360297	0.0665611	0.122552	0.245034	0.4722
a24	0.00180713	0.00297841	0.00449435	0.00348672	0.00551603	0.0127877	0.0249325	0.0533983	0.124931	0.27463	0.491038
a38	0.000334357	0.000588219	0.00114307	0.00104486	0.00175587	0.00482906	0.013116	0.0366441	0.12043	0.280069	0.540046
a90	0.000483269	0.000699797	0.00136692	0.00118927	0.00215024	0.00620256	0.0146122	0.0379176	0.119491	0.251186	0.564702
a56	0.000173102	0.000505701	0.000823406	0.000716339	0.00129664	0.00423024	0.0102855	0.0279105	0.127672	0.2735	0.552887
a47	0.000155615	0.000406901	0.00078004	0.000677213	0.00123864	0.00353586	0.00806026	0.023262	0.0988883	0.267141	0.595855
a88	0.000181509	0.000520618	0.000926962	0.000647497	0.00115243	0.00301806	0.00735826	0.0222026	0.109045	0.279089	0.575858
a0	9.92813e-05	0.00021018	0.000491006	0.000354766	0.000753668	0.00231268	0.00651166	0.0251305	0.119759	0.28834	0.556038
a47	0.000349566	0.000346928	0.000804155	0.000515865	0.00108856	0.00342516	0.0103595	0.0356591	0.147852	0.270486	0.529113
a21	0.000145523	0.000285342	0.000625251	0.000460696	0.00099054	0.00304373	0.00912171	0.0296072	0.134455	0.294629	0.526636
a5	0.000110223	0.000294141	0.000603386	0.000530024	0.00110919	0.00347681	0.00934157	0.0255231	0.107398	0.263148	0.588466
a18	0.000136778	0.000230152	0.00052487	0.000483436	0.00092759	0.00253315	0.00656663	0.0185888	0.0845154	0.243623	0.641871
a88	0.00252428	0.00140953	0.00267455	0.00161991	0.00366024	0.00984022	0.0243672	0.0618169	0.179279	0.259818	0.45299
a71	0.00517684	0.00344783	0.00587921	0.00383351	0.00826815	0.0171977	0.0344404	0.0858909	0.20366	0.23058	0.401625
a9	0.00780562	0.00591307	0.00872958	0.00586361	0.0117876	0.0206639	0.0359608	0.0898179	0.204336	0.226378	0.382744
a3	0.0381179	0.0270539	0.0457717	0.0398853	0.0604829	0.0777682	0.0820892	0.127872	0.157556	0.127001	0.216402
a97	0.0396094	0.027227	0.0390567	0.0329473	0.0441704	0.0644728	0.0803511	0.137983	0.166414	0.154264	0.213504
a3	0.0394854	0.028279	0.0421414	0.0324131	0.0436864	0.0626031	0.0776131	0.129338	0.15962	0.172224	0.212596
a97	0.0341437	0.0336128	0.0563002	0.0408073	0.0495629	0.0529842	0.0578473	0.0913979	0.126634	0.193519	0.263191
a30	0.0256913	0.0533409	0.0846183	0.0673546	0.0672017	0.0636091	0.0588841	0.0805114	0.0994526	0.149784	0.249552
</S>	0.0286598	0.0724072	0.0905625	0.0709387	0.0638582	0.0518277	0.043483	0.0555435	0.0751896	0.145752	0.301777
