 	j'	ai	un	abcès	</S>
a23	0.416487	0.241209	0.159511	0.10656	0.0762331
a83	0.591033	0.200219	0.0922922	0.0634425	0.0530139
a13	0.614705	0.204693	0.0865128	0.0470372	0.0470521
a26	0.452941	0.298101	0.140449	0.0631856	0.0453232
a24	0.273866	0.259271	0.217597	0.135588	0.113679
a71	0.229374	0.244916	0.235845	0.161033	0.128832
a38	0.189197	0.20413	0.229127	0.198115	0.179431
a26	0.162841	0.191261	0.245609	0.217779	0.182509
a24	0.127142	0.157158	0.218145	0.239952	0.257604
a25	0.108425	0.149984	0.215109	0.242213	0.284268
a87	0.0725077	0.103189	0.184625	0.264676	0.375003
a38	0.0253755	0.0385718	0.0919814	0.230032	0.614039
a26	0.0272405	0.0312172	0.0803769	0.217536	0.643629
a62	0.0290034	0.0357638	0.090081	0.229202	0.615949
a21	0.0288235	0.0378031	0.0892682	0.231501	0.612604
a41	0.0170376	0.0223687	0.0631649	0.226909	0.67052
a30	0.0151747	0.0207088	0.0609333	0.233406	0.669777
a57	0.0217408	0.0342337	0.0764383	0.215355	0.652232
a87	0.0410763	0.0315893	0.0604183	0.18637	0.680546
</S>	0.146312	0.0859418	0.0998387	0.226834	0.441073
