 	j'	ai	échappé	à	la	mort	pendant	la	guerre	</S>
a23	0.200657	0.106107	0.0840472	0.0870599	0.124032	0.165922	0.120995	0.0542127	0.0320847	0.0248828
a83	0.257978	0.156882	0.0987342	0.0940883	0.0870156	0.106402	0.0850363	0.0474136	0.0354443	0.0310054
a54	0.314593	0.215942	0.161713	0.0915156	0.0469748	0.0389469	0.0413793	0.0319772	0.0288332	0.0281248
a6	0.358052	0.291254	0.192961	0.0801975	0.0270237	0.0145843	0.012439	0.008817	0.00743605	0.00723541
a47	0.245714	0.258341	0.213205	0.120167	0.0542164	0.0341292	0.0270837	0.0165689	0.0147073	0.0158682
a6	0.205023	0.221056	0.194078	0.120648	0.0731015	0.0485734	0.0351252	0.0272612	0.0331468	0.0419867
a44	0.155765	0.181308	0.225789	0.159918	0.105496	0.0604118	0.0366143	0.0214807	0.0240827	0.0291342
a90	0.108488	0.109097	0.196259	0.206852	0.159976	0.0844068	0.041263	0.0244655	0.0302755	0.0389172
a75	0.0826804	0.0875084	0.162099	0.180047	0.154888	0.102333	0.0665134	0.0433949	0.0518018	0.0687349
a85	0.0596134	0.0624114	0.114321	0.143073	0.148137	0.117231	0.0943541	0.0774963	0.083311	0.100052
a5	0.0415519	0.0486183	0.0814207	0.113858	0.130328	0.114791	0.108035	0.114062	0.123576	0.12376
a61	0.0738879	0.0708356	0.100173	0.112331	0.146039	0.137934	0.10264	0.0767526	0.0838105	0.0955976
a47	0.0702345	0.063961	0.0933846	0.107562	0.150439	0.173929	0.118373	0.0694559	0.0703372	0.0823233
a88	0.0521007	0.0440103	0.0734789	0.0865597	0.13298	0.196604	0.147604	0.0883168	0.0826772	0.0956688
a9	0.029828	0.0256597	0.0409782	0.0583418	0.0912289	0.160649	0.168404	0.14557	0.136837	0.142504
a38	0.0168028	0.0139192	0.0191763	0.0295978	0.0416965	0.0918433	0.128418	0.163997	0.230788	0.263762
a11	0.0103605	0.00782785	0.0126094	0.0174567	0.0208307	0.0502349	0.0932395	0.151431	0.261899	0.37411
a0	0.00411191	0.00339268	0.00548927	0.00857875	0.0116781	0.030912	0.0645464	0.13791	0.286553	0.446828
a75	0.0034182	0.00315858	0.00455147	0.00618473	0.00881409	0.0223456	0.0477368	0.113065	0.276715	0.51401
a18	0.00454761	0.00437346	0.00676222	0.00875063	0.0100898	0.0160766	0.029392	0.0839242	0.281699	0.554385
a31	0.0101829	0.00921832	0.0125093	0.0132463	0.0140797	0.025758	0.0456064	0.0920496	0.240057	0.537293
a62	0.00245785	0.00229593	0.00325053	0.00400326	0.00627458	0.0127008	0.024821	0.0766867	0.258763	0.608746
a21	0.00367136	0.00363349	0.00464523	0.00552458	0.00798654	0.0146604	0.0286979	0.0871177	0.264348	0.579715
a85	0.00616139	0.00603451	0.00710555	0.00888057	0.0125749	0.0217414	0.037476	0.096053	0.261944	0.542029
a36	0.00883329	0.0087038	0.00858874	0.0123972	0.0144743	0.0214869	0.0372535	0.10677	0.299368	0.482125
a2	0.00529496	0.0052516	0.00689961	0.00986121	0.0113735	0.0217526	0.0409012	0.0934826	0.256937	0.548245
a57	0.127698	0.0830358	0.0798878	0.068393	0.066971	0.0809024	0.0947898	0.098387	0.118987	0.180949
a87	0.112006	0.0858026	0.0818915	0.0676189	0.0695499	0.0968424	0.127912	0.134842	0.114996	0.108538
a23	0.122863	0.0946448	0.0951166	0.0822141	0.0859103	0.114545	0.126488	0.115428	0.0901053	0.0726844
a87	0.0559471	0.036895	0.0586229	0.061794	0.0607118	0.0902751	0.126159	0.18305	0.179423	0.147122
</S>	0.021115	0.0158482	0.0217662	0.0230952	0.0324093	0.0610126	0.10929	0.197513	0.26904	0.24891
