 	le	manioc	rassasie	vite	</S>
a66	0.481611	0.259209	0.131297	0.0746395	0.0532444
a87	0.416537	0.230638	0.140425	0.115055	0.0973456
a97	0.607713	0.200864	0.0703521	0.053366	0.067705
a87	0.498875	0.220619	0.132534	0.0797645	0.0682078
a97	0.500302	0.21805	0.123302	0.0827181	0.0756279
a87	0.47007	0.21878	0.148164	0.0862314	0.0767546
a23	0.48963	0.216209	0.136216	0.0824182	0.0755264
a79	0.44053	0.195114	0.196437	0.086143	0.0817756
a4	0.501371	0.222922	0.122589	0.0679316	0.0851861
a13	0.461302	0.229682	0.115559	0.0864537	0.107003
a57	0.28699	0.20629	0.162191	0.148142	0.196387
a53	0.252064	0.184632	0.164226	0.168211	0.230867
a15	0.201618	0.187412	0.193776	0.182803	0.234391
a79	0.257419	0.251163	0.194959	0.136575	0.159884
a90	0.170977	0.229201	0.214009	0.180949	0.204864
a56	0.139202	0.211791	0.195637	0.195365	0.258004
a93	0.0792025	0.171965	0.220455	0.248197	0.28018
a70	0.0858566	0.176189	0.221454	0.222068	0.294432
a11	0.0243452	0.0655415	0.200032	0.276649	0.433432
a54	0.0125817	0.0370258	0.175558	0.313461	0.461374
a44	0.0152551	0.0468564	0.197219	0.332296	0.408373
a93	0.0100428	0.0266888	0.14223	0.329792	0.491246
a70	0.00564902	0.0147428	0.1077	0.323713	0.548195
a93	0.00315176	0.00748383	0.0683038	0.292356	0.628704
a4	0.00174261	0.0046535	0.0541088	0.293804	0.645691
a13	0.00240302	0.00604301	0.0626813	0.283924	0.644949
a93	0.000796805	0.00243191	0.0294333	0.243025	0.724313
a70	0.00121929	0.00296868	0.0321879	0.227921	0.735703
a99	0.000977251	0.00231271	0.0187553	0.183387	0.794568
a71	0.00148498	0.00381289	0.0282883	0.188183	0.778231
a9	0.00499342	0.0089416	0.0470863	0.200074	0.738905
a25	0.0631718	0.0488677	0.0943636	0.233964	0.559633
a99	0.134482	0.0743041	0.0773576	0.211421	0.502436
a97	0.087437	0.0602566	0.0914232	0.276897	0.483986
a87	0.0707972	0.0598118	0.116767	0.276895	0.475729
a23	0.0857457	0.079481	0.134076	0.258135	0.442563
a87	0.1078	0.0793552	0.1127	0.243302	0.456843
a23	0.0963098	0.0917765	0.130005	0.248136	0.433773
a10	0.139663	0.097155	0.128182	0.232137	0.402863
</S>	0.168928	0.118661	0.132166	0.22042	0.359824
