 	la	maman	nous	a	défendu	de	manger	des	mangues	vertes	</S>
a15	0.122535	0.0986868	0.0917687	0.0979209	0.102581	0.131927	0.139534	0.103314	0.0513411	0.0434376	0.0169534
a66	0.149072	0.0957973	0.0966372	0.103174	0.0840635	0.0953285	0.12239	0.105067	0.0574898	0.0704099	0.0205701
a87	0.325515	0.224911	0.134002	0.0810731	0.0570008	0.0441498	0.0333182	0.0268648	0.0227723	0.0221195	0.0282739
a97	0.329918	0.260612	0.153089	0.0873191	0.0395848	0.0305173	0.0282798	0.0229944	0.0160604	0.0175595	0.0140654
a87	0.279866	0.230284	0.155294	0.0990138	0.0437612	0.0342467	0.0345816	0.0304671	0.0255433	0.0384894	0.0284524
a23	0.265664	0.205253	0.149141	0.100752	0.0503962	0.0422701	0.0429439	0.0375894	0.0303511	0.0445853	0.0310538
a83	0.205187	0.14687	0.102841	0.0794262	0.0531654	0.0509207	0.0680457	0.0659537	0.0529625	0.123711	0.0509161
a70	0.161694	0.122157	0.0858094	0.0698935	0.0531281	0.0518716	0.0727596	0.0689175	0.0596213	0.148881	0.105267
a93	0.174245	0.144285	0.11113	0.0908429	0.0874627	0.0701019	0.0722397	0.0557756	0.0403979	0.0871507	0.0663682
a90	0.11886	0.133491	0.132811	0.118079	0.121184	0.0914177	0.0716521	0.0523567	0.0392966	0.0658932	0.0549591
a98	0.082938	0.094927	0.109707	0.115293	0.146837	0.128081	0.107294	0.0784704	0.0474465	0.0511969	0.0378093
a92	0.0409863	0.0485308	0.0650707	0.0866307	0.117886	0.129973	0.141913	0.13013	0.0861337	0.082174	0.0705722
a43	0.080981	0.0827446	0.0955126	0.109199	0.126391	0.132859	0.128777	0.101765	0.0548812	0.0460927	0.0407968
a11	0.0584819	0.0707665	0.102238	0.129602	0.163862	0.153041	0.126999	0.0851981	0.0402799	0.0342882	0.0352448
a24	0.0365721	0.0513353	0.100063	0.139493	0.137982	0.131549	0.115485	0.0957081	0.057326	0.0546708	0.079816
a83	0.0199291	0.0285948	0.0680804	0.120352	0.123655	0.128118	0.131977	0.138805	0.0862818	0.0715665	0.0826401
a62	0.0129342	0.0182785	0.0467148	0.0979554	0.120587	0.133121	0.140047	0.141358	0.0942997	0.0840069	0.110698
a83	0.00989295	0.0144875	0.0369273	0.0808542	0.113367	0.131691	0.138667	0.139093	0.109841	0.100931	0.124249
a13	0.0109633	0.0153915	0.0334691	0.0622042	0.0732712	0.0911692	0.126331	0.171837	0.148607	0.140963	0.125794
a62	0.0142548	0.0186464	0.0351306	0.0586976	0.0700788	0.0866937	0.121377	0.15931	0.141852	0.146787	0.147173
a0	0.00665108	0.0087221	0.0186123	0.0358442	0.0473533	0.059087	0.0873733	0.124296	0.185573	0.195331	0.231157
a75	0.00359802	0.005043	0.0105446	0.0198631	0.0346299	0.0421356	0.0665585	0.101481	0.172084	0.243341	0.300721
a70	0.00563819	0.00687948	0.0113093	0.0173239	0.0179695	0.019303	0.0291249	0.0575382	0.154149	0.231196	0.449568
a11	0.00225462	0.00301452	0.00613949	0.0108101	0.0138076	0.0158146	0.0254997	0.0471805	0.142178	0.276494	0.456806
a75	0.00178356	0.00251898	0.00506492	0.00853789	0.012615	0.0133389	0.0197127	0.0378313	0.128022	0.273089	0.497486
a85	0.00320873	0.00357524	0.00527393	0.00786104	0.0076406	0.00733502	0.0111812	0.0251479	0.125512	0.232388	0.570876
a37	0.00136821	0.00148252	0.00213682	0.00322793	0.00359735	0.00434316	0.00745042	0.0163021	0.0913603	0.186264	0.682467
a70	0.0011387	0.0013658	0.00190109	0.00275087	0.0045238	0.00480402	0.00721864	0.0154609	0.0897985	0.195869	0.675169
a98	0.000848862	0.00112035	0.00177181	0.00266124	0.00489471	0.00496152	0.0069308	0.0144882	0.0843922	0.193121	0.68481
a85	0.000686057	0.000792657	0.00116361	0.00176848	0.0024065	0.00276037	0.00452246	0.00943452	0.0617844	0.139392	0.775289
a61	0.000740811	0.00078657	0.00104093	0.00157541	0.00202783	0.00275201	0.00542217	0.0120721	0.0746857	0.140861	0.758036
a21	0.00101491	0.00121188	0.00176878	0.00267587	0.00366992	0.00413177	0.00680515	0.0147379	0.0902764	0.156778	0.71693
a70	0.00210536	0.00242913	0.00319083	0.00466508	0.00552059	0.00622534	0.0110201	0.021743	0.111162	0.151165	0.680773
a98	0.000816216	0.000943454	0.00129665	0.00176174	0.002568	0.00278511	0.00481994	0.0111056	0.0773307	0.152959	0.743614
a47	0.000483655	0.000513031	0.000608447	0.00089328	0.0016141	0.00237149	0.00455204	0.00943368	0.0619034	0.124732	0.792895
a44	0.000910656	0.000934554	0.000967352	0.00130867	0.00189902	0.00269276	0.0052533	0.0111416	0.0722913	0.129081	0.77352
a57	0.000930386	0.000999842	0.00110601	0.00132818	0.00228743	0.00264434	0.00432679	0.0091218	0.0612562	0.145097	0.770902
a30	0.0124097	0.0136054	0.014562	0.0176572	0.027783	0.0248626	0.0278838	0.037495	0.118359	0.206148	0.499235
a70	0.0392543	0.0331331	0.0280307	0.0301964	0.037934	0.0315913	0.0319006	0.0375956	0.0954246	0.180057	0.454883
a0	0.000672781	0.000690267	0.000806426	0.00100833	0.00153681	0.00149698	0.00246969	0.0060777	0.0471489	0.117552	0.820541
a9	0.00135321	0.00148009	0.00156863	0.0018654	0.00311875	0.00294378	0.00408632	0.00832833	0.0456022	0.129684	0.799969
a10	0.0287959	0.0255709	0.0214316	0.0244935	0.0306412	0.0238463	0.0232467	0.0303272	0.08532	0.160616	0.545711
a87	0.0786479	0.0531286	0.0336459	0.032291	0.0280342	0.026248	0.0308424	0.0443365	0.113763	0.193513	0.365549
a23	0.097445	0.0736492	0.0540406	0.0519944	0.0380121	0.0436795	0.057881	0.0761159	0.119913	0.161621	0.225648
a99	0.0820283	0.0628541	0.0425457	0.0304929	0.0195718	0.0158263	0.0180549	0.0340003	0.111042	0.155537	0.428047
a97	0.0395272	0.0309594	0.0237846	0.0222106	0.0182757	0.0204125	0.0262995	0.044343	0.120635	0.164351	0.489202
a87	0.0503356	0.0404809	0.0323411	0.0334444	0.0287869	0.0311834	0.0333539	0.0454337	0.0979015	0.132655	0.474084
</S>	0.0910621	0.0738436	0.0546462	0.0495525	0.0359794	0.0322611	0.0300901	0.0392107	0.0872254	0.122696	0.383433
