 	la	chenille	se	transforme	en	papillon	</S>
a66	0.26771	0.206569	0.241186	0.198248	0.0573144	0.0180279	0.0109444
a87	0.275093	0.285482	0.221349	0.13232	0.0505638	0.0227723	0.0124197
a10	0.374859	0.374681	0.186421	0.0436386	0.00898913	0.00547929	0.00593217
a87	0.357237	0.387964	0.186831	0.044114	0.0122637	0.00646712	0.00512346
a23	0.334358	0.348472	0.211459	0.0713235	0.0190571	0.00881118	0.00651926
a62	0.346839	0.358837	0.148826	0.0976924	0.0263766	0.0121718	0.00925628
a96	0.377845	0.387515	0.137068	0.0485884	0.0230107	0.0155351	0.0104374
a44	0.31482	0.396697	0.165889	0.0502286	0.0309786	0.0231842	0.0182031
a93	0.24336	0.350303	0.215133	0.0675446	0.049023	0.0413402	0.0332958
a56	0.175023	0.253397	0.220876	0.0948498	0.0962145	0.0891599	0.0704804
a90	0.150874	0.204347	0.259404	0.13265	0.0981454	0.0851551	0.0694248
a92	0.10367	0.135771	0.261179	0.181254	0.111464	0.109857	0.0968052
a21	0.0926463	0.112922	0.267643	0.201134	0.0956242	0.109624	0.120407
a47	0.0728049	0.0818999	0.258413	0.240017	0.105272	0.111385	0.130209
a96	0.0606194	0.0508878	0.154795	0.256072	0.13869	0.147031	0.191904
a88	0.0283638	0.0217346	0.0812316	0.226792	0.158582	0.199789	0.283507
a75	0.0100587	0.00670335	0.0214567	0.107059	0.126571	0.260115	0.468036
a85	0.00382539	0.00255661	0.00768537	0.0663414	0.108828	0.295936	0.514827
a98	0.0021749	0.0013207	0.00381638	0.036785	0.0818722	0.263597	0.610434
a92	0.00105258	0.000589253	0.00180194	0.026701	0.0682888	0.278825	0.622742
a44	0.000928217	0.000505206	0.00130438	0.0168526	0.0572672	0.263597	0.659545
a56	0.00122495	0.000422798	0.000656045	0.00463049	0.0182549	0.187063	0.787748
a11	0.00140059	0.000553136	0.00105563	0.00638173	0.0232133	0.212721	0.754674
a94	0.00113327	0.00044765	0.000887099	0.00568177	0.0213123	0.21989	0.750648
a70	0.00272973	0.00119576	0.00187512	0.0086405	0.0325821	0.214068	0.738909
a66	0.0037474	0.00173665	0.00288297	0.0168189	0.0520641	0.240589	0.682161
a13	0.0435082	0.0183027	0.0197752	0.049775	0.0773307	0.190585	0.600723
a3	0.0341712	0.0159103	0.0201893	0.0535679	0.0778101	0.182891	0.61546
a82	0.147529	0.0955104	0.0864822	0.116481	0.106126	0.146651	0.30122
a10	0.229388	0.170432	0.139653	0.14387	0.0910415	0.0906253	0.13499
a87	0.159685	0.13356	0.116903	0.14445	0.13342	0.145709	0.166273
a23	0.0999673	0.0834488	0.0844801	0.126453	0.157804	0.208519	0.239328
a87	0.0280358	0.0206873	0.0162807	0.0289294	0.0903258	0.342943	0.472798
a23	0.00756717	0.00671495	0.00703525	0.0222076	0.0695069	0.32234	0.564628
a99	0.0144219	0.0134055	0.0136471	0.0347646	0.0997092	0.35883	0.465222
a87	0.0393601	0.0340536	0.0326511	0.0588433	0.0869773	0.276245	0.471869
a97	0.0175336	0.0166369	0.0165872	0.0436019	0.078814	0.307522	0.519304
</S>	0.0486709	0.0455934	0.0480958	0.0869204	0.0889233	0.268145	0.413651
