 	quelle	est	la	personne	qui	a	déraciné	cet	arbre	</S>
a66	0.290605	0.216788	0.150079	0.109955	0.0714195	0.0525391	0.0485196	0.0300749	0.0177719	0.0122473
a87	0.242894	0.167239	0.12122	0.0936849	0.0747167	0.0812062	0.0661405	0.052032	0.0472837	0.0535834
a23	0.378432	0.277799	0.158065	0.0766982	0.036816	0.0170584	0.0119914	0.0107688	0.0127859	0.0195856
a30	0.494829	0.227947	0.0966755	0.0496032	0.0336787	0.0196081	0.0176001	0.013785	0.0161389	0.0301349
a44	0.394665	0.201776	0.114508	0.084141	0.0674637	0.0399184	0.0261549	0.0193565	0.0221871	0.0298295
a26	0.311916	0.175784	0.124937	0.117556	0.102751	0.0541204	0.0305859	0.0221298	0.0254188	0.0348007
a32	0.195291	0.12576	0.0945353	0.0978713	0.140604	0.119444	0.0775383	0.044621	0.0471269	0.057209
a94	0.137121	0.111883	0.0981894	0.103739	0.145781	0.13142	0.097125	0.0556907	0.0551465	0.0639039
a70	0.118703	0.109335	0.105304	0.122683	0.154198	0.132731	0.0875641	0.0502493	0.0526719	0.0665599
a83	0.128803	0.122736	0.124678	0.162957	0.173242	0.137235	0.0703045	0.0282876	0.0238772	0.0278811
a50	0.093328	0.0861982	0.0974254	0.140429	0.173447	0.165778	0.0979522	0.0477597	0.0443106	0.0533721
a88	0.0544289	0.0495014	0.0667521	0.10919	0.165924	0.218952	0.133765	0.0612568	0.0617698	0.0784596
a18	0.0415943	0.0368983	0.0493587	0.0725527	0.111827	0.199707	0.173402	0.0980775	0.0987934	0.117788
a94	0.0414723	0.0364472	0.0429923	0.0498753	0.0619017	0.122219	0.163538	0.149892	0.1532	0.178463
a90	0.0330666	0.0264308	0.032327	0.0407177	0.0542841	0.11616	0.160453	0.168417	0.174637	0.193505
a98	0.0178777	0.0161428	0.0239029	0.041878	0.0618067	0.112295	0.137898	0.161272	0.174545	0.252382
a92	0.00642538	0.00555192	0.00807009	0.0122785	0.020441	0.0472777	0.0878104	0.183841	0.252801	0.375503
a21	0.00427443	0.00375268	0.00532686	0.00822312	0.0129377	0.0270773	0.0595971	0.175992	0.28093	0.421888
a5	0.00484741	0.00448578	0.00614065	0.00846165	0.0110278	0.0218565	0.0531683	0.161358	0.303617	0.425037
a61	0.0037319	0.00310968	0.00407118	0.00536125	0.00740939	0.0140434	0.03317	0.147999	0.316725	0.464379
a47	0.00152894	0.0012154	0.00171034	0.0023677	0.00362293	0.00746482	0.0197392	0.107281	0.270504	0.584566
a96	0.00169521	0.00155285	0.0021801	0.00282501	0.00307758	0.005069	0.0116038	0.069223	0.219051	0.683723
a88	0.000793654	0.00066411	0.000902191	0.00115857	0.00141507	0.00316501	0.00915031	0.0575182	0.206077	0.719156
a36	0.000950323	0.00083444	0.0010907	0.00135681	0.00128289	0.00236793	0.00627562	0.0561966	0.25159	0.678054
a27	0.00732516	0.00559839	0.00672853	0.00783678	0.00647634	0.00996387	0.0170258	0.084213	0.254366	0.600466
a57	0.0796709	0.0421942	0.0388991	0.0357391	0.0313597	0.044915	0.0519544	0.101591	0.182603	0.391074
a87	0.251665	0.126409	0.0788746	0.0552355	0.0454896	0.0452024	0.0420923	0.0636936	0.10563	0.185709
a23	0.281301	0.178494	0.122537	0.0744431	0.056918	0.0537235	0.0395595	0.0386713	0.0611199	0.0932328
a87	0.226972	0.109071	0.0608743	0.039857	0.0317095	0.0256876	0.0171	0.0360574	0.124269	0.328402
a97	0.0254881	0.0120015	0.00695454	0.00468297	0.00397996	0.00526947	0.0084498	0.0395732	0.182652	0.710949
a87	0.0847293	0.0506109	0.0365483	0.0266553	0.021676	0.0309946	0.0400478	0.0673781	0.152739	0.488621
</S>	0.146978	0.0860679	0.0577506	0.0416789	0.034653	0.0439758	0.051644	0.0721126	0.126377	0.338762
