 	notre	maman	est	assise	sur	le	tabouret	</S>
a66	0.217592	0.208583	0.180194	0.165905	0.110051	0.0772522	0.0275708	0.0128521
a87	0.398132	0.205776	0.118723	0.117813	0.0894513	0.0465887	0.0156868	0.00782914
a23	0.371836	0.28431	0.174743	0.112842	0.0303247	0.0155158	0.00693405	0.00349409
a83	0.327461	0.271764	0.1631	0.137555	0.051822	0.0218235	0.0137298	0.0127431
a30	0.213573	0.190233	0.116424	0.123285	0.0929122	0.0855691	0.0917827	0.0862211
a90	0.226517	0.220228	0.140377	0.176511	0.11171	0.0592144	0.0302648	0.0351763
a98	0.20897	0.246105	0.16872	0.162812	0.116536	0.0527525	0.023419	0.020686
a79	0.102889	0.133265	0.109547	0.126665	0.242691	0.168191	0.0726777	0.0440757
a56	0.0877482	0.111836	0.108406	0.154908	0.276186	0.150202	0.074728	0.0359858
a75	0.121701	0.132013	0.122461	0.165876	0.241444	0.124396	0.0608232	0.0312851
a5	0.0905202	0.108193	0.111654	0.157101	0.236995	0.139711	0.103712	0.0521137
a47	0.122204	0.145758	0.151528	0.203908	0.17466	0.0902599	0.0705267	0.0411552
a61	0.0917309	0.134578	0.164485	0.226562	0.180337	0.0818955	0.0680169	0.0523953
a75	0.0656588	0.102165	0.150076	0.197158	0.2136	0.129784	0.085472	0.0560869
a25	0.0265156	0.0405691	0.0637642	0.0902055	0.186484	0.176085	0.231982	0.184394
a56	0.0153237	0.0229908	0.0390455	0.0583808	0.145371	0.174043	0.27043	0.274415
a44	0.021922	0.0320457	0.0478461	0.0660373	0.121797	0.148795	0.300762	0.260794
a98	0.0169339	0.0205821	0.0251395	0.0330535	0.0766832	0.145639	0.38759	0.294379
a85	0.00385884	0.0057843	0.0084957	0.0122834	0.0423767	0.0999356	0.406493	0.420773
a6	0.00162137	0.00197048	0.00254503	0.00341732	0.0143947	0.0522636	0.388746	0.535042
a36	0.00155775	0.00194462	0.00260957	0.00313821	0.0117731	0.045882	0.42495	0.508145
a2	0.00585894	0.00402182	0.00352344	0.00294195	0.00832837	0.0356895	0.359919	0.579717
a57	0.0388818	0.0244667	0.0210461	0.0199378	0.0327447	0.0842242	0.30345	0.475249
a87	0.155448	0.10928	0.105441	0.0984431	0.0862425	0.101524	0.161152	0.18247
a23	0.210077	0.174986	0.19883	0.137045	0.075937	0.0678236	0.0809641	0.0543371
a87	0.128179	0.104347	0.098696	0.0834327	0.0796129	0.103231	0.226912	0.17559
</S>	0.0146273	0.0122936	0.0107903	0.00747822	0.0181864	0.0715563	0.416744	0.448323
