 	j'	ai	abattu	l'	arbre	yanza	dans	la	forêt	</S>
a23	0.353408	0.120241	0.0793113	0.0730663	0.0878368	0.100982	0.0714552	0.0499317	0.0366711	0.0270964
a87	0.401832	0.204302	0.100413	0.0637028	0.0810239	0.0793948	0.0301865	0.0167591	0.0108013	0.0115849
a10	0.270431	0.218404	0.152772	0.097065	0.114046	0.0907956	0.0236467	0.013091	0.00906895	0.0106803
a82	0.245734	0.188495	0.152132	0.103387	0.116996	0.109646	0.0320925	0.0196249	0.0148335	0.0170593
a99	0.429345	0.234329	0.12168	0.0574803	0.0572448	0.0527395	0.0175404	0.0111087	0.0087252	0.00980728
a83	0.378139	0.238283	0.1493	0.0747358	0.0651082	0.0468096	0.0157056	0.0111335	0.00940164	0.0113842
a62	0.206344	0.176883	0.195613	0.131019	0.106849	0.0675821	0.0301791	0.0254251	0.0252887	0.0348174
a12	0.103361	0.158877	0.213479	0.164599	0.154347	0.0936142	0.0369843	0.0269067	0.0212	0.0266316
a96	0.0622614	0.113991	0.179467	0.16631	0.175467	0.115442	0.0571548	0.046405	0.0379147	0.0455867
a18	0.0446531	0.0903719	0.165991	0.170658	0.193791	0.130042	0.0598956	0.0480867	0.0425102	0.0540014
a44	0.033882	0.0623113	0.12576	0.147599	0.187382	0.146454	0.0736056	0.065571	0.0674845	0.0899509
a56	0.0356495	0.0661402	0.136321	0.163965	0.194385	0.153839	0.0674402	0.05423	0.056243	0.0717881
a96	0.0329396	0.0563673	0.11614	0.159434	0.182005	0.163248	0.0906702	0.0688874	0.0625737	0.0677351
a70	0.0209823	0.0326717	0.0739698	0.125285	0.164627	0.172552	0.110397	0.0920531	0.0946399	0.112821
a62	0.0234338	0.0293599	0.061756	0.114131	0.15169	0.160584	0.121063	0.106395	0.105856	0.125731
a12	0.0153323	0.0184733	0.0388802	0.0804288	0.116625	0.136714	0.139055	0.143811	0.143165	0.167516
a94	0.010139	0.0120986	0.0241172	0.0543987	0.0872947	0.115517	0.143554	0.171023	0.178893	0.202965
a70	0.00742354	0.00720579	0.0134088	0.0314203	0.0536817	0.0769835	0.112483	0.174219	0.225824	0.297351
a18	0.0084657	0.00795413	0.0133582	0.0279078	0.047279	0.0703188	0.107269	0.171856	0.226384	0.319208
a56	0.0014096	0.00120207	0.00180139	0.00377749	0.00774547	0.0200881	0.0510911	0.139954	0.32452	0.448411
a94	0.00364672	0.00279602	0.00416568	0.00817134	0.0142371	0.0291249	0.0676542	0.154413	0.272646	0.443145
a11	0.00296693	0.00206849	0.00275156	0.00454025	0.00701098	0.0149078	0.0437658	0.130541	0.295749	0.495698
a54	0.00123066	0.000963781	0.00129053	0.00209459	0.00290359	0.00662621	0.0230545	0.0964324	0.320628	0.544775
a36	0.00177925	0.00122121	0.0016758	0.00256932	0.00344073	0.00613738	0.0168172	0.0746648	0.272584	0.61911
a7	0.00191962	0.00139689	0.00174681	0.00249684	0.00316858	0.00610027	0.0157563	0.0714452	0.309512	0.586457
a4	0.00447861	0.00334335	0.00381861	0.00451664	0.00467054	0.00705261	0.0161845	0.0636214	0.298344	0.59397
a58	0.00485114	0.00315776	0.00369421	0.00468413	0.00485828	0.00738029	0.0182878	0.0745562	0.291463	0.587067
a84	0.00596091	0.00373947	0.00426206	0.00549727	0.00586824	0.00839668	0.0186958	0.0697809	0.30466	0.573138
a82	0.12226	0.0579786	0.0429433	0.0385983	0.0327304	0.0307413	0.0397778	0.0778985	0.207244	0.349828
a87	0.28204	0.167881	0.096815	0.059477	0.0436665	0.0322259	0.0329684	0.050849	0.0942307	0.139847
a23	0.284517	0.19266	0.125855	0.072652	0.0429148	0.0200858	0.0231699	0.0484775	0.0847723	0.104896
a87	0.270994	0.145265	0.089865	0.061366	0.0487883	0.039453	0.0505692	0.0832885	0.0996462	0.110764
a23	0.200502	0.12727	0.0801878	0.0597198	0.0486077	0.0409907	0.0583314	0.0982586	0.13102	0.155113
a87	0.191576	0.145408	0.0964923	0.0813881	0.0680609	0.0593323	0.0705055	0.0878175	0.0879018	0.111518
a23	0.210943	0.128354	0.0763287	0.0627457	0.0544781	0.0532085	0.0746009	0.10314	0.106264	0.129937
a87	0.211281	0.148217	0.0914246	0.0691766	0.0557223	0.053073	0.07338	0.093921	0.0927845	0.11102
a97	0.19614	0.106104	0.066769	0.0551018	0.0543551	0.0597107	0.0828759	0.114359	0.122942	0.141642
</S>	0.242224	0.167892	0.103018	0.0813276	0.0680553	0.0549524	0.0567686	0.069902	0.0743501	0.0815095
