 	papa	est	en	train	de	couper	un	palmier	dattier	mort	</S>
a66	0.205188	0.16919	0.123332	0.0920314	0.0969144	0.0764321	0.0691432	0.0531996	0.0491483	0.0397663	0.0256543
a87	0.375865	0.230045	0.0907708	0.0510801	0.046359	0.0426494	0.0353292	0.0388365	0.04325	0.0245538	0.0212606
a23	0.433139	0.173502	0.0665687	0.0507871	0.0540157	0.0556685	0.0379621	0.0350702	0.0387731	0.0223899	0.032123
a40	0.158664	0.0858899	0.0523493	0.0569851	0.0677937	0.079767	0.0733797	0.0905985	0.121903	0.0916749	0.120995
a36	0.290016	0.136299	0.0688965	0.0583251	0.0664302	0.0763872	0.0699152	0.0630443	0.0689947	0.0498782	0.0518137
a6	0.143954	0.166752	0.137259	0.1006	0.0676531	0.0701004	0.0543114	0.0512686	0.0712177	0.0589806	0.0779038
a7	0.109109	0.141198	0.167206	0.14744	0.106441	0.110493	0.0730589	0.0493762	0.0412817	0.0242876	0.0301095
a90	0.0645265	0.0711965	0.103989	0.13581	0.141836	0.203102	0.122533	0.0631289	0.0269099	0.0317632	0.0352056
a79	0.0582619	0.0686	0.105383	0.133138	0.13726	0.18957	0.109682	0.0593295	0.0338427	0.0480786	0.0568551
a15	0.0685522	0.0719192	0.0979462	0.118105	0.127713	0.181703	0.102917	0.0607539	0.0398568	0.0588678	0.0716655
a7	0.0689325	0.0748343	0.103891	0.115706	0.126822	0.194713	0.108459	0.0592332	0.0348347	0.0521524	0.060422
a2	0.0838607	0.0637851	0.0786394	0.0894348	0.110558	0.159538	0.0987926	0.0665667	0.046855	0.0835961	0.118373
a53	0.0359178	0.0293953	0.0394867	0.0569557	0.101462	0.15353	0.122446	0.100451	0.0947753	0.124613	0.140967
a79	0.0245713	0.0171721	0.0240134	0.0356078	0.0688779	0.117531	0.0970002	0.0851346	0.091637	0.182729	0.255726
a37	0.0174614	0.0133894	0.0208864	0.0360224	0.0687652	0.116903	0.12669	0.123794	0.125797	0.175823	0.174467
a44	0.00897356	0.00697062	0.00965947	0.0144793	0.0335841	0.0631684	0.086484	0.0987698	0.12436	0.239477	0.314073
a4	0.00554025	0.00476288	0.00659183	0.00989227	0.0198208	0.0353779	0.0606353	0.0863408	0.141523	0.296007	0.333508
a57	0.00323222	0.0029432	0.00466557	0.00747779	0.014679	0.0264867	0.0513604	0.085215	0.148807	0.314269	0.340864
a13	0.00192382	0.00160373	0.00234714	0.00433217	0.00853487	0.0155467	0.028515	0.0484315	0.0978498	0.33573	0.455185
a3	0.00219235	0.00200395	0.00260627	0.00415867	0.00609407	0.00975162	0.0208755	0.0487162	0.125176	0.348749	0.429677
a87	0.00892919	0.00748123	0.00748293	0.0108611	0.0152569	0.0237507	0.0526462	0.0768148	0.187134	0.302472	0.307171
</S>	0.081451	0.0699892	0.0603925	0.0648342	0.0687061	0.0793267	0.110152	0.102829	0.127673	0.117216	0.11743
