 	le	maçon	a	encore	élargi	la	porte	de	la	maison	</S>
a66	0.217164	0.166649	0.138488	0.148162	0.152834	0.072482	0.0440853	0.0250306	0.0149439	0.0113137	0.00884713
a87	0.201274	0.162786	0.127764	0.109474	0.107843	0.0774038	0.0578896	0.0442354	0.0358304	0.0390386	0.0364611
a97	0.191351	0.201841	0.134434	0.115489	0.161155	0.0683374	0.0424044	0.0241505	0.0177606	0.0222484	0.0208287
a87	0.144491	0.225876	0.16313	0.136079	0.181795	0.0642663	0.0352685	0.0174686	0.0109758	0.0108938	0.00975551
a23	0.134073	0.196791	0.158673	0.141528	0.177029	0.0783936	0.0473561	0.0243949	0.015115	0.0142718	0.0123744
a87	0.20573	0.22785	0.13036	0.0992412	0.132648	0.0556476	0.0426335	0.0337392	0.024177	0.0252461	0.0227275
a23	0.184657	0.229642	0.134578	0.107087	0.143335	0.0589739	0.0457292	0.0340694	0.0233803	0.0204983	0.0180493
a13	0.223982	0.160214	0.0818205	0.0839276	0.111987	0.0593848	0.0615947	0.0660264	0.0528001	0.0505135	0.0477494
a9	0.18381	0.142756	0.0843691	0.0818418	0.109669	0.0617464	0.0648355	0.0864559	0.0695562	0.0661481	0.048812
a83	0.256185	0.14395	0.0794041	0.0744814	0.0953544	0.0565072	0.0595911	0.0755442	0.0611026	0.0556253	0.0422555
a99	0.228741	0.16144	0.0950221	0.0736998	0.0962091	0.0548446	0.0522105	0.0651063	0.0610988	0.0626574	0.0489707
a62	0.177639	0.14859	0.104358	0.0856133	0.112089	0.0674154	0.0608631	0.0621068	0.0602945	0.0633	0.0577311
a41	0.139101	0.164101	0.130012	0.100968	0.130207	0.07101	0.0580398	0.0497562	0.0485752	0.0546359	0.0535938
a15	0.115679	0.129424	0.121121	0.102892	0.133693	0.0748474	0.056362	0.0559147	0.06015	0.0724595	0.0774581
a69	0.10247	0.142466	0.166472	0.148925	0.168229	0.0910813	0.0512717	0.0336445	0.0299898	0.0316173	0.033833
a94	0.0724055	0.10925	0.147621	0.139448	0.14917	0.0917853	0.0564751	0.045249	0.0500926	0.0639632	0.0745417
a53	0.0669021	0.116337	0.162685	0.139663	0.148484	0.0843563	0.0532267	0.0407696	0.046658	0.0633495	0.0775698
a93	0.0673229	0.1112	0.16904	0.149179	0.147105	0.0873193	0.0562025	0.0388936	0.0427948	0.0569635	0.0739803
a70	0.0473761	0.0872415	0.143571	0.133621	0.120352	0.0956982	0.0741329	0.0539812	0.0611547	0.0780941	0.104777
a62	0.031295	0.0642642	0.126339	0.130434	0.114553	0.10013	0.0833457	0.0647359	0.0717858	0.0920061	0.12111
a96	0.0206335	0.0446256	0.0896088	0.107825	0.0911782	0.0984447	0.0947126	0.0845583	0.100306	0.122285	0.145822
a88	0.0135372	0.0287747	0.0671538	0.0899035	0.0766234	0.086757	0.0907384	0.0924229	0.116139	0.152739	0.185211
a43	0.00718475	0.0134156	0.0312101	0.0493574	0.0461838	0.0643532	0.0889891	0.120902	0.155938	0.206396	0.21607
a25	0.00443555	0.00685271	0.0164865	0.0291489	0.0300279	0.0456289	0.0730231	0.119728	0.167895	0.243306	0.263468
a93	0.00170072	0.00241893	0.00521768	0.0125238	0.0177546	0.0289825	0.0572149	0.105436	0.167888	0.256896	0.343967
a90	0.00184272	0.00251146	0.00614992	0.0127526	0.0122216	0.0240652	0.0432606	0.0987906	0.190479	0.29124	0.316686
a94	0.00318284	0.00478728	0.0121672	0.0229526	0.0215297	0.0384945	0.0605345	0.117434	0.189683	0.263416	0.265819
a7	0.000438026	0.000512241	0.00123666	0.00256051	0.00260887	0.00665341	0.0164255	0.0588393	0.163382	0.310871	0.436473
a37	0.000289889	0.000278384	0.000602459	0.00136395	0.0018684	0.00500883	0.0153314	0.0533152	0.142313	0.273545	0.506084
a70	0.000327264	0.000300136	0.000614943	0.00122162	0.00160195	0.00453701	0.0159265	0.0569535	0.145637	0.254444	0.518437
a11	0.00041288	0.000351976	0.000689833	0.00147489	0.00201282	0.00568835	0.0186242	0.0584164	0.144283	0.261053	0.506992
a62	0.00190586	0.00149785	0.00263533	0.00514538	0.00732969	0.0128621	0.0310471	0.0675172	0.143351	0.233333	0.493375
a83	0.000492349	0.000436344	0.000795976	0.00160275	0.00219432	0.00556315	0.0173288	0.0514237	0.134755	0.253469	0.531939
a9	0.000467203	0.000415915	0.000733055	0.00144684	0.0019236	0.00500889	0.0149857	0.0438001	0.120791	0.241627	0.568801
a99	0.0050477	0.00369542	0.00615655	0.0101988	0.0131143	0.0173175	0.0378503	0.075985	0.15307	0.226484	0.45108
a97	0.0450822	0.0340155	0.0447078	0.051581	0.0535391	0.0382232	0.0443645	0.0628653	0.103613	0.185788	0.336221
a87	0.0649392	0.0567923	0.0698758	0.0816413	0.0793693	0.0589715	0.060827	0.0677457	0.0890373	0.151199	0.219602
a23	0.0511231	0.0551945	0.0807572	0.115152	0.118732	0.0769912	0.0674973	0.0624047	0.0752308	0.125915	0.171002
a87	0.0323147	0.0378808	0.0477992	0.0634123	0.0475268	0.0405951	0.0411017	0.0611062	0.105036	0.204285	0.318942
a23	0.0169955	0.0308215	0.0502789	0.0644942	0.0525116	0.0398612	0.0351858	0.0525503	0.0904994	0.19872	0.368081
</S>	0.0243966	0.0330996	0.0447035	0.0581863	0.0411788	0.0384453	0.0377513	0.0543767	0.0983066	0.199288	0.370268
