 	prête-moi	de	l'	argent	</S>
a10	0.44293	0.179812	0.141659	0.122962	0.112638
a83	0.415034	0.211821	0.158305	0.10582	0.10902
a21	0.651253	0.164589	0.0821702	0.0527075	0.0492804
a96	0.687904	0.17836	0.0710314	0.0352193	0.0274851
a0	0.723377	0.176981	0.0569899	0.0240512	0.0186003
a75	0.474268	0.248775	0.13989	0.0770588	0.0600079
a85	0.47792	0.229792	0.145227	0.0820941	0.0649676
a37	0.330663	0.201431	0.176218	0.147481	0.144206
a75	0.196609	0.206855	0.230074	0.191714	0.174747
a41	0.108979	0.169857	0.229517	0.240167	0.25148
a94	0.046265	0.109587	0.1988	0.29683	0.348518
a15	0.0296425	0.0762933	0.161471	0.315344	0.41725
a94	0.0124467	0.0382259	0.0991616	0.306429	0.543737
a25	0.00836654	0.0260507	0.0733262	0.263529	0.628727
a82	0.00760141	0.023387	0.0664595	0.243296	0.659257
a87	0.015702	0.0253992	0.0567083	0.222844	0.679346
a23	0.10228	0.110109	0.149664	0.272756	0.365191
a87	0.0564398	0.100275	0.159699	0.309901	0.373684
a23	0.0247566	0.0664249	0.141504	0.322079	0.445235
a87	0.0149344	0.0631842	0.146039	0.341307	0.434535
a97	0.0375961	0.133016	0.209999	0.303635	0.315754
</S>	0.062283	0.116753	0.170763	0.281955	0.368246
