 	il	n'	aime	pas	être	battu	au	jeu	</S>
a85	0.322368	0.171873	0.0881827	0.0587047	0.0451699	0.0437347	0.0517216	0.0702069	0.148038
a87	0.26831	0.155326	0.12638	0.0714609	0.037166	0.02777	0.0369117	0.0737387	0.202937
a23	0.294206	0.231461	0.184893	0.0944809	0.0379232	0.0184703	0.0205243	0.0351277	0.0829131
a20	0.28934	0.223243	0.135315	0.0488885	0.018561	0.0161588	0.0310305	0.0632789	0.174184
a44	0.378835	0.250116	0.107533	0.0441387	0.0281575	0.0288564	0.03225	0.0468891	0.0832244
a11	0.344462	0.32945	0.186207	0.0736963	0.0275311	0.0125011	0.00772848	0.00803432	0.0103906
a24	0.279811	0.29443	0.213509	0.109028	0.0461961	0.0194815	0.0114288	0.0118295	0.0142865
a98	0.236939	0.257247	0.211278	0.13299	0.0705949	0.0321992	0.0183447	0.01924	0.0211665
a71	0.212403	0.23511	0.205187	0.140096	0.0829581	0.0426102	0.0246983	0.0268332	0.0301046
a38	0.188516	0.215977	0.209658	0.156512	0.0970842	0.0480104	0.0256916	0.0274998	0.0310506
a20	0.186505	0.212423	0.212561	0.150685	0.0910005	0.0463708	0.028323	0.0328568	0.0392745
a32	0.148205	0.169018	0.156925	0.114855	0.0858537	0.079224	0.0705991	0.0853179	0.0900021
a54	0.129171	0.13846	0.140442	0.123705	0.107445	0.0890978	0.0710125	0.089711	0.110956
a73	0.0909606	0.0969213	0.098991	0.101177	0.0968836	0.102179	0.107018	0.146037	0.159833
a44	0.0571236	0.0585774	0.0669677	0.106695	0.136194	0.134226	0.124802	0.148817	0.166597
a20	0.0469103	0.0446622	0.045406	0.0772824	0.120002	0.14499	0.138517	0.181728	0.200503
a73	0.0207562	0.0191211	0.0174781	0.0339158	0.0670897	0.102924	0.153748	0.240749	0.344218
a84	0.0183379	0.0182115	0.0199294	0.0453825	0.093033	0.130583	0.161058	0.227049	0.286416
a20	0.0215818	0.0220425	0.0206155	0.0300385	0.0486185	0.0893317	0.146283	0.243799	0.377689
a73	0.011364	0.0105735	0.00873764	0.0142496	0.0320046	0.0683742	0.12711	0.274869	0.452717
a76	0.00818564	0.00909255	0.0102186	0.0210465	0.0470462	0.10081	0.17044	0.287062	0.346099
a20	0.0118966	0.0118113	0.0116917	0.0243022	0.0643363	0.141837	0.205624	0.266362	0.262139
a84	0.00964825	0.00900333	0.0088895	0.0171177	0.0411503	0.0945267	0.188588	0.280045	0.35103
a40	0.00720337	0.0067051	0.00595476	0.00809093	0.0135852	0.0335183	0.0952267	0.206611	0.623104
a54	0.0187865	0.0144076	0.0113038	0.0156136	0.0260808	0.0540861	0.127171	0.246697	0.485853
a73	0.00877743	0.00763644	0.00706753	0.0115695	0.0246154	0.0606089	0.145719	0.251344	0.482662
a84	0.0141627	0.0105211	0.00749945	0.00838646	0.0142077	0.0349439	0.104558	0.225058	0.580663
a57	0.00873117	0.0060593	0.0053866	0.00708278	0.00884009	0.0150482	0.0552557	0.1742	0.719396
a87	0.00866666	0.0033361	0.00251918	0.00400732	0.00564395	0.0132209	0.0795161	0.252719	0.630371
</S>	0.00878955	0.00340026	0.00256961	0.00450658	0.007235	0.0173854	0.0852729	0.26029	0.61055
