 	le	chien	aboie	là-bas	dans	la	forêt	parce	qu'	il	a	vu	un	gibier	</S>
a23	0.241657	0.138	0.0765724	0.0532207	0.0520221	0.0525511	0.0597173	0.0599057	0.0588865	0.0518755	0.0467737	0.0321848	0.027837	0.0252248	0.0235707
a99	0.418694	0.147595	0.0403548	0.0376307	0.0432653	0.0488515	0.0501754	0.0331422	0.026429	0.0212165	0.0246837	0.0249943	0.028567	0.0277898	0.0266114
a54	0.162077	0.140119	0.0864262	0.0763761	0.0713204	0.0575506	0.050804	0.0328119	0.0260432	0.0251695	0.0313777	0.0407769	0.0537572	0.0712088	0.0741808
a6	0.423169	0.199763	0.140769	0.0790639	0.0451188	0.0231114	0.0193174	0.0104518	0.00741055	0.00788618	0.00906951	0.00775607	0.00858241	0.00967759	0.00885433
a37	0.211825	0.185252	0.187803	0.138588	0.0938754	0.050618	0.0369097	0.0179	0.011086	0.0110105	0.0120661	0.00956373	0.0102771	0.0118733	0.011352
a5	0.146568	0.157868	0.14375	0.114146	0.100055	0.0761689	0.0781792	0.039513	0.0269131	0.0232179	0.0221211	0.0155698	0.0161475	0.0194802	0.0203021
a61	0.131238	0.131281	0.138129	0.121107	0.109062	0.085652	0.0917458	0.0474707	0.0322916	0.0249414	0.0215503	0.0142448	0.0143818	0.0175706	0.019334
a85	0.115646	0.129908	0.145492	0.115467	0.108781	0.0933749	0.0905175	0.0502997	0.0337519	0.0249966	0.020771	0.0150853	0.0150947	0.0188665	0.0219478
a47	0.075187	0.107474	0.13752	0.116934	0.104643	0.0848418	0.083844	0.0619298	0.0473205	0.0368263	0.0295611	0.0239106	0.0251345	0.0303296	0.0345448
a44	0.0798618	0.11429	0.136163	0.104346	0.105871	0.0891646	0.0861268	0.0551735	0.0398498	0.0313708	0.0271091	0.0249492	0.026408	0.0346014	0.0447149
a90	0.0641907	0.0923785	0.108936	0.0823632	0.108932	0.111963	0.1016	0.0684606	0.0486563	0.0407743	0.0336244	0.0303	0.029775	0.035725	0.0423209
