 	la	nuit	nos	pères	nous	récitent	des	contes	</S>
a66	0.102272	0.125711	0.254935	0.396195	0.0863416	0.0234933	0.00566569	0.00287799	0.00250805
a87	0.447972	0.263727	0.149528	0.101556	0.0148675	0.00869286	0.00414513	0.00340056	0.00611073
a23	0.421662	0.309591	0.150695	0.0753038	0.0121119	0.00735325	0.00506899	0.00617242	0.0120412
a99	0.408256	0.294997	0.131383	0.0484676	0.0183716	0.015178	0.0153453	0.021868	0.0461337
a83	0.402461	0.22956	0.131352	0.0720093	0.0359221	0.0250517	0.023785	0.0280169	0.0518417
a54	0.257956	0.236787	0.234226	0.151446	0.0458935	0.0307309	0.0174542	0.0124845	0.0130218
a36	0.210611	0.20077	0.227293	0.21434	0.0833773	0.0344865	0.0127899	0.00797287	0.00835988
a7	0.258649	0.206528	0.197884	0.163753	0.0733365	0.0438662	0.030691	0.0163566	0.00893415
a90	0.265494	0.163223	0.140935	0.125225	0.0847741	0.0707269	0.073085	0.0498796	0.026658
a92	0.252063	0.174734	0.146486	0.154538	0.11042	0.0694374	0.0505868	0.0271897	0.0145451
a85	0.126319	0.104491	0.121133	0.154424	0.2114	0.138412	0.078749	0.042271	0.0228005
a6	0.0807113	0.0733542	0.104453	0.128036	0.245011	0.180871	0.093562	0.0553211	0.0386816
a85	0.0954728	0.0967711	0.132337	0.150664	0.208816	0.125589	0.088197	0.0586083	0.0435441
a47	0.0543856	0.0715661	0.1322	0.174105	0.245142	0.145966	0.0811706	0.0531316	0.0423331
a98	0.0303875	0.0506738	0.128042	0.225926	0.241676	0.139201	0.0877675	0.0568291	0.0394963
a85	0.0188291	0.0292756	0.0825583	0.16499	0.24634	0.179561	0.122505	0.087951	0.06799
a6	0.012128	0.0208549	0.0717945	0.176307	0.249235	0.169274	0.120895	0.0959946	0.0835172
a36	0.00837074	0.0120886	0.0455215	0.140345	0.285149	0.202675	0.130557	0.0964359	0.0788582
a75	0.0034327	0.00386409	0.00846871	0.0261898	0.0940354	0.167461	0.169211	0.233284	0.294053
a85	0.00370065	0.0033344	0.00669777	0.0210341	0.0886891	0.170364	0.171795	0.242035	0.29235
a6	0.00302256	0.00301148	0.00680581	0.0180585	0.064581	0.154931	0.182131	0.260225	0.307234
a43	0.00103031	0.00079537	0.00126394	0.00296751	0.0142019	0.0679427	0.128839	0.322472	0.460487
a88	0.000748613	0.00046244	0.000434393	0.000825347	0.00413543	0.0382601	0.0974064	0.273994	0.583734
a9	0.000843991	0.000482477	0.000417273	0.000743994	0.002404	0.0199901	0.0555866	0.182867	0.736665
a0	0.0129813	0.0104716	0.0107571	0.0187084	0.0308273	0.0485898	0.073537	0.182352	0.611775
a47	0.00664605	0.00445832	0.00360995	0.00599709	0.0122202	0.0362807	0.0691249	0.183791	0.677872
a88	0.00361493	0.0024197	0.00221335	0.00406996	0.0113706	0.0377901	0.0846271	0.192368	0.661527
a71	0.000188475	0.000138262	0.000166381	0.000418501	0.00249072	0.0169584	0.0496641	0.187912	0.742064
a9	0.00224694	0.00208751	0.00227398	0.00428796	0.0132243	0.0442635	0.083834	0.197996	0.649786
a87	0.0414835	0.036642	0.0355334	0.0474598	0.0637449	0.104737	0.12629	0.200189	0.34392
a23	0.212161	0.208233	0.173488	0.155937	0.0569234	0.0485693	0.0394837	0.0460141	0.05919
a99	0.0809126	0.0417207	0.023315	0.0236048	0.0226046	0.0454992	0.0775969	0.199785	0.484961
a97	0.0287837	0.0163905	0.0106984	0.0113926	0.0139762	0.0335141	0.0626854	0.219038	0.603521
</S>	0.0113322	0.00795776	0.00650611	0.00987924	0.0177414	0.0474184	0.0935733	0.227736	0.577856
