 	cet	enfant	sait	vider	le	silure	</S>
a66	0.466766	0.26413	0.130195	0.060046	0.0329395	0.0242967	0.021628
a87	0.561979	0.207364	0.0760477	0.0516779	0.0387142	0.033205	0.0310122
a23	0.575775	0.240594	0.0800391	0.0376977	0.0168474	0.0179357	0.0311105
a87	0.506795	0.231011	0.0982621	0.0469344	0.0350724	0.0302843	0.0516403
a10	0.486969	0.221666	0.113061	0.0437042	0.0387647	0.0415874	0.0542467
a87	0.377465	0.209376	0.126073	0.0645343	0.0664779	0.0672087	0.0888658
a23	0.430169	0.20185	0.115815	0.0624537	0.0619615	0.0559879	0.0717631
a53	0.293323	0.168075	0.120868	0.0996056	0.0999469	0.0843056	0.133877
a15	0.37355	0.303448	0.161255	0.0746981	0.0386726	0.017824	0.0305527
a37	0.191775	0.228195	0.236117	0.154834	0.0889723	0.0405605	0.059548
a54	0.122324	0.18022	0.238998	0.153662	0.113477	0.0822545	0.109065
a79	0.107187	0.166511	0.224504	0.175865	0.120525	0.0822321	0.123175
a44	0.141692	0.191781	0.214295	0.139427	0.110147	0.0803223	0.122335
a53	0.101536	0.121253	0.152105	0.125769	0.130357	0.151817	0.217163
a90	0.0862834	0.10987	0.149106	0.146546	0.174661	0.154068	0.179467
a79	0.0672083	0.0939318	0.152287	0.16509	0.197747	0.165846	0.157891
a54	0.0483911	0.0672692	0.123813	0.153418	0.209538	0.193964	0.203607
a47	0.0372739	0.0565527	0.119868	0.159964	0.218779	0.217049	0.190514
a41	0.0290613	0.0411316	0.0896134	0.148132	0.20293	0.202486	0.286646
a12	0.0461454	0.0583892	0.10841	0.165046	0.194293	0.185167	0.242549
a62	0.0210428	0.0265207	0.0539414	0.105161	0.194788	0.25292	0.345626
a56	0.0132176	0.0166061	0.0384374	0.0886465	0.189298	0.297719	0.356075
a44	0.00813673	0.0103326	0.0239255	0.0650849	0.186304	0.307511	0.398705
a90	0.00721647	0.0090327	0.0190847	0.045045	0.16588	0.335427	0.418313
a15	0.00678686	0.00818225	0.0162952	0.0470167	0.155782	0.320068	0.445869
a69	0.00331697	0.00469536	0.0103042	0.0357567	0.148392	0.326615	0.470919
a15	0.00215278	0.00254248	0.00497481	0.0209511	0.105174	0.311219	0.552985
a37	0.00109262	0.00131644	0.00255709	0.015095	0.0998006	0.304224	0.575914
a70	0.0018451	0.00212191	0.00315489	0.0120213	0.0751258	0.290471	0.61526
a98	0.00203207	0.00261018	0.00361867	0.0106096	0.0505645	0.282999	0.647566
a79	0.000498109	0.000635418	0.00109501	0.00531224	0.0425772	0.274731	0.675151
a44	0.000427308	0.000523436	0.000928717	0.00524651	0.0485497	0.285483	0.658841
a70	0.000480245	0.000657365	0.00110468	0.00420846	0.0305794	0.232814	0.730156
a53	0.000401778	0.000603369	0.000959489	0.00362076	0.0222519	0.212132	0.76003
a44	0.000471693	0.000682468	0.001162	0.00350595	0.0216035	0.207916	0.764659
a27	0.000466242	0.000686693	0.00114539	0.00473337	0.0275867	0.204144	0.761238
a82	0.0089526	0.0101708	0.0120757	0.0445315	0.115037	0.32129	0.487943
a87	0.138161	0.0765153	0.049897	0.0810571	0.110179	0.223777	0.320414
a85	0.326716	0.155303	0.0667586	0.0662742	0.0666621	0.126889	0.191398
a87	0.24891	0.130516	0.0604911	0.0768892	0.0985185	0.135813	0.248862
a30	0.0489383	0.0328426	0.0221458	0.0462226	0.107782	0.235151	0.506918
a87	0.1294	0.0733012	0.0438928	0.0716745	0.146326	0.189028	0.346378
a23	0.114823	0.0677803	0.0387938	0.0777738	0.138446	0.179501	0.382882
a87	0.156962	0.0895404	0.0447068	0.0846255	0.159222	0.152864	0.312078
</S>	0.0749624	0.0451132	0.0296553	0.0709013	0.153162	0.184615	0.441591
