 	son	père	est	mécanicien	</S>
a66	0.411342	0.259209	0.159257	0.114892	0.0552993
a87	0.489574	0.270552	0.141601	0.0594694	0.0388035
a23	0.589107	0.17741	0.0741466	0.0654471	0.0938888
a83	0.45091	0.162459	0.124856	0.124599	0.137175
a62	0.372725	0.213807	0.122668	0.141562	0.149238
a5	0.361004	0.304274	0.169523	0.113271	0.051928
a79	0.273024	0.273023	0.191019	0.168395	0.0945386
a6	0.161251	0.253929	0.269709	0.181585	0.133526
a36	0.189802	0.293582	0.280203	0.127845	0.108568
a85	0.192762	0.225374	0.244179	0.154463	0.183222
a6	0.182426	0.244328	0.265515	0.138344	0.169386
a92	0.173523	0.205409	0.240728	0.166347	0.213992
a56	0.150717	0.159604	0.205389	0.196152	0.288139
a70	0.132185	0.120438	0.166471	0.217425	0.36348
a93	0.0423967	0.0427246	0.076887	0.212657	0.625335
a70	0.047429	0.0434401	0.0704946	0.214859	0.623777
a62	0.00672981	0.00664402	0.0155099	0.109765	0.861351
a88	0.00341945	0.00479994	0.0116741	0.0975501	0.882556
a75	0.00118752	0.0016703	0.00465661	0.0613899	0.931096
a56	0.000732856	0.00105175	0.00384246	0.0317201	0.962653
a96	0.00103003	0.00131665	0.00367091	0.0325918	0.96139
a62	0.00113515	0.00162095	0.00449713	0.0504863	0.942261
a88	0.00279026	0.00382777	0.00760575	0.0836935	0.902083
a9	0.00278068	0.00384566	0.0082905	0.0780975	0.906986
a99	0.0362061	0.0310795	0.0316076	0.105786	0.795321
a87	0.14209	0.0795946	0.0674116	0.13336	0.577544
</S>	0.329923	0.143386	0.0897237	0.115164	0.321804
