 	il	a	une	barbe	rare	elle	ne	pousse	pas	vite	</S>
a23	0.23292	0.142935	0.0974654	0.119731	0.124859	0.0966398	0.0695979	0.0336925	0.0271089	0.0272659	0.0277848
a30	0.257539	0.218448	0.14755	0.126093	0.0939816	0.0529011	0.031997	0.013408	0.0137624	0.0181527	0.0261679
a90	0.225376	0.209348	0.148198	0.0829388	0.0644328	0.0416051	0.0289263	0.0186876	0.0298772	0.0532407	0.0973694
a98	0.401143	0.229743	0.134445	0.0637494	0.027336	0.0184289	0.020035	0.0181708	0.023057	0.0265488	0.0373431
a92	0.344628	0.235971	0.153744	0.0749459	0.0478423	0.0214645	0.0183353	0.0155399	0.0219261	0.0273108	0.0382917
a37	0.272464	0.226317	0.188431	0.107441	0.0809008	0.0340313	0.0233602	0.0141541	0.0136971	0.0158524	0.0233509
a47	0.176056	0.152926	0.15048	0.174897	0.16302	0.0533363	0.0348263	0.0220907	0.0206317	0.0224211	0.029315
a62	0.141947	0.129486	0.138724	0.192364	0.200738	0.0602997	0.0368627	0.0227418	0.0212457	0.0238321	0.0317584
a83	0.136359	0.127811	0.141239	0.189957	0.242126	0.0631404	0.0290795	0.0160239	0.0149015	0.016907	0.0224563
a21	0.104946	0.106557	0.119637	0.190104	0.253341	0.0922031	0.043725	0.0209391	0.0187384	0.0209718	0.028838
a62	0.126739	0.127869	0.148062	0.184232	0.210859	0.0795152	0.041772	0.0235331	0.0168054	0.0181669	0.0224458
a88	0.0603525	0.0657354	0.0825564	0.153063	0.292396	0.157375	0.0735127	0.0326425	0.024176	0.0262552	0.0319352
a71	0.0412365	0.0439141	0.0506152	0.10098	0.239438	0.21657	0.125684	0.0525854	0.0358938	0.0405685	0.0525149
a75	0.0281905	0.0306582	0.0329869	0.0609069	0.12042	0.17731	0.142093	0.0885575	0.0740527	0.102838	0.141987
a47	0.039304	0.0350618	0.0391016	0.0466112	0.0611846	0.0739664	0.0819056	0.116972	0.139756	0.173524	0.192612
a36	0.0458539	0.0404481	0.0429903	0.0494512	0.0675618	0.107228	0.119025	0.121785	0.108256	0.132548	0.164853
a2	0.0408944	0.0353333	0.0358219	0.051154	0.0690117	0.0913259	0.0915949	0.0887312	0.0916815	0.151752	0.252699
a57	0.0197863	0.0289023	0.0318862	0.0435125	0.0470512	0.0467117	0.0572916	0.0745842	0.10223	0.19533	0.352713
a87	0.0226177	0.0292259	0.0346746	0.0624327	0.0802661	0.103982	0.12603	0.106718	0.0888413	0.126928	0.218284
a23	0.0403125	0.0364347	0.0296637	0.0545881	0.0876292	0.118369	0.141783	0.102827	0.0942278	0.1093	0.184865
a97	0.016192	0.0173087	0.0153403	0.0267686	0.0428514	0.0611907	0.0759859	0.0718853	0.126542	0.188325	0.35761
a99	0.00642042	0.00822716	0.00821995	0.0215146	0.0346573	0.0522756	0.0832438	0.111962	0.161993	0.197885	0.313602
a50	0.012863	0.0155982	0.0128164	0.0321622	0.0445137	0.0680965	0.119558	0.135424	0.15904	0.166525	0.233402
a62	0.00140599	0.00201773	0.00191061	0.00411627	0.00782709	0.0156925	0.0326882	0.0680629	0.143343	0.25842	0.464515
a21	0.00440531	0.00530666	0.00559607	0.0106876	0.0186178	0.0372808	0.0684844	0.107543	0.163948	0.231458	0.346672
a18	0.0100442	0.0108002	0.0121572	0.0206129	0.029823	0.0458905	0.0775928	0.108543	0.157805	0.218032	0.308699
a75	0.00183687	0.0025334	0.00289558	0.00841227	0.0156246	0.0229328	0.0455638	0.0997866	0.19896	0.28359	0.317865
a25	0.00352721	0.00339999	0.00438352	0.00649715	0.00856269	0.0118368	0.0255362	0.0674668	0.136727	0.262168	0.469895
a56	0.00222319	0.00245155	0.00361652	0.00583854	0.00772929	0.0107396	0.0258762	0.0820138	0.183062	0.291088	0.385361
a93	0.00136142	0.00141832	0.00180636	0.00305545	0.00448835	0.00847234	0.0250952	0.0842001	0.190462	0.296639	0.383
a70	0.000938291	0.0010102	0.00124182	0.00208911	0.00273439	0.00497326	0.0139449	0.0532485	0.154144	0.310171	0.455505
a99	0.000470303	0.000528138	0.000606038	0.00106019	0.00146192	0.0028886	0.00794743	0.0348227	0.125192	0.305002	0.520021
a62	0.0002079	0.00024111	0.000269564	0.000581884	0.000941408	0.00204583	0.00556836	0.0252606	0.0998686	0.294313	0.570702
a21	0.000443631	0.000543202	0.000576009	0.00116132	0.00182714	0.0037217	0.0083888	0.0290314	0.103907	0.292939	0.557462
a41	0.00184173	0.00226932	0.00247958	0.0041065	0.00518744	0.00838385	0.0159273	0.0414048	0.118147	0.288871	0.511381
a36	0.000713426	0.000905463	0.000949338	0.00187529	0.00297739	0.00487787	0.00842895	0.0237857	0.0818142	0.27769	0.595982
a2	0.00092344	0.00108708	0.000974207	0.00142951	0.00184586	0.0023131	0.00388739	0.0145686	0.0724173	0.301602	0.598952
a57	0.0450068	0.0403883	0.0348106	0.0325408	0.0311556	0.0410662	0.0529018	0.0799908	0.129218	0.216746	0.296175
a87	0.0860459	0.0661846	0.0436432	0.0359406	0.0370185	0.052193	0.0666595	0.0908357	0.13727	0.176899	0.20731
a23	0.128758	0.109725	0.0712355	0.0547008	0.0608426	0.0739761	0.0776735	0.0750669	0.0983196	0.117568	0.132135
a87	0.0719881	0.0504671	0.0286835	0.016893	0.0214026	0.0327292	0.046687	0.0658099	0.131779	0.205497	0.328064
</S>	0.00856324	0.0060237	0.00474127	0.00502663	0.00950046	0.0190222	0.0268395	0.0400322	0.103639	0.258023	0.518589
