 	c'	est	une	maladie	bénigne	</S>
a85	0.322712	0.190915	0.13171	0.116949	0.113254	0.124461
a87	0.150342	0.132127	0.123822	0.136428	0.141682	0.3156
a23	0.308634	0.260998	0.20424	0.110865	0.0465351	0.0687277
a79	0.266796	0.228865	0.18155	0.122369	0.0675586	0.132862
a18	0.322577	0.185451	0.130676	0.0824992	0.0893593	0.189436
a38	0.379913	0.270877	0.230686	0.0732473	0.0249829	0.0202938
a24	0.273244	0.257117	0.267207	0.110889	0.044244	0.0472992
a94	0.264952	0.241448	0.25163	0.13768	0.0613278	0.0429615
a38	0.253045	0.237784	0.244921	0.144191	0.0709931	0.0490654
a20	0.21015	0.215949	0.249231	0.174195	0.0928762	0.0575989
a41	0.19245	0.197569	0.228485	0.19	0.11611	0.0753867
a11	0.182761	0.164597	0.182368	0.183839	0.168843	0.117594
a75	0.118129	0.101946	0.121093	0.176899	0.247136	0.234798
a41	0.0795018	0.0703956	0.0890971	0.186813	0.302733	0.271459
a27	0.0535887	0.0492248	0.0639014	0.144178	0.326723	0.362385
a54	0.0167601	0.0145415	0.016703	0.0587316	0.265519	0.627744
a73	0.0252066	0.0202414	0.0211204	0.0550722	0.259911	0.618448
a84	0.0120168	0.0091207	0.0101139	0.0337066	0.225408	0.709634
a57	0.00556647	0.00458691	0.00507998	0.0151702	0.106278	0.863318
a87	0.0338181	0.0236857	0.0195226	0.0409084	0.125082	0.756983
</S>	0.0429432	0.0310843	0.0246667	0.0645299	0.235338	0.601438
