 	hier	nous	avons	mangé	du	poisson	salé	</S>
a84	0.186865	0.151793	0.197663	0.257644	0.129217	0.0490278	0.0172204	0.0105702
a87	0.347524	0.221118	0.151537	0.101973	0.0740652	0.0425598	0.0279279	0.0332945
a23	0.286776	0.225975	0.174506	0.112294	0.0787414	0.0476627	0.0308006	0.0432433
a54	0.249294	0.259125	0.190389	0.100493	0.058841	0.0342181	0.0328956	0.0747442
a15	0.238975	0.165327	0.0898931	0.0856372	0.0910917	0.106149	0.112298	0.11063
a7	0.16149	0.157062	0.105433	0.10301	0.127185	0.16013	0.115687	0.0700031
a15	0.129247	0.194612	0.154722	0.137788	0.118143	0.122216	0.0783385	0.0649339
a79	0.105275	0.150153	0.156319	0.15218	0.110458	0.107738	0.106071	0.111806
a56	0.114672	0.134808	0.130577	0.139333	0.108981	0.118312	0.12105	0.132266
a0	0.181141	0.19658	0.199093	0.176823	0.10796	0.0630412	0.0393947	0.0359671
a21	0.133347	0.146924	0.191054	0.193809	0.136003	0.0771661	0.0556031	0.066094
a61	0.121142	0.109403	0.149171	0.150893	0.153565	0.146428	0.09623	0.0731686
a75	0.0761893	0.0776533	0.128513	0.146699	0.160392	0.157271	0.126303	0.126981
a85	0.0385479	0.0350885	0.0552013	0.061364	0.0811378	0.148217	0.277743	0.3027
a47	0.0226455	0.0166284	0.0251426	0.030852	0.0500217	0.140103	0.319049	0.395558
a36	0.0109665	0.00842554	0.0117058	0.0153706	0.030277	0.101038	0.275666	0.54655
a47	0.013898	0.0123398	0.0135866	0.0140429	0.0165283	0.0495132	0.241624	0.638467
a15	0.00667335	0.00479276	0.00504853	0.00567767	0.00926309	0.0466647	0.279602	0.642278
a7	0.00378861	0.00254159	0.00218109	0.00258197	0.00478902	0.0342099	0.258688	0.69122
a84	0.00638102	0.00418938	0.00326177	0.00258175	0.00378467	0.0211105	0.181357	0.777334
a57	0.0385808	0.0212795	0.0170314	0.0164816	0.0238209	0.0538259	0.207962	0.621017
a87	0.162882	0.0810019	0.0644908	0.0650102	0.061276	0.0760494	0.164353	0.324937
a23	0.310148	0.159867	0.124149	0.107323	0.0861305	0.0634697	0.0675842	0.0813284
a87	0.153755	0.0913053	0.0591407	0.0445067	0.044457	0.0823319	0.245582	0.278922
</S>	0.0197139	0.0111847	0.00712957	0.00636812	0.0133026	0.0628527	0.299891	0.579557
