 	cette	danse	manque	de	danseurs	doués	</S>
a15	0.429876	0.294438	0.135544	0.055772	0.0371317	0.0276735	0.0195647
a66	0.601213	0.217781	0.0557253	0.0385959	0.0337118	0.0265825	0.0263912
a87	0.453227	0.321807	0.117551	0.045951	0.0212083	0.0195304	0.0207252
a23	0.500489	0.335378	0.101395	0.0294665	0.0136619	0.00977704	0.00983232
a79	0.521604	0.27847	0.0833836	0.0246006	0.0179999	0.0279634	0.0459792
a20	0.401304	0.234491	0.135061	0.0521139	0.0378085	0.0607351	0.0784873
a7	0.287281	0.250712	0.249975	0.119836	0.051593	0.0253929	0.0152098
a69	0.125469	0.171593	0.298385	0.246663	0.0957427	0.0422215	0.0199257
a53	0.0629836	0.124888	0.258988	0.324168	0.139913	0.063708	0.025352
a93	0.0668905	0.126969	0.257557	0.266198	0.123618	0.104376	0.0543909
a70	0.0679912	0.146168	0.278962	0.229987	0.107976	0.108723	0.0601932
a94	0.0979532	0.119897	0.187794	0.220692	0.160932	0.139756	0.0729754
a18	0.0625981	0.0759792	0.131171	0.204025	0.186149	0.216882	0.123196
a54	0.0378093	0.0421956	0.0602715	0.11587	0.187682	0.339728	0.216444
a6	0.0184514	0.0199727	0.0304285	0.0784025	0.158012	0.415976	0.278757
a79	0.0213998	0.0193829	0.0261897	0.0822121	0.177891	0.387296	0.285629
a7	0.0339597	0.0248841	0.0255179	0.058989	0.145007	0.412383	0.299259
a84	0.0125679	0.00893458	0.00796919	0.0292565	0.107271	0.451309	0.382692
a54	0.00792042	0.00564029	0.00534546	0.0122798	0.0500881	0.276454	0.642272
a92	0.00133945	0.000984993	0.000940915	0.00433092	0.0270562	0.31706	0.648287
a6	0.000509534	0.000357785	0.000318874	0.00213423	0.0197885	0.312731	0.66416
a37	0.000386525	0.000313243	0.000375652	0.00244121	0.0183699	0.245181	0.732933
a5	0.000807031	0.000656369	0.0010185	0.00555772	0.0347472	0.230783	0.72643
a12	0.000430114	0.000326626	0.000411194	0.00267986	0.0236913	0.232486	0.739975
a18	0.000307593	0.000235299	0.000284044	0.00127015	0.012606	0.18174	0.803557
a25	0.00146077	0.00111641	0.00177409	0.00793289	0.0440985	0.267464	0.676153
a82	0.00318027	0.00283593	0.00455042	0.0145957	0.0621916	0.294466	0.61818
a87	0.279017	0.107891	0.0508521	0.05921	0.0940219	0.202201	0.206807
a23	0.476419	0.241971	0.0737989	0.0420356	0.0346892	0.0655071	0.06558
a87	0.174696	0.132684	0.0494476	0.0732791	0.117997	0.230449	0.221446
</S>	0.0162467	0.0142862	0.0074599	0.0212557	0.0680989	0.386031	0.486622
