 	voilà	le	terrier	du	blaireau	</S>
a66	0.582723	0.193596	0.0650678	0.0490814	0.0474587	0.0620734
a87	0.549879	0.213301	0.10451	0.0575064	0.03572	0.039084
a23	0.506255	0.282537	0.085118	0.0402848	0.0426833	0.0431216
a53	0.453253	0.24697	0.110308	0.0553041	0.0595394	0.0746247
a69	0.680502	0.204899	0.0607037	0.0236871	0.0170188	0.0131897
a58	0.470445	0.279484	0.157509	0.0535724	0.026398	0.0125915
a53	0.309797	0.281641	0.204053	0.101501	0.0652911	0.0377176
a90	0.181901	0.185473	0.180248	0.156372	0.167409	0.128596
a15	0.152085	0.152797	0.16929	0.166478	0.204466	0.154884
a20	0.112309	0.144604	0.21183	0.216371	0.191513	0.123373
a69	0.0588761	0.0693853	0.111926	0.189873	0.309379	0.26056
a90	0.0243509	0.0312746	0.0694003	0.161102	0.349095	0.364777
a44	0.013822	0.0209172	0.0532981	0.153283	0.340139	0.41854
a13	0.00314182	0.00596255	0.0221197	0.0863312	0.299743	0.582702
a9	0.00157683	0.0031154	0.00981829	0.036101	0.206003	0.743385
a3	0.0312421	0.0222038	0.0197643	0.0370586	0.168747	0.720984
a97	0.184694	0.113743	0.0606052	0.0630147	0.149579	0.428364
a87	0.0904175	0.0808932	0.0740037	0.0902817	0.232507	0.431897
a10	0.0355263	0.0312465	0.0309412	0.0527115	0.243913	0.605661
a87	0.0246952	0.0254136	0.0357787	0.0696748	0.302154	0.542283
a97	0.0233832	0.0266777	0.041985	0.0818787	0.299887	0.526188
a99	0.0404066	0.0446344	0.06146	0.111009	0.327357	0.415132
a97	0.0273877	0.036776	0.0820533	0.142394	0.355413	0.355977
</S>	0.0397042	0.0425649	0.0885686	0.14162	0.345527	0.342016
