 	j'	ai	eu	une	machette	toute	neuve	</S>
a66	0.433855	0.177635	0.14828	0.0990786	0.0601997	0.0377106	0.0268042	0.0164379
a87	0.521549	0.215774	0.105007	0.046856	0.0259437	0.0247626	0.0277624	0.0323449
a23	0.460296	0.287895	0.120181	0.0446028	0.0196063	0.0145484	0.0189382	0.0339321
a3	0.495258	0.257037	0.104615	0.0391003	0.015631	0.0142528	0.0244474	0.049658
a38	0.546744	0.23455	0.0955849	0.0358265	0.0152614	0.0144342	0.0213064	0.0362929
a50	0.515487	0.216006	0.112798	0.0384806	0.0194428	0.0203994	0.0315237	0.0458634
a88	0.386109	0.254173	0.168619	0.0721489	0.0343813	0.0218089	0.0299077	0.0328515
a62	0.239163	0.241848	0.201628	0.125666	0.0605271	0.038895	0.0447084	0.0475643
a90	0.155452	0.208773	0.227953	0.17748	0.0846524	0.0447242	0.0462309	0.0547334
a69	0.0981666	0.162805	0.197642	0.219229	0.12784	0.0668919	0.0647423	0.0626837
a58	0.0405222	0.0828508	0.125589	0.199451	0.178929	0.126362	0.134638	0.111659
a15	0.035115	0.0625341	0.0977955	0.142609	0.1299	0.123179	0.214351	0.194517
a98	0.0174826	0.0323396	0.0608674	0.0980976	0.14156	0.15511	0.245278	0.249265
a5	0.0252384	0.0421238	0.076931	0.132231	0.215631	0.19812	0.177333	0.132392
a37	0.023071	0.0323201	0.0671063	0.109267	0.181958	0.209752	0.206059	0.170467
a79	0.00808311	0.0108945	0.0262614	0.0614563	0.140738	0.221212	0.267828	0.263527
a7	0.00714678	0.0115502	0.0304975	0.0694412	0.146248	0.208068	0.250488	0.27656
a0	0.000827144	0.000895529	0.0016073	0.00451131	0.0211266	0.0761195	0.283855	0.611057
a94	0.00254628	0.00230335	0.00349812	0.00906105	0.0371791	0.131295	0.286536	0.527581
a4	0.00186914	0.00138296	0.0014871	0.00316184	0.0172754	0.0979058	0.315132	0.561785
a57	0.000917286	0.000731378	0.000895845	0.00212758	0.0116435	0.0757715	0.333981	0.573932
a82	0.00314749	0.00237206	0.0020795	0.00400697	0.0170616	0.0904792	0.313124	0.567729
a87	0.177092	0.0866741	0.0495715	0.0430909	0.0606432	0.0976422	0.178678	0.306608
a23	0.313953	0.224762	0.12963	0.0633228	0.0499678	0.0544822	0.0766024	0.0872795
a97	0.0836844	0.0473822	0.0200171	0.0157062	0.032279	0.0820763	0.261491	0.457364
</S>	0.017396	0.0109345	0.0061128	0.008288	0.0263611	0.0862533	0.288846	0.555809
