 	la	cola	est	un	peu	amère	</S>
a15	0.358189	0.209611	0.130494	0.117575	0.0991999	0.0539612	0.0309696
a66	0.409397	0.148823	0.119931	0.11152	0.110514	0.0642164	0.0355985
a82	0.439217	0.17043	0.102141	0.0831669	0.0933892	0.0597099	0.0519463
a87	0.456925	0.253572	0.110086	0.0703719	0.0525404	0.0317992	0.0247062
a97	0.472437	0.254777	0.105434	0.0568897	0.0456851	0.0384537	0.0263235
a87	0.457545	0.248638	0.111206	0.0615163	0.0462776	0.046085	0.0287316
a97	0.435144	0.24946	0.115225	0.065553	0.0528377	0.0529695	0.0288113
a87	0.353785	0.224803	0.135906	0.098393	0.0776506	0.0692796	0.0401824
a97	0.382331	0.227922	0.133989	0.0888629	0.0701957	0.0648431	0.0318564
a87	0.32489	0.211314	0.148048	0.110647	0.0839305	0.0758925	0.0452786
a23	0.355744	0.212728	0.136083	0.0974946	0.0794103	0.0771103	0.0414294
a99	0.373896	0.202003	0.146068	0.111215	0.0772189	0.0529809	0.0366174
a62	0.215766	0.168357	0.163138	0.14785	0.118989	0.0927022	0.0931989
a96	0.138612	0.176437	0.199486	0.18688	0.150362	0.0657098	0.0825133
a24	0.108358	0.173208	0.198957	0.191338	0.149407	0.0756641	0.103068
a62	0.108409	0.185305	0.207712	0.184067	0.125272	0.06888	0.120355
a98	0.101388	0.187229	0.209583	0.188344	0.125295	0.0696869	0.118474
a61	0.0911871	0.163189	0.201236	0.202035	0.14668	0.0804072	0.115266
a75	0.0726901	0.110248	0.15169	0.183653	0.162649	0.118102	0.200968
a98	0.0537114	0.0751755	0.117667	0.167386	0.187354	0.156712	0.241995
a92	0.0483905	0.0602397	0.119484	0.181985	0.194735	0.154154	0.241012
a56	0.0466979	0.0514818	0.0965806	0.162326	0.198777	0.171165	0.272972
a12	0.0280015	0.0283406	0.058934	0.131198	0.212725	0.209977	0.330824
a34	0.0117018	0.0106643	0.021041	0.0526461	0.121215	0.237745	0.544986
a56	0.00521445	0.00486905	0.0108499	0.0297708	0.0856344	0.252477	0.611184
a34	0.0025175	0.00220716	0.00529922	0.0145737	0.0486882	0.219453	0.707262
a93	0.00139175	0.00121026	0.0030961	0.00825403	0.0311513	0.186793	0.768104
a70	0.000948478	0.000825292	0.00237506	0.00641763	0.0262253	0.184177	0.779031
a99	0.000487638	0.000414871	0.0013477	0.00402225	0.0218906	0.19437	0.777466
a13	0.00112963	0.000853913	0.00200687	0.0045897	0.0179391	0.162546	0.810935
a99	0.00821554	0.00522419	0.00721089	0.0112127	0.0241857	0.141679	0.802272
a97	0.0321566	0.0138831	0.0139464	0.0182212	0.0307666	0.148949	0.742077
a87	0.216367	0.09095	0.0491405	0.0400863	0.0478686	0.147319	0.408268
a23	0.172541	0.0862185	0.0516905	0.0417311	0.0511779	0.174147	0.422495
a87	0.076368	0.0374259	0.0319894	0.0270867	0.0541469	0.225585	0.547398
a23	0.0323225	0.0232858	0.0264429	0.0260908	0.0559031	0.245745	0.59021
a87	0.0424109	0.028112	0.0289264	0.0284315	0.0604862	0.256384	0.555249
</S>	0.0423945	0.0263757	0.0303746	0.0327628	0.0708219	0.265833	0.531438
