 	les	eaux	du	fleuve	sont	agitées	</S>
a23	0.537793	0.146577	0.0576061	0.0386694	0.0514694	0.0773817	0.0905035
a41	0.35568	0.15618	0.113244	0.088542	0.097293	0.0926841	0.0963769
a66	0.520583	0.191147	0.0877854	0.0505194	0.0531735	0.0533437	0.0434476
a54	0.542446	0.23034	0.0975296	0.0492367	0.0387393	0.0281713	0.0135371
a14	0.451219	0.256621	0.110369	0.0570507	0.0536411	0.0425276	0.0285721
a73	0.346271	0.258272	0.172598	0.103217	0.068105	0.0349142	0.0166218
a57	0.244849	0.238721	0.201005	0.139435	0.100682	0.0500663	0.0252414
a76	0.23198	0.223896	0.185441	0.134232	0.116853	0.06948	0.0381186
a41	0.196378	0.212875	0.19502	0.149478	0.12537	0.0821281	0.0387513
a32	0.17926	0.201423	0.185453	0.145653	0.127044	0.108295	0.0528719
a25	0.151661	0.169141	0.173036	0.151887	0.140904	0.136083	0.0772877
a11	0.104685	0.122882	0.139527	0.145771	0.181813	0.176599	0.128723
a26	0.107062	0.123951	0.13924	0.145627	0.168568	0.161686	0.153865
a35	0.113454	0.129596	0.136589	0.1333	0.148754	0.166051	0.172256
a75	0.10564	0.119712	0.114964	0.110966	0.135516	0.177806	0.235397
a14	0.0462088	0.0518746	0.0537533	0.0650311	0.113063	0.234718	0.435351
a30	0.0483731	0.0511324	0.0475594	0.0592486	0.107088	0.228962	0.457637
a57	0.0525091	0.046627	0.0327246	0.031688	0.0618907	0.161569	0.612991
a87	0.0432035	0.0418825	0.0379368	0.0447483	0.087043	0.205194	0.539992
a23	0.0471003	0.0293573	0.0338126	0.0515867	0.090811	0.227797	0.519535
a87	0.0522822	0.0287782	0.0279339	0.036739	0.0726501	0.226354	0.555263
</S>	0.0258384	0.0165533	0.0194382	0.0337152	0.0770452	0.241586	0.585824
