 	elle	a	réchauffé	la	nourriture	de	peur	que	celle-ci	ne	pourrisse	</S>
a66	0.19941	0.171753	0.143095	0.097165	0.0885599	0.0951025	0.100639	0.063222	0.0189076	0.00839069	0.0062271	0.00752848
a87	0.246887	0.190867	0.132393	0.0889418	0.0952719	0.0800946	0.0656965	0.0461053	0.016819	0.0123764	0.0122137	0.0123334
a23	0.423342	0.221568	0.116473	0.0613447	0.0442579	0.0413831	0.0348121	0.0181301	0.00832447	0.00965766	0.0103123	0.0103942
a20	0.363919	0.205879	0.122022	0.0568771	0.0473842	0.0498774	0.0348905	0.0151819	0.00657847	0.0108908	0.0279491	0.0585504
a56	0.195632	0.122563	0.12396	0.0988496	0.102239	0.0850584	0.0925082	0.0732655	0.0373904	0.0214685	0.0223219	0.024743
a5	0.0951059	0.106035	0.120485	0.14666	0.158906	0.0872116	0.0885048	0.0830176	0.0392595	0.030452	0.0276531	0.0167091
a12	0.0525303	0.0569882	0.0662013	0.127249	0.166374	0.0838624	0.0855368	0.11851	0.081209	0.0590374	0.0603316	0.0421708
a43	0.0534299	0.0618926	0.0925538	0.156025	0.172722	0.127385	0.114869	0.111268	0.0441983	0.0228693	0.0228447	0.0199429
a0	0.0360347	0.04092	0.0734106	0.149992	0.176482	0.154085	0.139473	0.117572	0.0400476	0.0236206	0.0244074	0.0239555
a88	0.0366912	0.0352757	0.0549129	0.108368	0.148698	0.149505	0.145672	0.139208	0.0584386	0.0351424	0.0420757	0.046013
a62	0.0238565	0.0218685	0.0356676	0.092774	0.148013	0.173171	0.17997	0.171038	0.0582726	0.0287726	0.0302954	0.0363008
a21	0.0245302	0.0224863	0.0301822	0.0716881	0.118716	0.156584	0.168479	0.176375	0.0909219	0.0434829	0.0448506	0.0517046
a5	0.0124957	0.0125462	0.0241358	0.0775477	0.106056	0.133632	0.1813	0.201462	0.10968	0.0503161	0.0457032	0.0451255
a62	0.0118449	0.0121313	0.0217993	0.0712731	0.110645	0.141712	0.179171	0.16773	0.0935198	0.0535441	0.0625988	0.0740317
a88	0.0109874	0.0120631	0.0209129	0.0655664	0.101584	0.134218	0.158956	0.151179	0.132623	0.0809493	0.0605141	0.0704466
a75	0.017541	0.0175194	0.0244266	0.0480917	0.0698258	0.11056	0.13096	0.128624	0.133549	0.0966383	0.0978286	0.124436
a6	0.0105497	0.00928678	0.0160236	0.0404255	0.0505605	0.0573856	0.0713344	0.0722667	0.0961545	0.131667	0.184754	0.259592
a36	0.0130256	0.0115028	0.0169525	0.0262178	0.0298467	0.0421524	0.0508554	0.0498916	0.0726086	0.11948	0.220263	0.347204
a12	0.014161	0.0116999	0.0129933	0.0142515	0.0140915	0.0187286	0.0204175	0.0189653	0.027416	0.0736967	0.238721	0.534858
a47	0.0078259	0.00692976	0.00801148	0.00995703	0.0101488	0.0152963	0.0154799	0.0149717	0.027695	0.0727143	0.229506	0.581464
a62	0.00349053	0.00341723	0.0045698	0.00567935	0.00531229	0.00738655	0.00729258	0.00717643	0.017941	0.0690777	0.224381	0.644276
a88	0.00240928	0.00252345	0.00341404	0.00423351	0.00368499	0.00489403	0.00477774	0.00493594	0.0157815	0.0629818	0.223172	0.667191
a0	0.00179736	0.00189178	0.00218248	0.00270115	0.0024749	0.00235257	0.00229575	0.00347968	0.0166251	0.0550713	0.203032	0.706096
a12	0.00516561	0.00436793	0.00355923	0.00336409	0.0028535	0.00302275	0.0036255	0.00732686	0.0320255	0.0755666	0.234793	0.624329
a88	0.00104985	0.0010107	0.00131828	0.00174315	0.00162084	0.00196677	0.00218918	0.00286535	0.0159676	0.0628153	0.202132	0.705321
a38	0.00112238	0.00103543	0.00118727	0.00176775	0.00171962	0.00185112	0.00216167	0.00385229	0.0200363	0.0698323	0.232036	0.663398
a10	0.00474244	0.003282	0.00241595	0.0025173	0.00242748	0.0030323	0.00460341	0.011939	0.0510296	0.112054	0.265977	0.53598
a87	0.0825631	0.04345	0.0323748	0.0323827	0.0262448	0.0281726	0.0336001	0.0587877	0.0919243	0.108041	0.162905	0.299554
a23	0.314459	0.163613	0.0968451	0.0864297	0.0630911	0.0550007	0.0505206	0.0437711	0.0349718	0.0319632	0.0252233	0.0341109
a87	0.1307	0.0872325	0.0654744	0.0455359	0.0278779	0.0237092	0.0215024	0.0292658	0.0466285	0.114613	0.172823	0.234638
</S>	0.0130476	0.00806241	0.00565592	0.00506001	0.0036139	0.00293269	0.00359145	0.00733137	0.0234557	0.101194	0.293376	0.532679
