 	la	maman	est	partie	chercher	de	l'	eau	à	la	source	</S>
a66	0.0870253	0.0955416	0.112239	0.142156	0.176298	0.169042	0.117306	0.0500177	0.024878	0.0132188	0.00772329	0.00455443
a87	0.290442	0.206526	0.11772	0.0708773	0.0706673	0.0857838	0.0628343	0.028697	0.026915	0.0198327	0.0122002	0.00750434
a23	0.326383	0.237543	0.148319	0.0848172	0.0604911	0.0451033	0.0319247	0.0169704	0.0142363	0.0123154	0.0116451	0.010252
a13	0.309304	0.200443	0.116123	0.0570116	0.0363047	0.0296513	0.0243565	0.0218004	0.0326812	0.0512343	0.0644458	0.0566451
a53	0.140226	0.0915457	0.0601306	0.0491549	0.0472818	0.059781	0.0667628	0.0634722	0.0850017	0.11521	0.130224	0.0912093
a15	0.148416	0.107713	0.0978544	0.0902188	0.105893	0.129672	0.114627	0.0732944	0.0506476	0.0424247	0.0261998	0.0130385
a79	0.103449	0.0800124	0.0819052	0.0792819	0.10668	0.141979	0.138394	0.10355	0.0730243	0.0570681	0.0238063	0.0108504
a37	0.091045	0.0771312	0.0838929	0.0817526	0.100535	0.132275	0.129762	0.097693	0.0647099	0.067183	0.0511735	0.0228459
a96	0.10716	0.0930894	0.0964581	0.0901644	0.0930743	0.105487	0.0935309	0.078612	0.0541787	0.0643578	0.0847568	0.0391315
a37	0.0817993	0.082131	0.105573	0.111868	0.116298	0.122841	0.0994513	0.0678674	0.0379243	0.0445885	0.0849912	0.044667
a93	0.0423383	0.0487353	0.0816538	0.102384	0.114377	0.137095	0.121535	0.0848789	0.047068	0.048965	0.107342	0.0636279
a96	0.0443268	0.053165	0.092162	0.119598	0.128638	0.133048	0.112775	0.072835	0.0409218	0.0439441	0.0926422	0.065944
a66	0.0240751	0.0306351	0.0638217	0.102477	0.115837	0.12822	0.130428	0.0993827	0.0602791	0.0554528	0.110879	0.0785117
a90	0.020596	0.0251704	0.045911	0.0818071	0.0901271	0.0819718	0.0885167	0.090135	0.0840163	0.0973016	0.174089	0.120358
a25	0.0117905	0.0125777	0.0256986	0.0484875	0.0615666	0.0661155	0.0754317	0.0910638	0.0924689	0.119322	0.241838	0.153639
a79	0.0047171	0.00553165	0.0115173	0.0246386	0.0306289	0.0279699	0.0322917	0.052186	0.0742586	0.132914	0.359214	0.244132
a56	0.00442639	0.00389313	0.0057404	0.0104077	0.0128054	0.0115661	0.0152869	0.0324113	0.0661531	0.142621	0.392631	0.302058
a62	0.00436475	0.00391692	0.00579093	0.00974683	0.0107864	0.00864207	0.0122166	0.0291936	0.0600735	0.120773	0.377074	0.357422
a88	0.00132257	0.00100258	0.00135072	0.00200978	0.00214862	0.00176742	0.00277011	0.00879077	0.0260078	0.0704717	0.309132	0.573226
a93	0.000651893	0.000427724	0.000582108	0.00105542	0.00142473	0.001458	0.00228208	0.00678337	0.0233085	0.0655448	0.312164	0.584317
a34	0.000761219	0.000500325	0.000759835	0.00131516	0.00164981	0.00171277	0.00307337	0.00855189	0.0268063	0.0786912	0.37915	0.497028
a62	0.000388402	0.000275417	0.000361954	0.000598373	0.000772055	0.000864535	0.00166825	0.0055283	0.0194738	0.0578312	0.294547	0.617691
a88	0.000634223	0.000446651	0.000554973	0.000874254	0.00114174	0.00127412	0.00226552	0.0066132	0.020124	0.0559304	0.26154	0.648601
a9	0.000773422	0.000510908	0.000651704	0.00108173	0.00153934	0.0019383	0.00349786	0.0101788	0.0293728	0.0777346	0.307006	0.565715
a10	0.0118413	0.009183	0.0108533	0.0158592	0.0248816	0.0261535	0.0307309	0.0477311	0.0682348	0.109577	0.252752	0.392202
a87	0.097173	0.056553	0.0486034	0.0524314	0.0755997	0.0669494	0.061907	0.0627472	0.0688669	0.0868405	0.134618	0.18771
a23	0.148434	0.0989085	0.0789361	0.07765	0.0865171	0.0699709	0.0609098	0.0564055	0.0580845	0.0602797	0.0993327	0.104571
a99	0.054954	0.0235392	0.0163971	0.0158427	0.017135	0.0120847	0.0112909	0.0187195	0.0436444	0.104423	0.244314	0.437656
a97	0.00675727	0.00317106	0.00271884	0.00322302	0.00365571	0.0030488	0.00369508	0.00836658	0.0195168	0.0597135	0.309289	0.576844
</S>	0.0151848	0.00966945	0.009332	0.010958	0.0117302	0.0102609	0.0109979	0.0163985	0.0263276	0.058997	0.329355	0.490788
