 	les	branches	pendent	au-dessus	du	chemin	</S>
a23	0.284804	0.151692	0.174368	0.217078	0.0920456	0.0451412	0.0348724
a83	0.617508	0.21299	0.0489783	0.0409939	0.0258269	0.0241977	0.0295059
a9	0.561638	0.197401	0.0584392	0.038938	0.0289614	0.0454619	0.0691604
a75	0.496591	0.195472	0.0923737	0.0895144	0.0514432	0.0394533	0.035152
a47	0.469612	0.242115	0.114936	0.0722039	0.0422018	0.033195	0.0257368
a7	0.423223	0.264148	0.159936	0.0727995	0.0289135	0.0233853	0.0275948
a54	0.388124	0.27846	0.175288	0.082779	0.0306696	0.0218124	0.0228667
a47	0.279707	0.236897	0.158618	0.117492	0.0681444	0.0630271	0.0761146
a15	0.327723	0.205307	0.153674	0.0882891	0.0547933	0.0675867	0.102626
a44	0.248678	0.194502	0.202589	0.116885	0.0628092	0.0698871	0.10465
a15	0.278779	0.184709	0.247978	0.14255	0.0492585	0.0392168	0.0575095
a47	0.161832	0.144126	0.222241	0.173294	0.0904129	0.0878252	0.120269
a44	0.157232	0.125484	0.187291	0.183193	0.0978383	0.0984857	0.150475
a26	0.219111	0.123771	0.144015	0.169503	0.111305	0.0955175	0.136777
a31	0.127567	0.0886529	0.11158	0.125798	0.110508	0.137436	0.298458
a88	0.124146	0.0762748	0.124917	0.180397	0.19564	0.153007	0.145618
a61	0.0597941	0.0450192	0.0785718	0.148027	0.217953	0.220312	0.230322
a21	0.0665385	0.0398003	0.0684749	0.121764	0.192077	0.238053	0.273292
a85	0.105254	0.0492186	0.0597834	0.102079	0.155507	0.22444	0.303717
a37	0.0307185	0.0167435	0.0219455	0.0415906	0.100938	0.259221	0.528843
a35	0.0234943	0.012053	0.017777	0.0408552	0.104076	0.265234	0.536511
a56	0.00809318	0.00349877	0.00510257	0.0174386	0.0668497	0.2426	0.656417
a4	0.0101312	0.00396571	0.00561813	0.0186194	0.072404	0.262642	0.626619
a57	0.00225473	0.000949299	0.00158544	0.00737369	0.0467293	0.215392	0.725715
a82	0.00343908	0.00103999	0.000748603	0.004211	0.0314456	0.208298	0.750818
a53	0.0202257	0.00494029	0.00164486	0.00760866	0.0385916	0.228671	0.698318
a4	0.00467047	0.00144337	0.000608437	0.00288348	0.0225112	0.190689	0.777194
a13	0.00307919	0.00104239	0.000886215	0.00541468	0.0353035	0.211911	0.742363
a9	0.0104247	0.00316186	0.0023688	0.0136882	0.0675074	0.26104	0.641809
a10	0.0797329	0.0356337	0.0163563	0.0387253	0.0829821	0.243088	0.503482
a87	0.209104	0.122566	0.0708913	0.0823952	0.0899978	0.137306	0.28774
a23	0.231124	0.13627	0.0796346	0.0896087	0.093807	0.128323	0.241233
a87	0.150389	0.123873	0.0639488	0.0786047	0.119071	0.180896	0.283217
</S>	0.0338674	0.021417	0.0149541	0.0406049	0.104654	0.233492	0.551011
