 	votre	manière	de	tendre	le	filet	est	mauvaise	</S>
a66	0.258454	0.129808	0.0890503	0.119443	0.137836	0.115673	0.0720208	0.0440832	0.0336323
a87	0.26582	0.245314	0.165291	0.0960309	0.0802357	0.0478525	0.0329587	0.0371049	0.0293924
a23	0.487854	0.274371	0.104181	0.0429832	0.0227326	0.0159163	0.0135713	0.0173041	0.0210861
a87	0.382816	0.348105	0.119702	0.0421031	0.0243337	0.0180743	0.0146724	0.0211354	0.0290577
a79	0.394319	0.329011	0.108108	0.0446853	0.0321257	0.0243135	0.0192815	0.0230233	0.0251326
a12	0.328446	0.270092	0.114936	0.07695	0.0445134	0.0311864	0.031007	0.0427471	0.0601221
a21	0.288645	0.301603	0.174882	0.108241	0.0526495	0.0239748	0.0192829	0.017554	0.0131679
a85	0.192559	0.375649	0.208317	0.100302	0.0530325	0.0238529	0.0164619	0.0155777	0.0142485
a6	0.111758	0.228441	0.205895	0.180182	0.0943175	0.0516752	0.0415697	0.0440659	0.0420947
a37	0.0942975	0.181004	0.213781	0.226455	0.122317	0.0601841	0.0386329	0.0329962	0.030332
a12	0.156212	0.210074	0.210673	0.184212	0.0931909	0.0471456	0.0337515	0.0325284	0.0322136
a24	0.153583	0.151148	0.169182	0.180909	0.131854	0.0710725	0.0465322	0.0458331	0.0498859
a12	0.0896191	0.0833531	0.122422	0.161034	0.140786	0.111647	0.0842109	0.0891488	0.11778
a21	0.105913	0.0698443	0.0791309	0.11952	0.158946	0.152438	0.107634	0.0977952	0.108778
a5	0.0999465	0.0607532	0.0655925	0.0971121	0.142853	0.173622	0.130289	0.111223	0.118609
a12	0.0545977	0.0342751	0.0471692	0.0768037	0.122475	0.188451	0.175299	0.148572	0.152357
a24	0.0218934	0.0191877	0.0308486	0.0539746	0.0961454	0.17012	0.199517	0.193238	0.215076
a75	0.0228082	0.0143776	0.0210282	0.0513736	0.0712865	0.122192	0.155757	0.210547	0.33063
a56	0.00758973	0.00473716	0.0119318	0.0342857	0.0622508	0.13803	0.193354	0.251144	0.296677
a93	0.0051643	0.00362308	0.0101587	0.030288	0.0589266	0.121686	0.175827	0.255664	0.338663
a44	0.00421708	0.00262114	0.00654965	0.0199016	0.0374191	0.0803089	0.130685	0.232476	0.485821
a61	0.00173585	0.000979914	0.00214321	0.00878106	0.0174147	0.0479386	0.0913666	0.210115	0.619525
a21	0.00157197	0.000772853	0.00131498	0.00460285	0.0101953	0.032939	0.0786825	0.217951	0.651969
a12	0.000976562	0.000522727	0.000971254	0.00310623	0.00877889	0.0311671	0.0831976	0.239058	0.632222
a47	0.000605503	0.000369489	0.000689452	0.00182838	0.00492055	0.0188305	0.0617146	0.224197	0.686844
a88	0.000548366	0.000429922	0.000853695	0.00227103	0.00722728	0.0264902	0.0814087	0.250463	0.630308
a62	0.000315083	0.000228383	0.000544425	0.00202749	0.00678327	0.0241552	0.0749893	0.253722	0.637234
a88	0.000405794	0.000317148	0.000710714	0.00197801	0.00580284	0.0188128	0.0613426	0.232473	0.678157
a9	0.00124801	0.00082967	0.00183539	0.00652291	0.0161919	0.0393235	0.086838	0.252069	0.595142
a10	0.0254356	0.0153547	0.0286759	0.0579618	0.070692	0.0827649	0.110629	0.199177	0.409309
a87	0.144467	0.0581503	0.069171	0.0859441	0.0850476	0.0866582	0.099851	0.144037	0.226673
a23	0.254081	0.126521	0.0783183	0.0657014	0.0594336	0.0652947	0.087555	0.123119	0.139976
a99	0.154502	0.0712875	0.0438556	0.0452946	0.0517227	0.0780025	0.0764	0.135285	0.34365
a57	0.0356266	0.0181413	0.0170249	0.0285523	0.0517614	0.104165	0.113842	0.185834	0.445053
</S>	0.027252	0.0195087	0.0186151	0.0344695	0.0642584	0.123587	0.119558	0.173237	0.419514
