 	nous	sci	ons	les	planches	dans	la	forêt	</S>
a66	0.236459	0.353605	0.268207	0.033682	0.0206983	0.022531	0.0225946	0.0232841	0.018939
a87	0.210284	0.328729	0.261021	0.104579	0.0402961	0.0148013	0.0109218	0.0138495	0.015518
a23	0.348203	0.32127	0.277622	0.0329849	0.00744027	0.00344656	0.00232969	0.0027247	0.00397977
a38	0.263672	0.280934	0.323242	0.0568031	0.0174571	0.0111744	0.0115026	0.0151698	0.0200445
a0	0.424543	0.245924	0.19938	0.0787985	0.0231579	0.00886244	0.00584577	0.0067115	0.00677758
a21	0.338523	0.21874	0.205443	0.13791	0.0512425	0.0240992	0.0106321	0.00790972	0.00550033
a5	0.120026	0.17943	0.304723	0.269642	0.0739331	0.0240025	0.0126604	0.00953716	0.00604609
a98	0.105303	0.14539	0.248771	0.316369	0.107466	0.0334678	0.0183787	0.0135817	0.0112722
a85	0.0283075	0.0947345	0.190911	0.268262	0.136846	0.0915392	0.0696035	0.062138	0.057659
a47	0.0236502	0.0532764	0.102189	0.161776	0.166837	0.171731	0.133644	0.104742	0.0821542
a85	0.00391092	0.00639824	0.0122514	0.0473351	0.147523	0.234688	0.204811	0.185139	0.157943
a5	0.0066537	0.01335	0.0179575	0.0551195	0.164503	0.21628	0.192437	0.178431	0.155268
a75	0.00396465	0.00507382	0.00567803	0.0127972	0.0561099	0.1431	0.227829	0.27212	0.273327
a6	0.000615224	0.000902869	0.0013879	0.00569046	0.0437976	0.130457	0.214966	0.281516	0.320666
a7	9.12127e-05	0.000130414	0.000230704	0.00092843	0.00942401	0.0544985	0.157325	0.313931	0.46344
a44	3.0438e-05	3.9134e-05	6.24334e-05	0.000213062	0.00180198	0.0219063	0.128238	0.353598	0.494111
a58	5.44053e-05	6.36216e-05	9.4716e-05	0.00030266	0.00254906	0.023871	0.114927	0.345985	0.512153
a82	6.31854e-05	9.14017e-05	0.000139856	0.000279979	0.00149604	0.015323	0.0770471	0.296974	0.608585
a87	0.00855136	0.010691	0.00915411	0.0123929	0.0200241	0.0480566	0.116018	0.280867	0.494245
a23	0.162495	0.250339	0.168273	0.0652879	0.0591448	0.0680715	0.0709986	0.0816105	0.0737791
a99	0.0116025	0.0187965	0.0122175	0.00560092	0.0129226	0.0444084	0.140763	0.331567	0.422121
a97	0.00370804	0.00613573	0.00371503	0.00350738	0.0143702	0.0504847	0.128476	0.287108	0.502494
</S>	0.00070428	0.00092208	0.000789536	0.00173638	0.00848574	0.0431362	0.14312	0.305976	0.495131
