 	tout	en	chantant	les	femmes	d'	ongondza	sont	en	train	d'	élever	une	butte	en	mémoire	d'	un	mort	</S>
a87	0.0820024	0.0433329	0.0485901	0.0811649	0.0586416	0.0504506	0.0598694	0.0632209	0.064266	0.0722837	0.0797617	0.0586117	0.0492653	0.0296476	0.0210446	0.0224961	0.0272545	0.0280401	0.0303912	0.0296645
a40	0.0233319	0.0158896	0.0170644	0.0300347	0.0223593	0.0269742	0.0325289	0.0239699	0.0323224	0.028288	0.0361533	0.047309	0.0525436	0.0530333	0.0460931	0.0594145	0.0760257	0.0901086	0.141982	0.144573
a6	0.137222	0.0741139	0.0603212	0.0686509	0.038768	0.030955	0.0208956	0.0270982	0.0283551	0.0268757	0.0429619	0.0454969	0.0550545	0.0376013	0.0387513	0.0497313	0.0617038	0.0616216	0.053248	0.0405739
a21	0.327188	0.160193	0.0863967	0.0694133	0.0355759	0.0296342	0.0254718	0.0336917	0.0307833	0.0299558	0.0306257	0.0217529	0.0203247	0.0139372	0.0137463	0.0140346	0.0140922	0.0157237	0.0126576	0.0148009
a61	0.254268	0.133453	0.137645	0.0832447	0.0464716	0.0392811	0.0366947	0.0496446	0.048588	0.042838	0.0321668	0.0149397	0.0130928	0.0109178	0.0116754	0.0108177	0.0097304	0.00863058	0.00747839	0.00842182
a93	0.269634	0.143019	0.150639	0.0801435	0.0425931	0.0349073	0.0350621	0.0397126	0.0347225	0.0292338	0.0229888	0.0131873	0.0130349	0.0124532	0.0130716	0.0149894	0.0150205	0.0125602	0.010843	0.0121835
a13	0.149113	0.122011	0.14029	0.0802743	0.0663068	0.0670647	0.069117	0.0582087	0.0471092	0.0343981	0.0279217	0.0208898	0.0169148	0.0165163	0.0164746	0.0160661	0.0137465	0.0131522	0.0113103	0.0131145
a93	0.135371	0.122496	0.135387	0.0815104	0.0709257	0.0713085	0.0744519	0.0603515	0.0501603	0.0388807	0.0314626	0.0230665	0.0170733	0.0158633	0.0148967	0.0137085	0.0110511	0.0107588	0.00978397	0.0114919
a90	0.202531	0.147301	0.125652	0.0765641	0.0663488	0.0635598	0.0628175	0.0506137	0.0395325	0.0289783	0.0235344	0.017604	0.0147495	0.0140309	0.0141986	0.0137367	0.00995391	0.00974186	0.00840422	0.0101473
a96	0.123074	0.124426	0.128417	0.0871591	0.0770543	0.0674408	0.0715839	0.0737922	0.058025	0.0475929	0.0341425	0.0176166	0.0138005	0.0122613	0.0125802	0.0118154	0.00948643	0.00974729	0.00900816	0.0109767
a53	0.0705435	0.0834467	0.122879	0.0846279	0.0806666	0.0749238	0.0855517	0.084037	0.0693957	0.0603274	0.0446761	0.0234835	0.0168134	0.0157716	0.0166285	0.0169098	0.0131237	0.0121549	0.0110494	0.0129902
a56	0.0494316	0.057316	0.10199	0.0752312	0.0803025	0.0760415	0.0878567	0.09094	0.0768919	0.0718936	0.0554441	0.0294547	0.0213186	0.0218363	0.0241063	0.0231674	0.0162183	0.0143598	0.012674	0.0135253
a70	0.0644551	0.0671887	0.112919	0.0744514	0.0728505	0.065798	0.0704772	0.0788612	0.066861	0.0615891	0.0505213	0.0306899	0.0241069	0.026305	0.0304757	0.0284818	0.0209821	0.0192975	0.0167071	0.0169809
a75	0.0334024	0.0427345	0.0984799	0.0686001	0.0742335	0.0685652	0.0804346	0.0862167	0.0732934	0.0685878	0.0592391	0.0375747	0.0285644	0.0323828	0.0371599	0.0335332	0.0225778	0.0194554	0.016658	0.0183064
a44	0.0269486	0.0317911	0.0479009	0.0410454	0.0588765	0.0605545	0.0631087	0.0686534	0.0603473	0.0634444	0.0555972	0.0492017	0.0395861	0.0469345	0.0555196	0.061873	0.0474201	0.0459137	0.0380995	0.0371837
a90	0.0236088	0.0311035	0.0611074	0.0476396	0.0721992	0.0736608	0.0850951	0.0893968	0.0737468	0.0731005	0.0654292	0.0460741	0.0350543	0.0407072	0.0436968	0.0388874	0.0274455	0.0256894	0.0221633	0.0241942
