 	l'	air	est	froid	</S>
a57	0.353789	0.282035	0.161656	0.119126	0.0833938
a87	0.247425	0.182742	0.19512	0.19822	0.176493
a23	0.426916	0.143691	0.133714	0.149084	0.146595
a20	0.511982	0.165157	0.0978854	0.114235	0.110741
a58	0.465989	0.27539	0.116769	0.0779146	0.063938
a84	0.376734	0.384365	0.164971	0.0493922	0.0245373
a38	0.265392	0.334455	0.234738	0.107518	0.0578971
a98	0.300992	0.315009	0.236792	0.0998046	0.0474017
a44	0.340823	0.269993	0.216969	0.110576	0.0616394
a57	0.391838	0.244988	0.198806	0.106982	0.0573861
a53	0.268574	0.212747	0.21411	0.182233	0.122335
a76	0.222985	0.186065	0.228927	0.213508	0.148514
a90	0.235402	0.184281	0.196365	0.20296	0.180991
a38	0.267582	0.190739	0.200194	0.196268	0.145216
a26	0.107992	0.11339	0.205866	0.301101	0.271651
a35	0.0343757	0.0499692	0.136877	0.335424	0.443353
a98	0.0305509	0.0378826	0.0957689	0.319438	0.51636
a14	0.0216465	0.023772	0.0662788	0.29235	0.595953
a73	0.0195082	0.0222301	0.058557	0.293427	0.606278
a35	0.0136371	0.020673	0.0658251	0.292861	0.607004
a76	0.011624	0.0127056	0.0449338	0.285045	0.645692
a35	0.0226674	0.0222512	0.0685001	0.284073	0.602509
a66	0.00947517	0.00962664	0.0411775	0.246187	0.693534
a38	0.0208066	0.0173548	0.0446707	0.282169	0.634999
a24	0.0107101	0.00948829	0.0261106	0.245785	0.707906
a9	0.0111358	0.00981891	0.026085	0.233438	0.719522
a87	0.0281177	0.0253962	0.044255	0.26319	0.639041
</S>	0.0124916	0.00962196	0.0293919	0.285692	0.662803
