 	il	y	a	plusieurs	manières	de	faire	couler	un	bateau	à	pic	</S>
a66	0.208911	0.180843	0.155472	0.132558	0.101677	0.0542328	0.0514845	0.0428808	0.0266984	0.0171052	0.010343	0.008543	0.00925181
a87	0.251116	0.218954	0.175239	0.133076	0.0752569	0.0396925	0.0309706	0.026476	0.0167529	0.0107836	0.00713081	0.00855703	0.00599398
a10	0.208845	0.162846	0.188891	0.21619	0.116632	0.0434976	0.019575	0.0102584	0.00605611	0.00600314	0.0062129	0.00807981	0.00691312
a87	0.192839	0.18078	0.216786	0.230355	0.0946303	0.0358638	0.0196206	0.0108145	0.0054251	0.00296868	0.00263429	0.00347462	0.00380813
a23	0.207209	0.191791	0.212287	0.210136	0.089546	0.0321986	0.0192612	0.0129899	0.00823085	0.00518868	0.00364469	0.00362087	0.00389616
a83	0.161374	0.147162	0.206239	0.233798	0.113137	0.0501723	0.0238275	0.0130267	0.0056549	0.00693587	0.0103749	0.0134533	0.0148437
a88	0.272621	0.13092	0.15872	0.125992	0.0771901	0.0336231	0.0228501	0.0218299	0.0131272	0.0231892	0.0355394	0.0457997	0.0385979
a62	0.199484	0.141089	0.168524	0.127586	0.109979	0.0462027	0.0310002	0.0436588	0.0322654	0.0247819	0.0238812	0.0268325	0.0247148
a12	0.120115	0.120428	0.147035	0.12655	0.171248	0.087222	0.0608862	0.0615108	0.036715	0.0192761	0.0154617	0.0164833	0.0170694
a18	0.081423	0.093194	0.114256	0.110112	0.166461	0.12211	0.0943069	0.0882599	0.0489797	0.021968	0.017215	0.0194907	0.0222235
a24	0.0690281	0.0790713	0.0891863	0.0740849	0.0875185	0.087234	0.0826341	0.0874943	0.0812159	0.0597246	0.0532604	0.0706338	0.0789137
a43	0.0479913	0.06688	0.0744854	0.0649648	0.0745527	0.0899433	0.0964482	0.104544	0.0896693	0.0673366	0.0565339	0.0749694	0.0916807
a24	0.0466678	0.0613577	0.0665231	0.0581045	0.0536535	0.0741892	0.0906472	0.100751	0.0941698	0.0758788	0.0679796	0.0996237	0.110454
a21	0.0470018	0.0744164	0.0802132	0.0547988	0.0381821	0.0492025	0.0532685	0.053886	0.0541212	0.0689544	0.0873041	0.140814	0.197837
a12	0.0684112	0.0787326	0.0799541	0.069136	0.0653082	0.0689164	0.0983814	0.124432	0.110416	0.0565962	0.0436701	0.0650148	0.0710315
a98	0.0357295	0.0493807	0.0571316	0.0486754	0.0405595	0.0607089	0.107123	0.139804	0.132896	0.07072	0.0592436	0.0913227	0.106706
a85	0.0271705	0.0282615	0.0311264	0.0230142	0.0127625	0.0240011	0.0487872	0.083172	0.118705	0.0908835	0.0815424	0.155508	0.275066
a0	0.0265142	0.0252474	0.0300021	0.0248062	0.0151184	0.0253485	0.0432658	0.0752599	0.0971729	0.101379	0.0966364	0.158743	0.280507
a43	0.0188084	0.022184	0.0293598	0.0261921	0.0150045	0.0267649	0.0347422	0.0408629	0.0405925	0.0573588	0.100278	0.204642	0.38321
a31	0.0175005	0.0236755	0.0342175	0.0369919	0.0206997	0.0323604	0.0343337	0.0298636	0.0231927	0.0391521	0.10013	0.193693	0.41419
a88	0.0111714	0.0137468	0.0230562	0.0312475	0.0196365	0.0332288	0.0384495	0.0326116	0.0274951	0.0469569	0.10209	0.187805	0.432505
a31	0.0050494	0.00579887	0.00900786	0.0138212	0.00923829	0.0143071	0.0178634	0.0168293	0.0150933	0.0373767	0.122635	0.25836	0.47462
a24	0.00346251	0.00430368	0.00702506	0.0103972	0.00751306	0.0130726	0.0191032	0.020153	0.0247869	0.0613169	0.136257	0.233418	0.45919
a9	0.00273979	0.00290566	0.00446168	0.00658622	0.00482351	0.00750644	0.00721201	0.00650892	0.00792439	0.0278526	0.109717	0.256173	0.555589
a10	0.0470033	0.0363865	0.0484417	0.0722964	0.0576297	0.0514394	0.0327324	0.0261524	0.0376208	0.0447969	0.076265	0.161535	0.3077
a87	0.154412	0.0813694	0.0873144	0.0897301	0.0535837	0.0456266	0.0335231	0.0453132	0.0559681	0.0425583	0.0490252	0.0834424	0.178134
a23	0.267926	0.130551	0.0818502	0.061049	0.033427	0.0231587	0.0204892	0.0343807	0.0487046	0.0415221	0.0520009	0.0858409	0.1191
a87	0.126207	0.098457	0.0805265	0.0503952	0.0228182	0.02749	0.0213425	0.0357403	0.0483218	0.0592939	0.0896873	0.130148	0.209572
</S>	0.0186563	0.0142757	0.0105723	0.00667192	0.00369888	0.0061272	0.00611647	0.0158784	0.030513	0.0631831	0.142161	0.277483	0.404662
