 	le	chien	a	attrapé	l'	os	qu'	a	jeté	son	maître	</S>
a23	0.147309	0.155381	0.137194	0.143948	0.1234	0.101891	0.0748032	0.0525775	0.0282696	0.0146253	0.0116825	0.00891839
a87	0.229297	0.169597	0.113384	0.132241	0.0982594	0.0814506	0.058845	0.0322759	0.0200768	0.0220462	0.0187437	0.0237843
a23	0.076558	0.0738421	0.0732582	0.0910538	0.0971469	0.099238	0.110768	0.0902403	0.056447	0.0560121	0.0613432	0.114093
a13	0.138396	0.103236	0.0787435	0.0844029	0.0801486	0.068824	0.0805273	0.0629012	0.0412346	0.046502	0.0637554	0.151329
a9	0.220243	0.175247	0.157069	0.13557	0.109401	0.0767381	0.0451852	0.0237273	0.0150885	0.0129205	0.0142458	0.0145653
a54	0.245853	0.159735	0.134947	0.120636	0.106179	0.0759734	0.0514168	0.0376365	0.0233218	0.0161356	0.0163232	0.0118421
a41	0.139311	0.118567	0.132332	0.159761	0.13756	0.0951878	0.074257	0.0487325	0.0345981	0.0259376	0.0196785	0.0140765
a26	0.128102	0.131925	0.149831	0.15868	0.138034	0.0898176	0.0792592	0.0613653	0.0265833	0.0180703	0.00959979	0.00873194
a41	0.0715935	0.0977358	0.130266	0.148293	0.156521	0.115783	0.117322	0.0893998	0.0346284	0.0191146	0.00918564	0.0101573
a2	0.0762848	0.110023	0.130263	0.12835	0.127	0.106568	0.119938	0.104393	0.046758	0.0257119	0.0119531	0.0127571
a30	0.041888	0.0779641	0.104696	0.110834	0.12344	0.115337	0.151828	0.127709	0.0621916	0.0365483	0.0204024	0.0271614
a41	0.0251612	0.0528273	0.0785581	0.0899022	0.117085	0.127175	0.167233	0.127447	0.0807994	0.0533776	0.0322217	0.0482128
a35	0.0278311	0.0553399	0.0793101	0.0862858	0.114795	0.129702	0.166002	0.124201	0.0803149	0.0542978	0.0318916	0.0500284
a12	0.0237176	0.0445037	0.0650752	0.0695695	0.094853	0.114757	0.164236	0.131903	0.0949806	0.0789195	0.0514489	0.0660359
a32	0.0236427	0.0428394	0.0613275	0.068223	0.0808182	0.0847579	0.129872	0.131265	0.120946	0.108012	0.0747501	0.0735468
a25	0.0225895	0.0371502	0.0551444	0.0704863	0.102527	0.116439	0.156561	0.11656	0.0865501	0.0750037	0.0708313	0.0901575
a38	0.0183951	0.0295665	0.0428736	0.0530503	0.0898321	0.134397	0.191512	0.120084	0.0967162	0.0725996	0.0561427	0.0948308
a24	0.0160026	0.0251136	0.035305	0.0422659	0.0715045	0.101903	0.156256	0.114299	0.107968	0.112315	0.09716	0.119907
